"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Removed";15;"haar";1;0,074953318805774;7
"2";2;"Commit.LOC.Removed";15;"haar";1;0,10040916292849;7
"3";3;"Commit.LOC.Removed";15;"haar";1;-0,104651803615609;7
"4";4;"Commit.LOC.Removed";15;"haar";1;-0,10040916292849;7
"5";5;"Commit.LOC.Removed";15;"haar";1;0,115965512114594;7
"6";6;"Commit.LOC.Removed";15;"haar";1;-0,0120208152801713;7
"7";7;"Commit.LOC.Removed";15;"haar";1;-0,000707106781186548;7
"8";8;"Commit.LOC.Removed";15;"haar";1;0,316783837971573;7
"9";9;"Commit.LOC.Removed";15;"haar";1;-0,0650538238691624;7
"10";10;"Commit.LOC.Removed";15;"haar";1;0,0608111831820431;7
"11";11;"Commit.LOC.Removed";15;"haar";1;0,190211724139181;7
"12";12;"Commit.LOC.Removed";15;"haar";1;-0,0141421356237309;7
"13";13;"Commit.LOC.Removed";15;"haar";1;0;7
"14";14;"Commit.LOC.Removed";15;"haar";1;0,00424264068711928;7
"15";15;"Commit.LOC.Removed";15;"haar";1;1,46158971671259;7
"16";16;"Commit.LOC.Removed";15;"haar";1;1,48633845405412;7
"17";17;"Commit.LOC.Removed";15;"haar";1;0;7
"18";18;"Commit.LOC.Removed";15;"haar";1;-0,0289913780286484;7
"19";19;"Commit.LOC.Removed";15;"haar";1;0,0289913780286484;7
"20";20;"Commit.LOC.Removed";15;"haar";1;0;7
"21";21;"Commit.LOC.Removed";15;"haar";1;0;7
"22";22;"Commit.LOC.Removed";15;"haar";1;0;7
"23";23;"Commit.LOC.Removed";15;"haar";1;0;7
"24";24;"Commit.LOC.Removed";15;"haar";1;0,00919238815542512;7
"25";25;"Commit.LOC.Removed";15;"haar";1;0,37688791437243;7
"26";26;"Commit.LOC.Removed";15;"haar";1;0;7
"27";27;"Commit.LOC.Removed";15;"haar";1;-0,322440692221066;7
"28";28;"Commit.LOC.Removed";15;"haar";1;0,280014285349873;7
"29";29;"Commit.LOC.Removed";15;"haar";1;-0,344361002437849;7
"30";30;"Commit.LOC.Removed";15;"haar";1;0,166877200360025;7
"31";31;"Commit.LOC.Removed";15;"haar";1;0,170412734265958;7
"32";32;"Commit.LOC.Removed";15;"haar";1;-0,375473700810057;7
"33";33;"Commit.LOC.Removed";15;"haar";1;-0,0919238815542512;7
"34";34;"Commit.LOC.Removed";15;"haar";1;0,0339411254969543;7
"35";35;"Commit.LOC.Removed";15;"haar";1;-0,0438406204335659;7
