"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commits";358;"haar";1;0;4
"2";2;"Commits";358;"haar";1;0;4
"3";3;"Commits";358;"haar";1;0;4
"4";4;"Commits";358;"haar";1;0;4
"5";5;"Commits";358;"haar";1;-2,82842712474619;4
"6";6;"Commits";358;"haar";1;0;4
"7";7;"Commits";358;"haar";1;0;4
"8";8;"Commits";358;"haar";1;-2,82842712474619;4
"9";9;"Commits";358;"haar";1;0;4
"10";10;"Commits";358;"haar";1;2,82842712474619;4
"11";11;"Commits";358;"haar";1;0;4
"12";12;"Commits";358;"haar";1;0;4
"13";13;"Commits";358;"haar";1;0;4
"14";14;"Commits";358;"haar";1;0;4
"15";15;"Commits";358;"haar";1;36,7695526217005;4
"16";1;"Commits";358;"haar";2;0;3
"17";2;"Commits";358;"haar";2;2;3
"18";3;"Commits";358;"haar";2;0;3
"19";4;"Commits";358;"haar";2;-2;3
"20";5;"Commits";358;"haar";2;-2;3
"21";6;"Commits";358;"haar";2;0;3
"22";7;"Commits";358;"haar";2;26;3
"23";1;"Commits";358;"haar";3;-1,41421356237309;2
"24";2;"Commits";358;"haar";3;0;2
"25";3;"Commits";358;"haar";3;18,3847763108502;2
