Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Commits;15;4;2;339;4;2;4;Inf;3,75-3,50-3,00-3,25;0,3535534;3,5
Cumulative.LOC.Churn;Commits;15;6;38;18;6;22;4;3,330669e-15;-2- 4--5--2;4,242641;1
Cumulative.LOC.Churn;Commits;15;6;17;344;6;9;4;2,220446e-16;0,5-4,0-0,5-0,5;2,474874;1,375
Cumulative.LOC.Churn;Commits;15;6;40;344;6;32;4;Inf;-5--2--3--1;2,828427;-2
Cumulative.LOC.Churn;Commits;15;6;17;371;6;13;4;Inf;0,5-4,0-0,5-0,5;2,474874;4
Cumulative.LOC.Churn;Commits;17;5;10;169;6;38;4;Inf;0,3535534-0,0000000-0,7071068-0,3535534;0,4714045;0,6481812
Cumulative.LOC.Churn;Commits;17;5;1;344;4;3;4;3,774758e-15;-0,1767767- 0,1767767--0,3535534- 0,1767767;1;-0,1767767
Cumulative.LOC.Churn;Commits;17;5;10;368;6;6;4;Inf;0,3535534-0,0000000-0,7071068-0,3535534;1;-4,440892e-16
Cumulative.LOC.Churn;Commits;17;6;10;139;6;28;4;0;-0,25- 0,25--0,25- 0,25;8;0,75
Cumulative.LOC.Churn;Commits;17;6;11;139;6;27;4;0; 0,25--0,25- 0,25--0,25;8;0,75
Cumulative.LOC.Churn;Commits;17;6;8;371;6;5;4;4,662937e-15;-0,25- 0,50--0,25- 0,25;0,1767767;-5,828671e-16
Cumulative.LOC.Churn;Commits;17;6;8;371;6;26;4;4,662937e-15;-0,25- 0,50--0,25- 0,25;0,1767767;-5,828671e-16
Cumulative.LOC.Churn;Commits;17;6;11;371;6;4;4;2,220446e-16; 0,25--0,25- 0,25--0,25;0,1178511;-0,08333333
Cumulative.LOC.Churn;Commits;18;6;27;168;6;3;4;NaN; 0,0000000--2,1213203- 0,7071068--0,7071068;5,656854;0
Cumulative.LOC.Churn;Commits;18;6;10;385;5;1;4;Inf; 1,060660- 0,000000--1,414214--1,060660;0,7071068;-0,7071068
Cumulative.LOC.Churn;Commits;121;6;27;344;6;12;4;Inf; -0,7071068- 14,1421356- -0,7071068--15,5563492;42;14,14214
Cumulative.LOC.Churn;Commits;139;6;29;344;6;22;4;5,77316e-15;-0,0625--0,1250--0,0625- 0,0625;0,1767767;1,804112e-16
Cumulative.LOC.Churn;Commits;139;6;29;368;6;8;4;8,437695e-15;-0,0625--0,1250--0,0625- 0,0625;0,1767767;-0,1875
Cumulative.LOC.Churn;Commits;139;6;27;371;6;4;4;2,220446e-16;-0,0625--0,1250--0,0625--0,1250;0,01473139;-0,1041667
Cumulative.LOC.Churn;Commits;147;7;18;344;6;33;4;NaN; 0,0000000--0,5303301- 0,5303301- 0,5303301;1,5;0
Cumulative.LOC.Churn;Commits;147;7;18;367;4;2;4;NaN; 0,0000000--0,5303301- 0,5303301- 0,5303301;0,75;0
Cumulative.LOC.Churn;Commits;168;5;2;371;6;6;4;9,325873e-15; 1,9445436--0,4419417- 1,1490485--1,2374369;0,5625;0,3535534
Cumulative.LOC.Churn;Commits;169;6;38;368;6;6;4;5,329071e-15;-0,625--1,375- 0,125--0,625;2,12132;-1,375
Cumulative.LOC.Churn;Commits;344;4;4;371;4;2;4;1,554312e-15; 0,3535534--0,1767767- 0,3535534- 0,3535534;0,1875;0,2209709
Cumulative.LOC.Churn;Commits;344;4;4;371;6;37;4;2,220446e-16; 0,3535534--0,1767767- 0,3535534- 0,3535534;0,1875;0,08838835
Cumulative.LOC.Churn;Commits;344;4;4;385;6;3;4;3,330669e-16; 0,3535534--0,1767767- 0,3535534- 0,3535534;0,375;0,08838835
Cumulative.LOC.Churn;Commits;344;5;10;344;6;24;4;1,44329e-15;-0,25- 0,25--0,25- 0,50;0,7071068;0
Cumulative.LOC.Churn;Commits;344;5;2;385;6;8;4;NaN;-1,75--1,00--1,00- 0,50;1,06066;-1,75
Cumulative.LOC.Churn;Commits;344;6;24;344;5;10;4;1,44329e-15;-0,3535534- 0,3535534--0,3535534- 0,7071068;1,414214;0
Cumulative.LOC.Churn;Commits;344;6;8;344;6;23;4;3,330669e-15;-1,0606602--0,3535534- 1,0606602--0,3535534;2;0,3535534
Cumulative.LOC.Churn;Commits;344;6;13;344;6;21;4;NaN; 0,0000000--0,3535534--0,7071068--0,3535534;1;0
Cumulative.LOC.Churn;Commits;344;6;33;367;4;2;4;NaN; 0,0000000--0,3535534- 0,3535534- 0,3535534;0,5;0
Cumulative.LOC.Churn;Commits;344;6;22;368;6;8;4;1,398881e-14;-0,3535534--0,7071068--0,3535534- 0,3535534;1;-1,06066
Cumulative.LOC.Churn;Commits;344;6;9;371;6;13;4;NaN;-0,3535534- 1,0606602--0,3535534--0,3535534;1;1,06066
Cumulative.LOC.Churn;Commits;367;4;6;371;5;14;4;NaN; 0,0000000--0,7071068--0,7071068--0,7071068;0,3535534;-0,3535534
Cumulative.LOC.Churn;Commits;367;4;5;371;6;17;4;NaN; 0,7071068- 0,0000000--0,7071068--0,7071068;0,5;0
Cumulative.LOC.Churn;Commits;367;4;5;371;6;17;5;NaN; 0,7071068- 0,0000000--0,7071068--0,7071068--0,7071068;0,5;0
Cumulative.LOC.Churn;Commits;367;4;6;371;6;18;4;NaN; 0,0000000--0,7071068--0,7071068--0,7071068;0,5;0
Cumulative.LOC.Churn;Commits;368;6;20;371;5;12;4;NaN;-0,7071068- 0,0000000- 0,3535534--0,3535534;0,3535534;0
Cumulative.LOC.Churn;Commits;368;6;26;371;6;14;4;NaN; 0,0000000--0,3535534--0,3535534- 0,3535534;0,25;0
Cumulative.LOC.Churn;Commits;368;6;20;385;6;1;4;NaN;-0,7071068- 0,0000000- 0,3535534--0,3535534;0,5;0
Cumulative.LOC.Churn;Commits;369;3;1;371;6;7;4;6,328271e-15;-0,7071068- 0,7071068--1,4142136- 1,4142136;0,5;0
Cumulative.LOC.Churn;Commits;369;4;3;378;6;44;4;Inf;-1- 0--3--1;4,525483;-1,110223e-16
Cumulative.LOC.Churn;Commits;369;5;6;371;5;13;4;NaN; 0,000000- 1,414214--1,414214--1,414214;1,414214;0
Cumulative.LOC.Churn;Commits;369;5;19;371;5;3;4;0; 1,414214--1,414214--1,414214- 1,414214;0,942809;0,4714045
Cumulative.LOC.Churn;Commits;369;5;19;371;5;3;5;0; 1,414214--1,414214--1,414214- 1,414214- 1,414214;0,942809;0,4714045
Cumulative.LOC.Churn;Commits;369;5;15;385;6;7;4;NaN;-1,414214- 0,000000- 1,414214- 1,414214;2;0
Cumulative.LOC.Churn;Commits;369;5;16;385;6;18;4;NaN;0,000000-1,414214-1,414214-1,414214;2;0
Cumulative.LOC.Churn;Commits;371;4;2;371;6;37;4;1,332268e-15; 0,7071068--2,1213203- 0,7071068- 0,7071068;1;-0,7071068
Cumulative.LOC.Churn;Commits;371;4;2;385;6;3;4;1,332268e-15; 0,7071068--2,1213203- 0,7071068- 0,7071068;2;-0,7071068
Cumulative.LOC.Churn;Commits;371;5;14;371;6;18;4;NaN; 1--1--1--1;1,414214;1
Cumulative.LOC.Churn;Commits;371;5;14;371;6;18;5;NaN; 1--1--1--1--1;1,414214;1
Cumulative.LOC.Churn;Commits;371;5;5;385;6;4;4;0;-2- 1- 1--2;2,12132;-0,5
Cumulative.LOC.Churn;Commits;371;5;12;385;6;1;4;NaN;-2- 0- 1--1;1,414214;0
Cumulative.LOC.Churn;Commits;371;6;37;371;4;2;4;1,332268e-15; 1,414214--1,414214- 1,414214- 1,414214;1;0,7071068
Cumulative.LOC.Churn;Commits;371;6;18;371;5;14;4;NaN; 0,000000--1,414214--1,414214--1,414214;0,7071068;-0,7071068
Cumulative.LOC.Churn;Commits;371;6;18;371;5;14;5;NaN; 0,000000--1,414214--1,414214--1,414214--1,414214;0,7071068;-0,7071068
Cumulative.LOC.Churn;Commits;371;6;5;371;6;26;4;0;-1,414214- 2,828427--1,414214- 1,414214;1;0
Cumulative.LOC.Churn;Commits;371;6;36;385;6;2;4;NaN; 0,000000- 1,414214--1,414214- 1,414214;2;0
Cumulative.LOC.Churn;Commits;371;6;36;385;6;2;5;NaN; 0,000000- 1,414214--1,414214- 1,414214- 1,414214;2;0
Cumulative.LOC.Churn;Commits;371;6;37;385;6;3;4;0; 1,414214--1,414214- 1,414214- 1,414214;2;0
