Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Cumulative.LOC.Added;15;6;41;139;5;1;4;0,001235557; 581,0-1638,5- 859,5- 837,0;0,001035686;-1569,321
Cumulative.LOC.Churn;Cumulative.LOC.Added;17;4;5;168;6;16;4;0,003462087;126396,0-114815,8-132410,5-133092,9;0,8051975;62578,06
Cumulative.LOC.Churn;Cumulative.LOC.Added;17;5;4;17;6;30;4;0,0005817705;44710,54-43193,44-44744,66-47844,26;1,335473;24205,68
Cumulative.LOC.Churn;Cumulative.LOC.Added;17;5;7;17;6;19;4;0,004065017;47844,26-50951,29-43655,71-45279,94;4,315316;-24635,78
Cumulative.LOC.Churn;Cumulative.LOC.Added;17;6;19;17;5;7;4;0,004065017;16796,0-17516,0-15866,5-16196,5;0,2317328;5708,918
Cumulative.LOC.Churn;Cumulative.LOC.Added;17;6;30;17;5;4;4;0,0005817705;15354,00-14218,00-15388,50-17702,25;0,7487982;-18125,17
Cumulative.LOC.Churn;Cumulative.LOC.Added;17;6;20;378;6;30;4;0,001458626;17516,0-15866,5-16196,5-16376,5;0,009071908;-10815,11
Cumulative.LOC.Churn;Cumulative.LOC.Added;18;3;1;378;4;5;4;0,002278813;127098,8-116036,4-129110,6-129101,2;0,004973553;12490,53
Cumulative.LOC.Churn;Cumulative.LOC.Added;18;4;5;371;3;1;4;0,003181706;47014,29-45530,25-45027,85-44702,23;3,800359;-15741,04
Cumulative.LOC.Churn;Cumulative.LOC.Added;18;4;5;378;5;21;4;0,003694818;47014,29-45530,25-45027,85-44702,23;0,002843449;21350,26
Cumulative.LOC.Churn;Cumulative.LOC.Added;18;5;14;385;6;20;4;0,003708146;16240,5-15804,0-15996,5-15982,0;0,2983587;1680,936
Cumulative.LOC.Churn;Cumulative.LOC.Added;18;5;14;378;5;7;4;0,001144123;16240,5-15804,0-15996,5-15982,0;0,001170422;6521,789
Cumulative.LOC.Churn;Cumulative.LOC.Added;18;6;21;149;5;2;4;0,002654574;4932,777-5340,778-6450,582-5090,462;0,06045573;-703,9567
Cumulative.LOC.Churn;Cumulative.LOC.Added;18;6;40;368;5;1;4;0,004247897;5769,991-5524,979-5590,386-5566,698;0,0213756;2824,081
Cumulative.LOC.Churn;Cumulative.LOC.Added;121;3;1;368;4;3;4;0,004149243;16543,75-16657,25-16711,75-16434,00;0,01904467;9840,466
Cumulative.LOC.Churn;Cumulative.LOC.Added;121;5;6;368;6;15;4;0,004836814;2214,0-2387,0-2229,5-2160,5;0,02348763;1130,967
Cumulative.LOC.Churn;Cumulative.LOC.Added;126;5;6;385;4;2;4;0,004812622;148510,7-226465,5-205709,9-202289,7;0,909918;-133588,8
Cumulative.LOC.Churn;Cumulative.LOC.Added;140;6;26;168;6;42;4;0,00405338; 83508,5-114748,8-104735,4-114935,8;0,5121741;61406,4
Cumulative.LOC.Churn;Cumulative.LOC.Added;140;6;25;378;6;28;4;0,002798491;124320,0- 83508,5-114748,8-104735,4;0,05659607;-61676,78
Cumulative.LOC.Churn;Cumulative.LOC.Added;147;7;15;368;4;2;4;0,004942812;35401,48-27739,98-30366,35-31970,42;0,4250478;-121867
Cumulative.LOC.Churn;Cumulative.LOC.Added;169;6;50;170;5;11;4;0,004564833;122940,25- 57859,75-104681,25- 91844,00;1,550214;-32084,63
Cumulative.LOC.Churn;Cumulative.LOC.Added;170;5;19;368;6;8;4;0,001927044;93822,00-77660,12-61994,62-74686,75;7,640429;-293703,7
Cumulative.LOC.Churn;Cumulative.LOC.Added;344;5;5;378;5;5;4;0,0004421767;16209,50-19002,75-17148,25-15909,50;0,00331166;-10347,09
Cumulative.LOC.Churn;Cumulative.LOC.Added;344;5;15;378;5;13;4;0,003800845;17473,25-15319,50-14271,00-14005,50;0,005862349;-33107,33
Cumulative.LOC.Churn;Cumulative.LOC.Added;368;6;21;368;6;24;4;0,004697333;44891,73-50120,08-41396,51-45935,42;1,376781;-18351,26
Cumulative.LOC.Churn;Cumulative.LOC.Added;368;6;3;385;6;18;4;0,001290656;60305,96-44963,86-48516,01-43883,05;3,179048;-106656,5
Cumulative.LOC.Churn;Cumulative.LOC.Added;371;5;4;385;6;9;4;0,002246977;1820-1455-2701-2285;0,02366098;1306,162
Cumulative.LOC.Churn;Cumulative.LOC.Added;378;4;2;378;6;12;4;0,004594394;23255112-22750701-23137978-23043531;3,090686;14021392
Cumulative.LOC.Churn;Cumulative.LOC.Added;378;6;12;378;4;2;4;0,004594394;2987595-2824392-2957147-2932611;0,3235528;-4536660
Cumulative.LOC.Churn;Cumulative.LOC.Added;378;6;13;378;6;43;4;0,002012511;2824392-2957147-2932611-3047691;0,4647043;1642766
