"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Churn";360;"haar";1;672,458548908407;8
"2";2;"Cumulative.LOC.Churn";360;"haar";1;583,363094478902;8
"3";3;"Cumulative.LOC.Churn";360;"haar";1;477,297077300919;8
"4";4;"Cumulative.LOC.Churn";360;"haar";1;0;8
"5";5;"Cumulative.LOC.Churn";360;"haar";1;0;8
"6";6;"Cumulative.LOC.Churn";360;"haar";1;0;8
"7";7;"Cumulative.LOC.Churn";360;"haar";1;0;8
"8";8;"Cumulative.LOC.Churn";360;"haar";1;7095,816549207;8
"9";9;"Cumulative.LOC.Churn";360;"haar";1;0;8
"10";10;"Cumulative.LOC.Churn";360;"haar";1;0;8
"11";11;"Cumulative.LOC.Churn";360;"haar";1;0;8
"12";12;"Cumulative.LOC.Churn";360;"haar";1;0;8
"13";13;"Cumulative.LOC.Churn";360;"haar";1;0;8
"14";14;"Cumulative.LOC.Churn";360;"haar";1;0;8
"15";15;"Cumulative.LOC.Churn";360;"haar";1;0;8
"16";16;"Cumulative.LOC.Churn";360;"haar";1;0;8
"17";17;"Cumulative.LOC.Churn";360;"haar";1;0;8
"18";18;"Cumulative.LOC.Churn";360;"haar";1;0;8
"19";19;"Cumulative.LOC.Churn";360;"haar";1;0;8
"20";20;"Cumulative.LOC.Churn";360;"haar";1;0;8
"21";21;"Cumulative.LOC.Churn";360;"haar";1;0;8
"22";22;"Cumulative.LOC.Churn";360;"haar";1;0;8
"23";23;"Cumulative.LOC.Churn";360;"haar";1;356,381817718022;8
"24";24;"Cumulative.LOC.Churn";360;"haar";1;0;8
"25";25;"Cumulative.LOC.Churn";360;"haar";1;886,711903607931;8
"26";26;"Cumulative.LOC.Churn";360;"haar";1;905,803786699973;8
"27";27;"Cumulative.LOC.Churn";360;"haar";1;0;8
"28";28;"Cumulative.LOC.Churn";360;"haar";1;0;8
"29";29;"Cumulative.LOC.Churn";360;"haar";1;0;8
"30";30;"Cumulative.LOC.Churn";360;"haar";1;943,987552884042;8
"31";31;"Cumulative.LOC.Churn";360;"haar";1;1392,29325215631;8
"32";32;"Cumulative.LOC.Churn";360;"haar";1;1244,50793488832;8
"33";33;"Cumulative.LOC.Churn";360;"haar";1;1244,50793488832;8
"34";34;"Cumulative.LOC.Churn";360;"haar";1;1244,50793488833;8
"35";35;"Cumulative.LOC.Churn";360;"haar";1;1244,50793488832;8
"36";36;"Cumulative.LOC.Churn";360;"haar";1;0;8
"37";37;"Cumulative.LOC.Churn";360;"haar";1;0;8
"38";38;"Cumulative.LOC.Churn";360;"haar";1;1075,50941418474;8
