"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Modified";149;"haar";1;0;10
"2";2;"Cumulative.LOC.Modified";149;"haar";1;0;10
"3";3;"Cumulative.LOC.Modified";149;"haar";1;0;10
"4";4;"Cumulative.LOC.Modified";149;"haar";1;0;10
"5";5;"Cumulative.LOC.Modified";149;"haar";1;0;10
"6";6;"Cumulative.LOC.Modified";149;"haar";1;0;10
"7";7;"Cumulative.LOC.Modified";149;"haar";1;8,48528137423857;10
"8";8;"Cumulative.LOC.Modified";149;"haar";1;0;10
"9";9;"Cumulative.LOC.Modified";149;"haar";1;0;10
"10";10;"Cumulative.LOC.Modified";149;"haar";1;0;10
"11";11;"Cumulative.LOC.Modified";149;"haar";1;0;10
"12";12;"Cumulative.LOC.Modified";149;"haar";1;0;10
"13";13;"Cumulative.LOC.Modified";149;"haar";1;0;10
"14";14;"Cumulative.LOC.Modified";149;"haar";1;0;10
"15";15;"Cumulative.LOC.Modified";149;"haar";1;0;10
"16";16;"Cumulative.LOC.Modified";149;"haar";1;59,39696961967;10
"17";17;"Cumulative.LOC.Modified";149;"haar";1;19,7989898732233;10
"18";18;"Cumulative.LOC.Modified";149;"haar";1;36,7695526217005;10
"19";19;"Cumulative.LOC.Modified";149;"haar";1;46,6690475583121;10
"20";20;"Cumulative.LOC.Modified";149;"haar";1;11,3137084989848;10
"21";21;"Cumulative.LOC.Modified";149;"haar";1;0;10
"22";22;"Cumulative.LOC.Modified";149;"haar";1;0;10
"23";23;"Cumulative.LOC.Modified";149;"haar";1;0;10
"24";24;"Cumulative.LOC.Modified";149;"haar";1;0;10
"25";25;"Cumulative.LOC.Modified";149;"haar";1;36,0624458405139;10
"26";26;"Cumulative.LOC.Modified";149;"haar";1;0;10
"27";27;"Cumulative.LOC.Modified";149;"haar";1;0;10
"28";28;"Cumulative.LOC.Modified";149;"haar";1;2,82842712474621;10
"29";29;"Cumulative.LOC.Modified";149;"haar";1;0;10
"30";30;"Cumulative.LOC.Modified";149;"haar";1;48,7903679018718;10
"31";31;"Cumulative.LOC.Modified";149;"haar";1;0;10
"32";32;"Cumulative.LOC.Modified";149;"haar";1;129,400540957138;10
"33";33;"Cumulative.LOC.Modified";149;"haar";1;43,840620433566;10
"34";34;"Cumulative.LOC.Modified";149;"haar";1;0;10
"35";35;"Cumulative.LOC.Modified";149;"haar";1;0;10
"36";36;"Cumulative.LOC.Modified";149;"haar";1;82,731493398826;10
"37";37;"Cumulative.LOC.Modified";149;"haar";1;91,2167747730647;10
"38";38;"Cumulative.LOC.Modified";149;"haar";1;0;10
"39";39;"Cumulative.LOC.Modified";149;"haar";1;0;10
"40";40;"Cumulative.LOC.Modified";149;"haar";1;80,6101730552664;10
"41";41;"Cumulative.LOC.Modified";149;"haar";1;0;10
"42";42;"Cumulative.LOC.Modified";149;"haar";1;40,3050865276332;10
"43";43;"Cumulative.LOC.Modified";149;"haar";1;173,948268171891;10
"44";44;"Cumulative.LOC.Modified";149;"haar";1;234,052344572747;10
"45";45;"Cumulative.LOC.Modified";149;"haar";1;36,0624458405139;10
"46";46;"Cumulative.LOC.Modified";149;"haar";1;63,6396103067891;10
"47";47;"Cumulative.LOC.Modified";149;"haar";1;78,4888527117068;10
"48";48;"Cumulative.LOC.Modified";149;"haar";1;23,3345237791564;10
"49";49;"Cumulative.LOC.Modified";149;"haar";1;0;10
"50";50;"Cumulative.LOC.Modified";149;"haar";1;0;10
"51";51;"Cumulative.LOC.Modified";149;"haar";1;0;10
"52";52;"Cumulative.LOC.Modified";149;"haar";1;2,12132034355955;10
"53";53;"Cumulative.LOC.Modified";149;"haar";1;46,6690475583123;10
"54";54;"Cumulative.LOC.Modified";149;"haar";1;4,24264068711955;10
"55";55;"Cumulative.LOC.Modified";149;"haar";1;0;10
"56";56;"Cumulative.LOC.Modified";149;"haar";1;0;10
"57";57;"Cumulative.LOC.Modified";149;"haar";1;0;10
"58";58;"Cumulative.LOC.Modified";149;"haar";1;10,6066017177982;10
"59";59;"Cumulative.LOC.Modified";149;"haar";1;7,77817459305197;10
"60";60;"Cumulative.LOC.Modified";149;"haar";1;352,139177030901;10
"61";61;"Cumulative.LOC.Modified";149;"haar";1;322,440692221066;10
"62";62;"Cumulative.LOC.Modified";149;"haar";1;129,400540957138;10
"63";63;"Cumulative.LOC.Modified";149;"haar";1;163,341666454092;10
"64";64;"Cumulative.LOC.Modified";149;"haar";1;0;10
"65";65;"Cumulative.LOC.Modified";149;"haar";1;0;10
"66";66;"Cumulative.LOC.Modified";149;"haar";1;277,892965006314;10
"67";67;"Cumulative.LOC.Modified";149;"haar";1;0;10
"68";68;"Cumulative.LOC.Modified";149;"haar";1;0;10
"69";69;"Cumulative.LOC.Modified";149;"haar";1;48,7903679018718;10
"70";70;"Cumulative.LOC.Modified";149;"haar";1;0;10
"71";71;"Cumulative.LOC.Modified";149;"haar";1;248,194480196478;10
"72";72;"Cumulative.LOC.Modified";149;"haar";1;0;10
"73";73;"Cumulative.LOC.Modified";149;"haar";1;553,664609669067;10
"74";74;"Cumulative.LOC.Modified";149;"haar";1;483,661038331599;10
"75";75;"Cumulative.LOC.Modified";149;"haar";1;74,2462120245873;10
