"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Files";137;"haar";1;0,421424506047321;11
"2";2;"Files";137;"haar";1;0;11
"3";3;"Files";137;"haar";1;1,3300678554119;11
"4";4;"Files";137;"haar";1;1,78473751571484;11
"5";5;"Files";137;"haar";1;0,444770165366339;11
"6";6;"Files";137;"haar";1;0,069296464556281;11
"7";7;"Files";137;"haar";1;0;11
"8";8;"Files";137;"haar";1;0;11
"9";9;"Files";137;"haar";1;1,51957247276989;11
"10";10;"Files";137;"haar";1;0;11
"11";11;"Files";137;"haar";1;0;11
"12";12;"Files";137;"haar";1;0;11
"13";13;"Files";137;"haar";1;0;11
"14";14;"Files";137;"haar";1;0;11
"15";15;"Files";137;"haar";1;0;11
"16";16;"Files";137;"haar";1;0;11
"17";17;"Files";137;"haar";1;0;11
"18";18;"Files";137;"haar";1;0;11
"19";19;"Files";137;"haar";1;0;11
"20";20;"Files";137;"haar";1;0,636396103067895;11
"21";21;"Files";137;"haar";1;0;11
"22";22;"Files";137;"haar";1;0;11
"23";23;"Files";137;"haar";1;0;11
"24";24;"Files";137;"haar";1;0;11
"25";25;"Files";137;"haar";1;0;11
"26";26;"Files";137;"haar";1;0;11
"27";27;"Files";137;"haar";1;0;11
"28";28;"Files";137;"haar";1;0;11
"29";29;"Files";137;"haar";1;0;11
"30";30;"Files";137;"haar";1;1,27491352647935;11
"31";31;"Files";137;"haar";1;2,38012142547392;11
"32";32;"Files";137;"haar";1;1,30107647738325;11
"33";33;"Files";137;"haar";1;0,319612265096325;11
"34";34;"Files";137;"haar";1;-0,247487373415289;11
"35";35;"Files";137;"haar";1;1,02106219203338;11
"36";36;"Files";137;"haar";1;2,30870364057408;11
"37";37;"Files";137;"haar";1;0,866205806953516;11
"38";38;"Files";137;"haar";1;1,41138513524835;11
"39";39;"Files";137;"haar";1;0,0813172798364548;11
"40";40;"Files";137;"haar";1;1,76211009871687;11
"41";41;"Files";137;"haar";1;0;11
"42";42;"Files";137;"haar";1;0;11
"43";43;"Files";137;"haar";1;0;11
"44";44;"Files";137;"haar";1;0;11
"45";45;"Files";137;"haar";1;0,637810316630272;11
"46";46;"Files";137;"haar";1;0;11
"47";47;"Files";137;"haar";1;0,618718433538227;11
"48";48;"Files";137;"haar";1;0,335875721063609;11
"49";49;"Files";137;"haar";1;0,290620887067675;11
"50";50;"Files";137;"haar";1;0,169705627484767;11
"51";51;"Files";137;"haar";1;0;11
"52";52;"Files";137;"haar";1;0;11
"53";53;"Files";137;"haar";1;0,216374675043085;11
"54";54;"Files";137;"haar";1;1,03237590053236;11
"55";55;"Files";137;"haar";1;2,29102597104442;11
"56";56;"Files";137;"haar";1;0;11
"57";57;"Files";137;"haar";1;1,34491709781682;11
"58";58;"Files";137;"haar";1;0;11
"59";59;"Files";137;"haar";1;0,265165042944943;11
"60";60;"Files";137;"haar";1;0,535279833358217;11
"61";61;"Files";137;"haar";1;0,869741340859463;11
"62";62;"Files";137;"haar";1;0;11
"63";63;"Files";137;"haar";1;0,378302127934802;11
"64";64;"Files";137;"haar";1;0,176069588515446;11
"65";65;"Files";137;"haar";1;0,0268700576850875;11
"66";66;"Files";137;"haar";1;0;11
"67";67;"Files";137;"haar";1;0;11
"68";68;"Files";137;"haar";1;0;11
"69";69;"Files";137;"haar";1;0;11
