"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";351;"haar";1;0;8
"2";2;"LOC";351;"haar";1;0;8
"3";3;"LOC";351;"haar";1;0;8
"4";4;"LOC";351;"haar";1;0;8
"5";5;"LOC";351;"haar";1;0;8
"6";6;"LOC";351;"haar";1;0;8
"7";7;"LOC";351;"haar";1;0;8
"8";8;"LOC";351;"haar";1;451,453738662114;8
"9";9;"LOC";351;"haar";1;0;8
"10";10;"LOC";351;"haar";1;0;8
"11";11;"LOC";351;"haar";1;0;8
"12";12;"LOC";351;"haar";1;0;8
"13";13;"LOC";351;"haar";1;0;8
"14";14;"LOC";351;"haar";1;0;8
"15";15;"LOC";351;"haar";1;0;8
"16";16;"LOC";351;"haar";1;0;8
"17";17;"LOC";351;"haar";1;0;8
"18";18;"LOC";351;"haar";1;0;8
"19";19;"LOC";351;"haar";1;0;8
"20";20;"LOC";351;"haar";1;0;8
"21";21;"LOC";351;"haar";1;0;8
"22";22;"LOC";351;"haar";1;0;8
"23";23;"LOC";351;"haar";1;0;8
"24";24;"LOC";351;"haar";1;0;8
"25";25;"LOC";351;"haar";1;0;8
"26";26;"LOC";351;"haar";1;0;8
"27";27;"LOC";351;"haar";1;0;8
"28";28;"LOC";351;"haar";1;0;8
"29";29;"LOC";351;"haar";1;0;8
"30";30;"LOC";351;"haar";1;0;8
"31";31;"LOC";351;"haar";1;0;8
"32";32;"LOC";351;"haar";1;0;8
"33";33;"LOC";351;"haar";1;0;8
"34";34;"LOC";351;"haar";1;0;8
"35";35;"LOC";351;"haar";1;0;8
"36";36;"LOC";351;"haar";1;0;8
"37";37;"LOC";351;"haar";1;0;8
"38";38;"LOC";351;"haar";1;0;8
"39";39;"LOC";351;"haar";1;2021,95769866731;8
"40";40;"LOC";351;"haar";1;0;8
"41";41;"LOC";351;"haar";1;0;8
"42";42;"LOC";351;"haar";1;0;8
"43";43;"LOC";351;"haar";1;0;8
"44";44;"LOC";351;"haar";1;0;8
"45";45;"LOC";351;"haar";1;0;8
"46";46;"LOC";351;"haar";1;0;8
"47";47;"LOC";351;"haar";1;0;8
"48";48;"LOC";351;"haar";1;0;8
"49";49;"LOC";351;"haar";1;0;8
"50";50;"LOC";351;"haar";1;0;8
"51";51;"LOC";351;"haar";1;0;8
"52";52;"LOC";351;"haar";1;0;8
"53";53;"LOC";351;"haar";1;0;8
"54";54;"LOC";351;"haar";1;0;8
"55";55;"LOC";351;"haar";1;0;8
"56";56;"LOC";351;"haar";1;0;8
"57";57;"LOC";351;"haar";1;0;8
"58";58;"LOC";351;"haar";1;0;8
"59";59;"LOC";351;"haar";1;0;8
"60";60;"LOC";351;"haar";1;0;8
"61";61;"LOC";351;"haar";1;0;8
"62";62;"LOC";351;"haar";1;0;8
"63";63;"LOC";351;"haar";1;0;8
"64";64;"LOC";351;"haar";1;0;8
"65";65;"LOC";351;"haar";1;0;8
"66";66;"LOC";351;"haar";1;0;8
"67";67;"LOC";351;"haar";1;0;8
"68";68;"LOC";351;"haar";1;0,714177848998588;8
"69";69;"LOC";351;"haar";1;0;8
"70";70;"LOC";351;"haar";1;0;8
"71";71;"LOC";351;"haar";1;0;8
"72";72;"LOC";351;"haar";1;0;8
"73";73;"LOC";351;"haar";1;0;8
"74";74;"LOC";351;"haar";1;232,517922857573;8
"75";75;"LOC";351;"haar";1;0;8
"76";76;"LOC";351;"haar";1;0;8
"77";77;"LOC";351;"haar";1;0;8
"78";78;"LOC";351;"haar";1;54,9761380236914;8
"79";79;"LOC";351;"haar";1;0;8
"80";80;"LOC";351;"haar";1;0;8
"81";81;"LOC";351;"haar";1;0;8
"82";82;"LOC";351;"haar";1;0;8
"83";83;"LOC";351;"haar";1;0;8
"84";84;"LOC";351;"haar";1;0;8
"85";85;"LOC";351;"haar";1;0;8
"86";86;"LOC";351;"haar";1;0;8
"87";87;"LOC";351;"haar";1;348,68283908446;8
"88";88;"LOC";351;"haar";1;0;8
"89";89;"LOC";351;"haar";1;0;8
"90";90;"LOC";351;"haar";1;0;8
"91";91;"LOC";351;"haar";1;0;8
"92";92;"LOC";351;"haar";1;0;8
"93";93;"LOC";351;"haar";1;0;8
"94";94;"LOC";351;"haar";1;0;8
"95";95;"LOC";351;"haar";1;0;8
"96";96;"LOC";351;"haar";1;89,1845498839348;8
"97";97;"LOC";351;"haar";1;0;8
"98";98;"LOC";351;"haar";1;0;8
"99";99;"LOC";351;"haar";1;0;8
"100";100;"LOC";351;"haar";1;0;8
"101";101;"LOC";351;"haar";1;0;8
"102";102;"LOC";351;"haar";1;0;8
"103";103;"LOC";351;"haar";1;0;8
"104";104;"LOC";351;"haar";1;91,0357554370812;8
"105";105;"LOC";351;"haar";1;0;8
"106";106;"LOC";351;"haar";1;0;8
"107";107;"LOC";351;"haar";1;0;8
"108";108;"LOC";351;"haar";1;0;8
"109";109;"LOC";351;"haar";1;0;8
"110";110;"LOC";351;"haar";1;0;8
"111";111;"LOC";351;"haar";1;0;8
"112";112;"LOC";351;"haar";1;0;8
"113";113;"LOC";351;"haar";1;0;8
"114";114;"LOC";351;"haar";1;58,8242131269089;8
"115";115;"LOC";351;"haar";1;0;8
"116";116;"LOC";351;"haar";1;0;8
"117";117;"LOC";351;"haar";1;0;8
"118";118;"LOC";351;"haar";1;0;8
"119";119;"LOC";351;"haar";1;0;8
"120";120;"LOC";351;"haar";1;0;8
"121";121;"LOC";351;"haar";1;0;8
"122";122;"LOC";351;"haar";1;0;8
"123";123;"LOC";351;"haar";1;584,741952702216;8
"124";124;"LOC";351;"haar";1;0;8
