"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Date.Progress";371;"haar";1;0;6
"2";2;"Relative.Date.Progress";371;"haar";1;0;6
"3";3;"Relative.Date.Progress";371;"haar";1;0;6
"4";4;"Relative.Date.Progress";371;"haar";1;14,999149042529;6
"5";5;"Relative.Date.Progress";371;"haar";1;0;6
"6";6;"Relative.Date.Progress";371;"haar";1;8,57084129476214;6
"7";7;"Relative.Date.Progress";371;"haar";1;0;6
"8";8;"Relative.Date.Progress";371;"haar";1;2,14324065377642;6
"9";9;"Relative.Date.Progress";371;"haar";1;0;6
"10";10;"Relative.Date.Progress";371;"haar";1;0;6
"11";11;"Relative.Date.Progress";371;"haar";1;0;6
"12";12;"Relative.Date.Progress";371;"haar";1;0;6
"13";13;"Relative.Date.Progress";371;"haar";1;0;6
"14";14;"Relative.Date.Progress";371;"haar";1;0;6
"15";15;"Relative.Date.Progress";371;"haar";1;0;6
"16";16;"Relative.Date.Progress";371;"haar";1;0;6
"17";17;"Relative.Date.Progress";371;"haar";1;2,14253354699524;6
"18";18;"Relative.Date.Progress";371;"haar";1;0;6
"19";19;"Relative.Date.Progress";371;"haar";1;0;6
"20";20;"Relative.Date.Progress";371;"haar";1;0;6
"21";21;"Relative.Date.Progress";371;"haar";1;0;6
"22";22;"Relative.Date.Progress";371;"haar";1;0;6
"23";23;"Relative.Date.Progress";371;"haar";1;0;6
"24";24;"Relative.Date.Progress";371;"haar";1;0;6
"25";25;"Relative.Date.Progress";371;"haar";1;0;6
"26";26;"Relative.Date.Progress";371;"haar";1;0;6
"27";27;"Relative.Date.Progress";371;"haar";1;0;6
"28";28;"Relative.Date.Progress";371;"haar";1;0;6
"29";29;"Relative.Date.Progress";371;"haar";1;0;6
"30";30;"Relative.Date.Progress";371;"haar";1;0;6
"31";31;"Relative.Date.Progress";371;"haar";1;0;6
"32";32;"Relative.Date.Progress";371;"haar";1;0;6
"33";33;"Relative.Date.Progress";371;"haar";1;0;6
"34";34;"Relative.Date.Progress";371;"haar";1;0;6
"35";35;"Relative.Date.Progress";371;"haar";1;0;6
"36";36;"Relative.Date.Progress";371;"haar";1;0;6
"37";37;"Relative.Date.Progress";371;"haar";1;0;6
"38";38;"Relative.Date.Progress";371;"haar";1;0;6
"39";39;"Relative.Date.Progress";371;"haar";1;0;6
"40";40;"Relative.Date.Progress";371;"haar";1;0;6
"41";1;"Relative.Date.Progress";371;"haar";2;0;5
"42";2;"Relative.Date.Progress";371;"haar";2;10,606;5
"43";3;"Relative.Date.Progress";371;"haar";2;6,0605;5
"44";4;"Relative.Date.Progress";371;"haar";2;1,5155;5
"45";5;"Relative.Date.Progress";371;"haar";2;0;5
"46";6;"Relative.Date.Progress";371;"haar";2;0;5
"47";7;"Relative.Date.Progress";371;"haar";2;0;5
"48";8;"Relative.Date.Progress";371;"haar";2;0;5
"49";9;"Relative.Date.Progress";371;"haar";2;1,515;5
"50";10;"Relative.Date.Progress";371;"haar";2;0;5
"51";11;"Relative.Date.Progress";371;"haar";2;0;5
"52";12;"Relative.Date.Progress";371;"haar";2;0;5
"53";13;"Relative.Date.Progress";371;"haar";2;0;5
"54";14;"Relative.Date.Progress";371;"haar";2;6,06000000000001;5
"55";15;"Relative.Date.Progress";371;"haar";2;0;5
"56";16;"Relative.Date.Progress";371;"haar";2;0;5
"57";17;"Relative.Date.Progress";371;"haar";2;0;5
"58";18;"Relative.Date.Progress";371;"haar";2;0;5
"59";19;"Relative.Date.Progress";371;"haar";2;30,303;5
"60";20;"Relative.Date.Progress";371;"haar";2;0;5
"61";1;"Relative.Date.Progress";371;"haar";3;7,49957452126452;4
"62";2;"Relative.Date.Progress";371;"haar";3;26,7844977645652;4
"63";3;"Relative.Date.Progress";371;"haar";3;0;4
"64";4;"Relative.Date.Progress";371;"haar";3;0;4
"65";5;"Relative.Date.Progress";371;"haar";3;1,07126677349763;4
"66";6;"Relative.Date.Progress";371;"haar";3;0;4
"67";7;"Relative.Date.Progress";371;"haar";3;4,28506709399048;4
"68";8;"Relative.Date.Progress";371;"haar";3;0;4
"69";9;"Relative.Date.Progress";371;"haar";3;0;4
"70";10;"Relative.Date.Progress";371;"haar";3;21,4274567902959;4
"71";1;"Relative.Date.Progress";371;"haar";4;62,121;3
"72";2;"Relative.Date.Progress";371;"haar";4;0;3
"73";3;"Relative.Date.Progress";371;"haar";4;0,757500000000007;3
"74";4;"Relative.Date.Progress";371;"haar";4;9,09000000000002;3
"75";5;"Relative.Date.Progress";371;"haar";4;45,4545;3
