"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.LOC.Churn.Progress";379;"haar";1;0;4
"2";2;"Relative.LOC.Churn.Progress";379;"haar";1;0;4
"3";3;"Relative.LOC.Churn.Progress";379;"haar";1;0;4
"4";4;"Relative.LOC.Churn.Progress";379;"haar";1;25,9197061711741;4
"5";5;"Relative.LOC.Churn.Progress";379;"haar";1;0;4
"6";6;"Relative.LOC.Churn.Progress";379;"haar";1;0;4
"7";7;"Relative.LOC.Churn.Progress";379;"haar";1;22,0617315730203;4
"8";8;"Relative.LOC.Churn.Progress";379;"haar";1;0;4
"9";9;"Relative.LOC.Churn.Progress";379;"haar";1;0;4
"10";10;"Relative.LOC.Churn.Progress";379;"haar";1;19,130773965002;4
"11";1;"Relative.LOC.Churn.Progress";379;"haar";2;0;3
"12";2;"Relative.LOC.Churn.Progress";379;"haar";2;18,328;3
"13";3;"Relative.LOC.Churn.Progress";379;"haar";2;0;3
"14";4;"Relative.LOC.Churn.Progress";379;"haar";2;15,6;3
"15";5;"Relative.LOC.Churn.Progress";379;"haar";2;13,5275;3
