"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Team.Size";357;"haar";1;14,5416509551013;3
"2";2;"Relative.Team.Size";357;"haar";1;0;3
"3";3;"Relative.Team.Size";357;"haar";1;0;3
"4";4;"Relative.Team.Size";357;"haar";1;0;3
"5";5;"Relative.Team.Size";357;"haar";1;0;3
"6";6;"Relative.Team.Size";357;"haar";1;0;3
"7";7;"Relative.Team.Size";357;"haar";1;0;3
"8";1;"Relative.Team.Size";357;"haar";2;0;2
"9";2;"Relative.Team.Size";357;"haar";2;0;2
"10";3;"Relative.Team.Size";357;"haar";2;0;2
