"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Active.Developers";140;"haar";1;1,21218305346265;8
"2";2;"Active.Developers";140;"haar";1;3,93959492375362;8
"3";3;"Active.Developers";140;"haar";1;4,18203153444615;8
"4";4;"Active.Developers";140;"haar";1;4,84873221385061;8
"5";5;"Active.Developers";140;"haar";1;4,44467119602973;8
"6";6;"Active.Developers";140;"haar";1;4,44467119602973;8
"7";7;"Active.Developers";140;"haar";1;2,02030508910442;8
"8";8;"Active.Developers";140;"haar";1;2,02030508910442;8
"9";9;"Active.Developers";140;"haar";1;2,82842712474619;8
"10";10;"Active.Developers";140;"haar";1;0,808122035641768;8
"11";11;"Active.Developers";140;"haar";1;0,404061017820884;8
"12";12;"Active.Developers";140;"haar";1;0,404061017820884;8
"13";13;"Active.Developers";140;"haar";1;1,11116779900743;8
"14";14;"Active.Developers";140;"haar";1;3,03045763365663;8
"15";15;"Active.Developers";140;"haar";1;3,3335033970223;8
"16";16;"Active.Developers";140;"haar";1;1,51522881682832;8
"17";17;"Active.Developers";140;"haar";1;4,24264068711928;8
"18";18;"Active.Developers";140;"haar";1;1,81827458019398;8
"19";19;"Active.Developers";140;"haar";1;2,12132034355964;8
"20";20;"Active.Developers";140;"haar";1;0,90913729009699;8
"21";21;"Active.Developers";140;"haar";1;0,303045763365663;8
"22";22;"Active.Developers";140;"haar";1;0,303045763365663;8
"23";23;"Active.Developers";140;"haar";1;1,21218305346265;8
"24";24;"Active.Developers";140;"haar";1;1,81827458019398;8
"25";25;"Active.Developers";140;"haar";1;0,90913729009699;8
"26";26;"Active.Developers";140;"haar";1;1,51522881682832;8
"27";27;"Active.Developers";140;"haar";1;2,72741187029097;8
"28";28;"Active.Developers";140;"haar";1;2,42436610692531;8
"29";29;"Active.Developers";140;"haar";1;3,63654916038796;8
"30";30;"Active.Developers";140;"haar";1;2,72741187029097;8
"31";31;"Active.Developers";140;"haar";1;2,72741187029097;8
"32";32;"Active.Developers";140;"haar";1;2,72741187029097;8
"33";33;"Active.Developers";140;"haar";1;0,606091526731326;8
"34";34;"Active.Developers";140;"haar";1;3,93959492375362;8
"35";35;"Active.Developers";140;"haar";1;2,72741187029097;8
"36";36;"Active.Developers";140;"haar";1;1,21218305346265;8
"37";37;"Active.Developers";140;"haar";1;1,81827458019398;8
"38";38;"Active.Developers";140;"haar";1;1,51522881682832;8
"39";39;"Active.Developers";140;"haar";1;2,12132034355964;8
"40";40;"Active.Developers";140;"haar";1;3,03045763365663;8
"41";41;"Active.Developers";140;"haar";1;3,40926483786371;8
"42";42;"Active.Developers";140;"haar";1;4,06866997111307;8
"43";43;"Active.Developers";140;"haar";1;6,41446865790654;8
"44";44;"Active.Developers";140;"haar";1;6,36396103067893;8
"45";45;"Active.Developers";140;"haar";1;6,37658793748583;8
"46";46;"Active.Developers";140;"haar";1;4,24264068711928;8
"47";47;"Active.Developers";140;"haar";1;4,94974746830583;8
"48";48;"Active.Developers";140;"haar";1;4,94974746830583;8
"49";49;"Active.Developers";140;"haar";1;3,53553390593274;8
"50";50;"Active.Developers";140;"haar";1;5,65685424949238;8
"51";51;"Active.Developers";140;"haar";1;8,75946563633131;8
"52";52;"Active.Developers";140;"haar";1;5,85888475840282;8
"53";53;"Active.Developers";140;"haar";1;3,53553390593274;8
"54";54;"Active.Developers";140;"haar";1;7,07106781186547;8
"55";55;"Active.Developers";140;"haar";1;4,24264068711928;8
"56";56;"Active.Developers";140;"haar";1;0,707106781186547;8
"57";57;"Active.Developers";140;"haar";1;1,41421356237309;8
"58";58;"Active.Developers";140;"haar";1;5,05076272276105;8
"59";59;"Active.Developers";140;"haar";1;7,77817459305202;8
"60";60;"Active.Developers";140;"haar";1;6,36396103067893;8
"61";61;"Active.Developers";140;"haar";1;8,48528137423857;8
"62";62;"Active.Developers";140;"haar";1;7,77817459305202;8
"63";63;"Active.Developers";140;"haar";1;7,77817459305202;8
"64";64;"Active.Developers";140;"haar";1;8,23274323810052;8
"65";65;"Active.Developers";140;"haar";1;3,53553390593274;8
"66";66;"Active.Developers";140;"haar";1;2,52538136138053;8
"67";67;"Active.Developers";140;"haar";1;5,55583899503716;8
"68";68;"Active.Developers";140;"haar";1;5,55583899503716;8
"69";69;"Active.Developers";140;"haar";1;6,86903730295503;8
"70";70;"Active.Developers";140;"haar";1;3,43451865147752;8
"71";71;"Active.Developers";140;"haar";1;2,12132034355964;8
"72";72;"Active.Developers";140;"haar";1;0,90913729009699;8
"73";73;"Active.Developers";140;"haar";1;2,12132034355964;8
"74";74;"Active.Developers";140;"haar";1;1,21218305346265;8
"75";75;"Active.Developers";140;"haar";1;0,90913729009699;8
"76";76;"Active.Developers";140;"haar";1;1,81827458019398;8
"77";77;"Active.Developers";140;"haar";1;1,51522881682832;8
"78";78;"Active.Developers";140;"haar";1;4,24264068711928;8
"79";79;"Active.Developers";140;"haar";1;4,64670170494017;8
"80";80;"Active.Developers";140;"haar";1;2,02030508910442;8
"81";81;"Active.Developers";140;"haar";1;5,25279323167149;8
"82";82;"Active.Developers";140;"haar";1;6,33028927919385;8
"83";83;"Active.Developers";140;"haar";1;5,05076272276105;8
"84";84;"Active.Developers";140;"haar";1;7,02056018463786;8
"85";85;"Active.Developers";140;"haar";1;8,48528137423857;8
"86";86;"Active.Developers";140;"haar";1;6,06091526731326;8
"87";87;"Active.Developers";140;"haar";1;8,2697821647341;8
"88";88;"Active.Developers";140;"haar";1;9,19238815542512;8
"89";89;"Active.Developers";140;"haar";1;9,19238815542512;8
"90";90;"Active.Developers";140;"haar";1;5,65685424949238;8
"91";91;"Active.Developers";140;"haar";1;2,12132034355964;8
"92";92;"Active.Developers";140;"haar";1;9,19238815542512;8
"93";93;"Active.Developers";140;"haar";1;8,48528137423857;8
"94";94;"Active.Developers";140;"haar";1;5,65685424949238;8
"95";95;"Active.Developers";140;"haar";1;9,19238815542512;8
"96";96;"Active.Developers";140;"haar";1;9,19238815542512;8
"97";97;"Active.Developers";140;"haar";1;7,4953318805774;8
"98";98;"Active.Developers";140;"haar";1;7,87918984750724;8
"99";99;"Active.Developers";140;"haar";1;5,44219683377503;8
"100";100;"Active.Developers";140;"haar";1;6,56599153958937;8
"101";101;"Active.Developers";140;"haar";1;5,55583899503716;8
"102";102;"Active.Developers";140;"haar";1;5,55583899503716;8
"103";103;"Active.Developers";140;"haar";1;5,05076272276105;8
"104";104;"Active.Developers";140;"haar";1;5,83868170751178;8
"105";105;"Active.Developers";140;"haar";1;6,06091526731326;8
"106";106;"Active.Developers";140;"haar";1;6,06091526731326;8
"107";107;"Active.Developers";140;"haar";1;5,45482374058194;8
"108";108;"Active.Developers";140;"haar";1;4,24264068711928;8
"109";109;"Active.Developers";140;"haar";1;6,06091526731326;8
"110";110;"Active.Developers";140;"haar";1;2,42436610692531;8
"111";111;"Active.Developers";140;"haar";1;2,42436610692531;8
"112";112;"Active.Developers";140;"haar";1;1,81827458019398;8
"113";113;"Active.Developers";140;"haar";1;1,81827458019398;8
"114";114;"Active.Developers";140;"haar";1;3,63654916038796;8
"115";115;"Active.Developers";140;"haar";1;2,42436610692531;8
"116";116;"Active.Developers";140;"haar";1;3,03045763365663;8
"117";117;"Active.Developers";140;"haar";1;4,84873221385061;8
"118";118;"Active.Developers";140;"haar";1;1,81827458019398;8
"119";119;"Active.Developers";140;"haar";1;4,84873221385061;8
"120";120;"Active.Developers";140;"haar";1;3,03045763365663;8
"121";121;"Active.Developers";140;"haar";1;3,03045763365663;8
"122";122;"Active.Developers";140;"haar";1;6,06091526731326;8
"123";123;"Active.Developers";140;"haar";1;5,45482374058194;8
"124";124;"Active.Developers";140;"haar";1;5,45482374058194;8
"125";125;"Active.Developers";140;"haar";1;6,06091526731326;8
"126";126;"Active.Developers";140;"haar";1;4,24264068711928;8
"127";127;"Active.Developers";140;"haar";1;6,66700679404459;8
"128";128;"Active.Developers";140;"haar";1;4,84873221385061;8
"129";129;"Active.Developers";140;"haar";1;4,24264068711928;8
"130";130;"Active.Developers";140;"haar";1;4,24264068711928;8
"131";131;"Active.Developers";140;"haar";1;3,63654916038796;8
"132";132;"Active.Developers";140;"haar";1;2,42436610692531;8
"133";133;"Active.Developers";140;"haar";1;3,03045763365663;8
"134";134;"Active.Developers";140;"haar";1;3,03045763365663;8
"135";135;"Active.Developers";140;"haar";1;1,81827458019398;8
"136";136;"Active.Developers";140;"haar";1;1,81827458019398;8
"137";137;"Active.Developers";140;"haar";1;0,606091526731326;8
