Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Active.Developers;15;5;6;149;6;35;4;3,996803e-15;0,2500000-0,5357143-0,3928571-0,2500000;0,1285649;0,1071429
Date;Active.Developers;17;4;3;149;6;21;4;7,327472e-15;0,15152288-0,10101525-0,05050763-0,05050763;0,01785714;-0,07576144
Date;Active.Developers;17;4;3;149;6;36;4;1,332268e-15;0,15152288-0,10101525-0,05050763-0,05050763;0,04545455;-1,387779e-16
Date;Active.Developers;17;5;5;17;6;3;4;2,342571e-14;0,28571429-0,14285714-0,07142857-0,07142857;0,1571348;0,04761905
Date;Active.Developers;17;5;6;17;6;9;4;0;0,14285714-0,07142857-0,07142857-0,07142857;0,3535534;0,03571429
Date;Active.Developers;17;5;6;146;6;53;4;0;0,14285714-0,07142857-0,07142857-0,07142857;0,05892557;-0,1428571
Date;Active.Developers;17;5;6;147;6;18;4;1,998401e-15;0,14285714-0,07142857-0,07142857-0,07142857;0,004364857;0,05996473
Date;Active.Developers;17;5;6;147;6;27;4;3,330669e-16;0,14285714-0,07142857-0,07142857-0,07142857;0,01262691;0,03571429
Date;Active.Developers;17;5;6;149;6;37;4;0;0,14285714-0,07142857-0,07142857-0,07142857;0,06428243;-1,94289e-16
Date;Active.Developers;17;5;6;163;6;44;4;2,220446e-16;0,14285714-0,07142857-0,07142857-0,07142857;0,125;0,05357143
Date;Active.Developers;17;5;5;257;4;5;4;1,332268e-15;0,28571429-0,14285714-0,07142857-0,07142857;0,7071068;0
Date;Active.Developers;17;6;3;17;5;5;4;2,342571e-14;1,5152288-0,6060915-0,1515229-0,1515229;6,363961;-0,3030458
Date;Active.Developers;17;6;9;17;5;6;4;0;0,3030458-0,1010153-0,1010153-0,1010153;2,828427;-0,1010153
Date;Active.Developers;17;6;9;146;6;53;4;2,220446e-16;0,3030458-0,1010153-0,1010153-0,1010153;0,1666667;-0,5050763
Date;Active.Developers;17;6;9;147;6;18;4;2,220446e-16;0,3030458-0,1010153-0,1010153-0,1010153;0,01234568;0,0685906
Date;Active.Developers;17;6;9;147;6;27;4;2,220446e-16;0,3030458-0,1010153-0,1010153-0,1010153;0,03571429;-5,551115e-17
Date;Active.Developers;17;6;9;149;6;37;4;0;0,3030458-0,1010153-0,1010153-0,1010153;0,1818182;-0,1010153
Date;Active.Developers;17;6;9;163;6;44;4;6,661338e-16;0,3030458-0,1010153-0,1010153-0,1010153;0,3535534;0,05050763
Date;Active.Developers;17;6;3;257;4;5;4;1,909584e-14;1,5152288-0,6060915-0,1515229-0,1515229;4,5;-0,3030458
Date;Active.Developers;18;6;27;147;6;13;4;NaN;0,00000000-0,05050763-0,05050763-0,05050763;0,0755814;-2,148336
Date;Active.Developers;18;6;26;163;6;12;4;NaN;0,05050763-0,00000000-0,05050763-0,05050763;0,7071068;0
Date;Active.Developers;18;6;26;340;6;1;4;NaN;0,05050763-0,00000000-0,05050763-0,05050763;0,5;0
Date;Active.Developers;18;6;26;340;6;7;4;NaN;0,05050763-0,00000000-0,05050763-0,05050763;0,5;0
Date;Active.Developers;18;6;26;340;6;7;5;NaN;0,05050763-0,00000000-0,05050763-0,05050763-0,05050763;0,5;0
Date;Active.Developers;18;6;27;340;6;8;4;NaN;0,00000000-0,05050763-0,05050763-0,05050763;0,5;0
Date;Active.Developers;18;6;26;378;5;9;4;NaN;0,05050763-0,00000000-0,05050763-0,05050763;0,2;0
Date;Active.Developers;18;6;26;378;5;9;5;NaN;0,05050763-0,00000000-0,05050763-0,05050763-0,05050763;0,2;0
