"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Added";168;"haar";1;0;8
"2";2;"Commit.LOC.Added";168;"haar";1;0;8
"3";3;"Commit.LOC.Added";168;"haar";1;0;8
"4";4;"Commit.LOC.Added";168;"haar";1;0;8
"5";5;"Commit.LOC.Added";168;"haar";1;0;8
"6";6;"Commit.LOC.Added";168;"haar";1;0;8
"7";7;"Commit.LOC.Added";168;"haar";1;0;8
"8";8;"Commit.LOC.Added";168;"haar";1;0;8
"9";9;"Commit.LOC.Added";168;"haar";1;0;8
"10";10;"Commit.LOC.Added";168;"haar";1;0;8
"11";11;"Commit.LOC.Added";168;"haar";1;0;8
"12";12;"Commit.LOC.Added";168;"haar";1;9561,19484944113;8
"13";13;"Commit.LOC.Added";168;"haar";1;349,512780415065;8
"14";14;"Commit.LOC.Added";168;"haar";1;505,934901938975;8
"15";15;"Commit.LOC.Added";168;"haar";1;120,006122292803;8
"16";16;"Commit.LOC.Added";168;"haar";1;2040,81118575883;8
"17";17;"Commit.LOC.Added";168;"haar";1;3055,84853940148;8
"18";18;"Commit.LOC.Added";168;"haar";1;0;8
"19";19;"Commit.LOC.Added";168;"haar";1;217,738380978229;8
"20";20;"Commit.LOC.Added";168;"haar";1;418,354676326298;8
"21";21;"Commit.LOC.Added";168;"haar";1;256,073670043985;8
"22";22;"Commit.LOC.Added";168;"haar";1;517,248610437959;8
"23";23;"Commit.LOC.Added";168;"haar";1;826,877201218954;8
"24";24;"Commit.LOC.Added";168;"haar";1;86,368042559214;8
"25";25;"Commit.LOC.Added";168;"haar";1;307,490434561693;8
"26";26;"Commit.LOC.Added";168;"haar";1;489,553594841486;8
"27";27;"Commit.LOC.Added";168;"haar";1;182,164175534249;8
"28";28;"Commit.LOC.Added";168;"haar";1;1300,01581721147;8
"29";29;"Commit.LOC.Added";168;"haar";1;220,684659233173;8
"30";30;"Commit.LOC.Added";168;"haar";1;146,128667094923;8
"31";31;"Commit.LOC.Added";168;"haar";1;0;8
"32";32;"Commit.LOC.Added";168;"haar";1;2127,15397450443;8
"33";33;"Commit.LOC.Added";168;"haar";1;669,007194381187;8
"34";34;"Commit.LOC.Added";168;"haar";1;953,861794007039;8
"35";35;"Commit.LOC.Added";168;"haar";1;803,317076704849;8
"36";36;"Commit.LOC.Added";168;"haar";1;221,071884375251;8
"37";37;"Commit.LOC.Added";168;"haar";1;680,64078451928;8
"38";38;"Commit.LOC.Added";168;"haar";1;5955,96041793429;8
"39";39;"Commit.LOC.Added";168;"haar";1;5209,8112409008;8
"40";40;"Commit.LOC.Added";168;"haar";1;652,834652142906;8
"41";41;"Commit.LOC.Added";168;"haar";1;104,587827287787;8
"42";42;"Commit.LOC.Added";168;"haar";1;10,5459925651251;8
"43";43;"Commit.LOC.Added";168;"haar";1;104,389163954025;8
"44";44;"Commit.LOC.Added";168;"haar";1;165,71552493379;8
"45";45;"Commit.LOC.Added";168;"haar";1;407,663895229787;8
"46";46;"Commit.LOC.Added";168;"haar";1;638,43324403274;8
"47";47;"Commit.LOC.Added";168;"haar";1;471,96178827811;8
"48";48;"Commit.LOC.Added";168;"haar";1;335,34539097772;8
"49";49;"Commit.LOC.Added";168;"haar";1;546,05094563327;8
"50";50;"Commit.LOC.Added";168;"haar";1;234,232488443192;8
"51";51;"Commit.LOC.Added";168;"haar";1;266,367605497994;8
"52";52;"Commit.LOC.Added";168;"haar";1;424,346564503067;8
"53";53;"Commit.LOC.Added";168;"haar";1;239,254630177191;8
"54";54;"Commit.LOC.Added";168;"haar";1;1259,50870017492;8
