"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Modified";147;"haar";1;0,808122035641768;6
"2";2;"Commit.LOC.Modified";147;"haar";1;0;6
"3";3;"Commit.LOC.Modified";147;"haar";1;14,9401561339272;6
"4";4;"Commit.LOC.Modified";147;"haar";1;21,3268455968585;6
"5";5;"Commit.LOC.Modified";147;"haar";1;31,0135962854509;6
"6";6;"Commit.LOC.Modified";147;"haar";1;32,6609959164007;6
"7";7;"Commit.LOC.Modified";147;"haar";1;25,0074270476501;6
"8";8;"Commit.LOC.Modified";147;"haar";1;35,7505995057374;6
"9";9;"Commit.LOC.Modified";147;"haar";1;32,5634975876371;6
"10";10;"Commit.LOC.Modified";147;"haar";1;36,2075404787314;6
"11";11;"Commit.LOC.Modified";147;"haar";1;56,3618537508756;6
"12";12;"Commit.LOC.Modified";147;"haar";1;28,7342835494132;6
"13";13;"Commit.LOC.Modified";147;"haar";1;15,3299335063245;6
"14";14;"Commit.LOC.Modified";147;"haar";1;17,5808632441441;6
"15";15;"Commit.LOC.Modified";147;"haar";1;13,4708652066249;6
"16";16;"Commit.LOC.Modified";147;"haar";1;35,309309812336;6
"17";17;"Commit.LOC.Modified";147;"haar";1;9,45334422943444;6
"18";18;"Commit.LOC.Modified";147;"haar";1;5,05076272276105;6
"19";19;"Commit.LOC.Modified";147;"haar";1;4,04061017820884;6
"20";20;"Commit.LOC.Modified";147;"haar";1;3,93959492375362;6
"21";21;"Commit.LOC.Modified";147;"haar";1;0,101015254455221;6
"22";22;"Commit.LOC.Modified";147;"haar";1;317,632366108997;6
"23";23;"Commit.LOC.Modified";147;"haar";1;36,2109021876865;6
"24";24;"Commit.LOC.Modified";147;"haar";1;3,35333603292374;6
"25";25;"Commit.LOC.Modified";147;"haar";1;5,57165099620476;6
"26";26;"Commit.LOC.Modified";147;"haar";1;10,3090877421765;6
"27";27;"Commit.LOC.Modified";147;"haar";1;0,90913729009699;6
"28";28;"Commit.LOC.Modified";147;"haar";1;0;6
"29";29;"Commit.LOC.Modified";147;"haar";1;0,404061017820884;6
"30";30;"Commit.LOC.Modified";147;"haar";1;0,404061017820884;6
"31";31;"Commit.LOC.Modified";147;"haar";1;0;6
"32";32;"Commit.LOC.Modified";147;"haar";1;0;6
"33";33;"Commit.LOC.Modified";147;"haar";1;0,146931279207594;6
"34";34;"Commit.LOC.Modified";147;"haar";1;0,875465538611916;6
"35";35;"Commit.LOC.Modified";147;"haar";1;0;6
"36";36;"Commit.LOC.Modified";147;"haar";1;0;6
"37";37;"Commit.LOC.Modified";147;"haar";1;0;6
"38";38;"Commit.LOC.Modified";147;"haar";1;0;6
"39";39;"Commit.LOC.Modified";147;"haar";1;0;6
"40";40;"Commit.LOC.Modified";147;"haar";1;0;6
"41";41;"Commit.LOC.Modified";147;"haar";1;0;6
"42";42;"Commit.LOC.Modified";147;"haar";1;0;6
"43";43;"Commit.LOC.Modified";147;"haar";1;0;6
"44";44;"Commit.LOC.Modified";147;"haar";1;4,14162543266406;6
"45";45;"Commit.LOC.Modified";147;"haar";1;2,73246263301373;6
"46";46;"Commit.LOC.Modified";147;"haar";1;5,42296079749886;6
"47";47;"Commit.LOC.Modified";147;"haar";1;4,60805571744025;6
"48";48;"Commit.LOC.Modified";147;"haar";1;7,60723138101705;6
"49";49;"Commit.LOC.Modified";147;"haar";1;0,580837713117521;6
"50";50;"Commit.LOC.Modified";147;"haar";1;5,48007755419574;6
"51";51;"Commit.LOC.Modified";147;"haar";1;17,9302076658017;6
"52";52;"Commit.LOC.Modified";147;"haar";1;10,3463726475141;6
"53";53;"Commit.LOC.Modified";147;"haar";1;29,0166318422622;6
"54";54;"Commit.LOC.Modified";147;"haar";1;4,84873221385061;6
"55";55;"Commit.LOC.Modified";147;"haar";1;1,81827458019398;6
"56";56;"Commit.LOC.Modified";147;"haar";1;0,505076272276105;6
"57";57;"Commit.LOC.Modified";147;"haar";1;0;6
"58";58;"Commit.LOC.Modified";147;"haar";1;32,2238661712155;6
"59";59;"Commit.LOC.Modified";147;"haar";1;7,45588782883775;6
"60";60;"Commit.LOC.Modified";147;"haar";1;8,49971212487503;6
"61";1;"Commit.LOC.Modified";147;"haar";2;0,571428571428571;5
"62";2;"Commit.LOC.Modified";147;"haar";2;25,6446428571429;5
"63";3;"Commit.LOC.Modified";147;"haar";2;45,0247359352173;5
"64";4;"Commit.LOC.Modified";147;"haar";2;42,9624125874126;5
"65";5;"Commit.LOC.Modified";147;"haar";2;48,6284673659674;5
"66";6;"Commit.LOC.Modified";147;"haar";2;60,1720557378157;5
"67";7;"Commit.LOC.Modified";147;"haar";2;23,2714475565085;5
"68";8;"Commit.LOC.Modified";147;"haar";2;34,4927925433739;5
"69";9;"Commit.LOC.Modified";147;"haar";2;10,2559523809524;5
"70";10;"Commit.LOC.Modified";147;"haar";2;5,64285714285714;5
"71";11;"Commit.LOC.Modified";147;"haar";2;224,671428571429;5
"72";12;"Commit.LOC.Modified";147;"haar";2;27,9761411382735;5
"73";13;"Commit.LOC.Modified";147;"haar";2;11,2293780521613;5
"74";14;"Commit.LOC.Modified";147;"haar";2;0,642857142857143;5
"75";15;"Commit.LOC.Modified";147;"haar";2;0,571428571428571;5
"76";16;"Commit.LOC.Modified";147;"haar";2;0;5
"77";17;"Commit.LOC.Modified";147;"haar";2;0,722943722943723;5
"78";18;"Commit.LOC.Modified";147;"haar";2;0;5
"79";19;"Commit.LOC.Modified";147;"haar";2;0;5
"80";20;"Commit.LOC.Modified";147;"haar";2;0;5
"81";21;"Commit.LOC.Modified";147;"haar";2;0;5
"82";22;"Commit.LOC.Modified";147;"haar";2;2,92857142857143;5
"83";23;"Commit.LOC.Modified";147;"haar";2;5,7667552111631;5
"84";24;"Commit.LOC.Modified";147;"haar";2;8,63751234145971;5
"85";25;"Commit.LOC.Modified";147;"haar";2;4,28571428571428;5
"86";26;"Commit.LOC.Modified";147;"haar";2;19,9945616883117;5
"87";27;"Commit.LOC.Modified";147;"haar";2;23,9464285714286;5
"88";28;"Commit.LOC.Modified";147;"haar";2;1,64285714285714;5
"89";29;"Commit.LOC.Modified";147;"haar";2;22,7857142857143;5
"90";30;"Commit.LOC.Modified";147;"haar";2;11,2823129251701;5
"91";1;"Commit.LOC.Modified";147;"haar";3;18,5375618832138;4
"92";2;"Commit.LOC.Modified";147;"haar";3;62,2163093776195;4
"93";3;"Commit.LOC.Modified";147;"haar";3;76,9335876833286;4
"94";4;"Commit.LOC.Modified";147;"haar";3;40,8454858847148;4
"95";5;"Commit.LOC.Modified";147;"haar";3;11,242156027079;4
"96";6;"Commit.LOC.Modified";147;"haar";3;178,648809792031;4
"97";7;"Commit.LOC.Modified";147;"haar";3;8,39493801423913;4
"98";8;"Commit.LOC.Modified";147;"haar";3;0,404061017820884;4
"99";9;"Commit.LOC.Modified";147;"haar";3;0,511198408909755;4
"100";10;"Commit.LOC.Modified";147;"haar";3;0;4
"101";11;"Commit.LOC.Modified";147;"haar";3;2,07081271633203;4
"102";12;"Commit.LOC.Modified";147;"haar";3;10,1853552644849;4
"103";13;"Commit.LOC.Modified";147;"haar";3;17,1687477903146;4
"104";14;"Commit.LOC.Modified";147;"haar";3;18,0943574542915;4
"105";15;"Commit.LOC.Modified";147;"haar";3;24,0897330624641;4
"106";1;"Commit.LOC.Modified";147;"haar";4;98,3938358132065;3
"107";2;"Commit.LOC.Modified";147;"haar";4;36,831524811846;3
"108";3;"Commit.LOC.Modified";147;"haar";4;132,25990245236;3
"109";4;"Commit.LOC.Modified";147;"haar";4;0,647186147186147;3
"110";5;"Commit.LOC.Modified";147;"haar";4;1,46428571428571;3
"111";6;"Commit.LOC.Modified";147;"haar";4;19,3422717633244;3
"112";7;"Commit.LOC.Modified";147;"haar";4;29,828656462585;3
"113";1;"Commit.LOC.Modified";147;"haar";5;119,565694859032;2
"114";2;"Commit.LOC.Modified";147;"haar";5;1,49303607153133;2
"115";3;"Commit.LOC.Modified";147;"haar";5;34,7690967857775;2
