"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Removed";168;"haar";1;0;8
"2";2;"Commit.LOC.Removed";168;"haar";1;0;8
"3";3;"Commit.LOC.Removed";168;"haar";1;0;8
"4";4;"Commit.LOC.Removed";168;"haar";1;0;8
"5";5;"Commit.LOC.Removed";168;"haar";1;0;8
"6";6;"Commit.LOC.Removed";168;"haar";1;0;8
"7";7;"Commit.LOC.Removed";168;"haar";1;0;8
"8";8;"Commit.LOC.Removed";168;"haar";1;0;8
"9";9;"Commit.LOC.Removed";168;"haar";1;0;8
"10";10;"Commit.LOC.Removed";168;"haar";1;0;8
"11";11;"Commit.LOC.Removed";168;"haar";1;0;8
"12";12;"Commit.LOC.Removed";168;"haar";1;13,3340135880892;8
"13";13;"Commit.LOC.Removed";168;"haar";1;87,3781951037662;8
"14";14;"Commit.LOC.Removed";168;"haar";1;962,271313940436;8
"15";15;"Commit.LOC.Removed";168;"haar";1;296,580787080529;8
"16";16;"Commit.LOC.Removed";168;"haar";1;628,412530790782;8
"17";17;"Commit.LOC.Removed";168;"haar";1;106,538624261326;8
"18";18;"Commit.LOC.Removed";168;"haar";1;0;8
"19";19;"Commit.LOC.Removed";168;"haar";1;59,0939238563043;8
"20";20;"Commit.LOC.Removed";168;"haar";1;192,737105500562;8
"21";21;"Commit.LOC.Removed";168;"haar";1;77,680730676065;8
"22";22;"Commit.LOC.Removed";168;"haar";1;99,1464722477995;8
"23";23;"Commit.LOC.Removed";168;"haar";1;196,020101270356;8
"24";24;"Commit.LOC.Removed";168;"haar";1;72,1753993082555;8
"25";25;"Commit.LOC.Removed";168;"haar";1;553,967655432432;8
"26";26;"Commit.LOC.Removed";168;"haar";1;252,336105629142;8
"27";27;"Commit.LOC.Removed";168;"haar";1;116,167542623504;8
"28";28;"Commit.LOC.Removed";168;"haar";1;189,151063967401;8
"29";29;"Commit.LOC.Removed";168;"haar";1;65,7440947746064;8
"30";30;"Commit.LOC.Removed";168;"haar";1;47,4670680685084;8
"31";31;"Commit.LOC.Removed";168;"haar";1;0;8
"32";32;"Commit.LOC.Removed";168;"haar";1;298,399061660723;8
"33";33;"Commit.LOC.Removed";168;"haar";1;183,620478785978;8
"34";34;"Commit.LOC.Removed";168;"haar";1;424,036784389404;8
"35";35;"Commit.LOC.Removed";168;"haar";1;145,064639747994;8
"36";36;"Commit.LOC.Removed";168;"haar";1;55,2300903733921;8
"37";37;"Commit.LOC.Removed";168;"haar";1;153,947247789757;8
"38";38;"Commit.LOC.Removed";168;"haar";1;475,983878993002;8
"39";39;"Commit.LOC.Removed";168;"haar";1;264,26432359273;8
"40";40;"Commit.LOC.Removed";168;"haar";1;507,012397986497;8
"41";41;"Commit.LOC.Removed";168;"haar";1;28,9038314747873;8
"42";42;"Commit.LOC.Removed";168;"haar";1;2,1011172926686;8
"43";43;"Commit.LOC.Removed";168;"haar";1;3,01025458276559;8
"44";44;"Commit.LOC.Removed";168;"haar";1;121,698127804928;8
"45";45;"Commit.LOC.Removed";168;"haar";1;187,097087126812;8
"46";46;"Commit.LOC.Removed";168;"haar";1;549,826029999768;8
"47";47;"Commit.LOC.Removed";168;"haar";1;399,003520747826;8
"48";48;"Commit.LOC.Removed";168;"haar";1;330,734044611839;8
"49";49;"Commit.LOC.Removed";168;"haar";1;732,431305478471;8
"50";50;"Commit.LOC.Removed";168;"haar";1;119,455589156022;8
"51";51;"Commit.LOC.Removed";168;"haar";1;260,476251550659;8
"52";52;"Commit.LOC.Removed";168;"haar";1;69,3663334406132;8
"53";53;"Commit.LOC.Removed";168;"haar";1;143,441661326414;8
"54";54;"Commit.LOC.Removed";168;"haar";1;279,105148059776;8
"55";55;"Commit.LOC.Removed";168;"haar";1;109,868612475501;8
"56";56;"Commit.LOC.Removed";168;"haar";1;166,287944709036;8
"57";57;"Commit.LOC.Removed";168;"haar";1;54,2227438081303;8
"58";58;"Commit.LOC.Removed";168;"haar";1;54,6933466205527;8
"59";59;"Commit.LOC.Removed";168;"haar";1;362,310851958683;8
"60";60;"Commit.LOC.Removed";168;"haar";1;406,636906809492;8
"61";61;"Commit.LOC.Removed";168;"haar";1;139,120453219163;8
"62";62;"Commit.LOC.Removed";168;"haar";1;30,4729350939917;8
"63";63;"Commit.LOC.Removed";168;"haar";1;9,3749926538634;8
"64";64;"Commit.LOC.Removed";168;"haar";1;69,5201411911468;8
"65";65;"Commit.LOC.Removed";168;"haar";1;128,606778933159;8
