"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.Developers";147;"haar";1;8,48528137423857;6
"2";2;"Cumulative.Developers";147;"haar";1;8,48528137423857;6
"3";3;"Cumulative.Developers";147;"haar";1;8,48528137423857;6
"4";4;"Cumulative.Developers";147;"haar";1;17,6776695296637;6
"5";5;"Cumulative.Developers";147;"haar";1;22,6274169979695;6
"6";6;"Cumulative.Developers";147;"haar";1;25,4558441227157;6
"7";7;"Cumulative.Developers";147;"haar";1;25,4558441227157;6
"8";8;"Cumulative.Developers";147;"haar";1;25,4558441227157;6
"9";9;"Cumulative.Developers";147;"haar";1;31,1126983722081;6
"10";10;"Cumulative.Developers";147;"haar";1;31,1126983722081;6
"11";11;"Cumulative.Developers";147;"haar";1;41,0121933088197;6
"12";12;"Cumulative.Developers";147;"haar";1;69,2964645562816;6
"13";13;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"14";14;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"15";15;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"16";16;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"17";17;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"18";18;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"19";19;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"20";20;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"21";21;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"22";22;"Cumulative.Developers";147;"haar";1;76,3675323681471;6
"23";23;"Cumulative.Developers";147;"haar";1;79,1959594928933;6
"24";24;"Cumulative.Developers";147;"haar";1;82,0243866176395;6
"25";25;"Cumulative.Developers";147;"haar";1;82,0243866176395;6
"26";26;"Cumulative.Developers";147;"haar";1;83,4386001800126;6
"27";27;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"28";28;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"29";29;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"30";30;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"31";31;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"32";32;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"33";33;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"34";34;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"35";35;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"36";36;"Cumulative.Developers";147;"haar";1;84,8528137423857;6
"37";37;"Cumulative.Developers";147;"haar";1;87,6812408671319;6
"38";38;"Cumulative.Developers";147;"haar";1;87,6812408671319;6
"39";39;"Cumulative.Developers";147;"haar";1;87,6812408671319;6
"40";40;"Cumulative.Developers";147;"haar";1;87,6812408671319;6
"41";41;"Cumulative.Developers";147;"haar";1;87,6812408671319;6
"42";42;"Cumulative.Developers";147;"haar";1;87,6812408671319;6
"43";43;"Cumulative.Developers";147;"haar";1;87,6812408671319;6
"44";44;"Cumulative.Developers";147;"haar";1;87,6812408671319;6
"45";45;"Cumulative.Developers";147;"haar";1;89,8025612106915;6
"46";46;"Cumulative.Developers";147;"haar";1;118,79393923934;6
"47";47;"Cumulative.Developers";147;"haar";1;125,157900270019;6
"48";48;"Cumulative.Developers";147;"haar";1;128,693434175952;6
"49";49;"Cumulative.Developers";147;"haar";1;128,693434175952;6
"50";50;"Cumulative.Developers";147;"haar";1;128,693434175952;6
"51";51;"Cumulative.Developers";147;"haar";1;128,693434175952;6
"52";52;"Cumulative.Developers";147;"haar";1;131,521861300698;6
"53";53;"Cumulative.Developers";147;"haar";1;131,521861300698;6
"54";54;"Cumulative.Developers";147;"haar";1;131,521861300698;6
"55";55;"Cumulative.Developers";147;"haar";1;131,521861300698;6
"56";56;"Cumulative.Developers";147;"haar";1;131,521861300698;6
"57";57;"Cumulative.Developers";147;"haar";1;131,521861300698;6
"58";58;"Cumulative.Developers";147;"haar";1;131,521861300698;6
"59";59;"Cumulative.Developers";147;"haar";1;137,17871555019;6
"60";60;"Cumulative.Developers";147;"haar";1;137,885822331377;6
"61";1;"Cumulative.Developers";147;"haar";2;12;5
"62";2;"Cumulative.Developers";147;"haar";2;18,5;5
"63";3;"Cumulative.Developers";147;"haar";2;34;5
"64";4;"Cumulative.Developers";147;"haar";2;36;5
"65";5;"Cumulative.Developers";147;"haar";2;44;5
"66";6;"Cumulative.Developers";147;"haar";2;78;5
"67";7;"Cumulative.Developers";147;"haar";2;108;5
"68";8;"Cumulative.Developers";147;"haar";2;108;5
"69";9;"Cumulative.Developers";147;"haar";2;108;5
"70";10;"Cumulative.Developers";147;"haar";2;108;5
"71";11;"Cumulative.Developers";147;"haar";2;108;5
"72";12;"Cumulative.Developers";147;"haar";2;114;5
"73";13;"Cumulative.Developers";147;"haar";2;117;5
"74";14;"Cumulative.Developers";147;"haar";2;120;5
"75";15;"Cumulative.Developers";147;"haar";2;120;5
"76";16;"Cumulative.Developers";147;"haar";2;120;5
"77";17;"Cumulative.Developers";147;"haar";2;120;5
"78";18;"Cumulative.Developers";147;"haar";2;120;5
"79";19;"Cumulative.Developers";147;"haar";2;124;5
"80";20;"Cumulative.Developers";147;"haar";2;124;5
"81";21;"Cumulative.Developers";147;"haar";2;124;5
"82";22;"Cumulative.Developers";147;"haar";2;124;5
"83";23;"Cumulative.Developers";147;"haar";2;147,5;5
"84";24;"Cumulative.Developers";147;"haar";2;179,5;5
"85";25;"Cumulative.Developers";147;"haar";2;182;5
"86";26;"Cumulative.Developers";147;"haar";2;184;5
"87";27;"Cumulative.Developers";147;"haar";2;186;5
"88";28;"Cumulative.Developers";147;"haar";2;186;5
"89";29;"Cumulative.Developers";147;"haar";2;186;5
"90";30;"Cumulative.Developers";147;"haar";2;194,5;5
"91";1;"Cumulative.Developers";147;"haar";3;21,5667568261897;4
"92";2;"Cumulative.Developers";147;"haar";3;49,4974746830583;4
"93";3;"Cumulative.Developers";147;"haar";3;86,2670273047588;4
"94";4;"Cumulative.Developers";147;"haar";3;152,735064736294;4
"95";5;"Cumulative.Developers";147;"haar";3;152,735064736294;4
"96";6;"Cumulative.Developers";147;"haar";3;156,977705423414;4
"97";7;"Cumulative.Developers";147;"haar";3;167,584307141212;4
"98";8;"Cumulative.Developers";147;"haar";3;169,705627484771;4
"99";9;"Cumulative.Developers";147;"haar";3;169,705627484771;4
"100";10;"Cumulative.Developers";147;"haar";3;175,362481734264;4
"101";11;"Cumulative.Developers";147;"haar";3;175,362481734264;4
"102";12;"Cumulative.Developers";147;"haar";3;231,223917448001;4
"103";13;"Cumulative.Developers";147;"haar";3;258,801081914276;4
"104";14;"Cumulative.Developers";147;"haar";3;263,043722601396;4
"105";15;"Cumulative.Developers";147;"haar";3;269,054130241481;4
"106";1;"Cumulative.Developers";147;"haar";4;96;3
"107";2;"Cumulative.Developers";147;"haar";4;216;3
"108";3;"Cumulative.Developers";147;"haar";4;229,5;3
"109";4;"Cumulative.Developers";147;"haar";4;240;3
"110";5;"Cumulative.Developers";147;"haar";4;248;3
"111";6;"Cumulative.Developers";147;"haar";4;346,5;3
"112";7;"Cumulative.Developers";147;"haar";4;376,25;3
"113";1;"Cumulative.Developers";147;"haar";5;315,016071018607;2
"114";2;"Cumulative.Developers";147;"haar";5;345,068109219035;2
"115";3;"Cumulative.Developers";147;"haar";5;511,061426102577;2
