Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Cumulative.Developers;15;3;1;15;4;2;4;0;14,875-16,000-16,000-16,000;0,7071068;8
Date;Cumulative.Developers;15;3;1;15;4;2;5;0;14,875-16,000-16,000-16,000-16,000;0,7071068;8
Date;Cumulative.Developers;15;3;1;15;4;2;6;0;14,875-16,000-16,000-16,000-16,000-16,000;0,7071068;8
Date;Cumulative.Developers;15;3;1;15;5;4;4;0;14,875-16,000-16,000-16,000;0,5;12
Date;Cumulative.Developers;15;3;1;15;5;4;5;0;14,875-16,000-16,000-16,000-16,000;0,5;12
Date;Cumulative.Developers;15;3;1;15;5;4;6;0;14,875-16,000-16,000-16,000-16,000-16,000;0,5;12
Date;Cumulative.Developers;15;3;1;15;6;8;4;0;14,875-16,000-16,000-16,000;3,181981;-2
Date;Cumulative.Developers;15;3;1;15;6;8;5;0;14,875-16,000-16,000-16,000-16,000;3,181981;-2
Date;Cumulative.Developers;15;3;1;15;6;8;6;0;14,875-16,000-16,000-16,000-16,000-16,000;3,181981;-2
Date;Cumulative.Developers;15;3;1;17;5;1;4;0;14,875-16,000-16,000-16,000;0,1875;10,75
Date;Cumulative.Developers;15;3;1;17;5;1;5;0;14,875-16,000-16,000-16,000-16,000;0,1875;10,75
Date;Cumulative.Developers;15;3;1;17;5;1;6;0;14,875-16,000-16,000-16,000-16,000-16,000;0,1875;10,75
Date;Cumulative.Developers;15;3;1;17;6;1;4;4,440892e-16;14,875-16,000-16,000-16,000;0,1325825;13,375
Date;Cumulative.Developers;15;3;1;17;6;1;5;4,440892e-16;14,875-16,000-16,000-16,000-16,000;0,1325825;13,375
Date;Cumulative.Developers;15;3;1;17;6;1;6;4,440892e-16;14,875-16,000-16,000-16,000-16,000-16,000;0,1325825;13,375
Date;Cumulative.Developers;15;3;1;18;4;1;4;2,220446e-16;14,875-16,000-16,000-16,000;0,1223839;11,15385
Date;Cumulative.Developers;15;3;1;18;4;1;5;2,220446e-16;14,875-16,000-16,000-16,000-16,000;0,1223839;11,15385
Date;Cumulative.Developers;15;3;1;18;4;1;6;2,220446e-16;14,875-16,000-16,000-16,000-16,000-16,000;0,1223839;11,15385
Date;Cumulative.Developers;15;3;1;18;5;3;4;0;14,875-16,000-16,000-16,000;0,28125;8,125
Date;Cumulative.Developers;15;3;1;18;5;3;5;0;14,875-16,000-16,000-16,000-16,000;0,28125;8,125
