"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Added";361;"haar";1;37575,6543522531;5
"2";2;"Cumulative.LOC.Added";361;"haar";1;81251,5189058026;5
"3";3;"Cumulative.LOC.Added";361;"haar";1;592723,066941468;5
"4";4;"Cumulative.LOC.Added";361;"haar";1;1524293,82474787;5
"5";5;"Cumulative.LOC.Added";361;"haar";1;1725141,84908966;5
"6";6;"Cumulative.LOC.Added";361;"haar";1;2122364,74027546;5
"7";7;"Cumulative.LOC.Added";361;"haar";1;2836594,20806889;5
"8";8;"Cumulative.LOC.Added";361;"haar";1;3185158,25321412;5
"9";9;"Cumulative.LOC.Added";361;"haar";1;3324606,78153192;5
"10";10;"Cumulative.LOC.Added";361;"haar";1;3449992,37018548;5
"11";11;"Cumulative.LOC.Added";361;"haar";1;3454457,04240189;5
"12";12;"Cumulative.LOC.Added";361;"haar";1;3500847,48988841;5
"13";13;"Cumulative.LOC.Added";361;"haar";1;3568583,36977862;5
"14";14;"Cumulative.LOC.Added";361;"haar";1;3580491,75508058;5
"15";15;"Cumulative.LOC.Added";361;"haar";1;3580491,75508058;5
"16";16;"Cumulative.LOC.Added";361;"haar";1;3580491,75508058;5
"17";17;"Cumulative.LOC.Added";361;"haar";1;3648281,37508615;5
"18";18;"Cumulative.LOC.Added";361;"haar";1;3700405,75146132;5
"19";19;"Cumulative.LOC.Added";361;"haar";1;3700405,75146132;5
"20";20;"Cumulative.LOC.Added";361;"haar";1;3700405,75146132;5
"21";21;"Cumulative.LOC.Added";361;"haar";1;3717517,73556603;5
"22";22;"Cumulative.LOC.Added";361;"haar";1;3724510,31452519;5
"23";23;"Cumulative.LOC.Added";361;"haar";1;3740696,69585333;5
"24";24;"Cumulative.LOC.Added";361;"haar";1;3741420,06609048;5
"25";1;"Cumulative.LOC.Added";361;"haar";2;84023,5;4
"26";2;"Cumulative.LOC.Added";361;"haar";2;1496957;4
"27";3;"Cumulative.LOC.Added";361;"haar";2;2720598;4
"28";4;"Cumulative.LOC.Added";361;"haar";2;4258022;4
"29";5;"Cumulative.LOC.Added";361;"haar";2;4790365;4
"30";6;"Cumulative.LOC.Added";361;"haar";2;4918143;4
"31";7;"Cumulative.LOC.Added";361;"haar";2;5055159,5;4
"32";8;"Cumulative.LOC.Added";361;"haar";2;5063580;4
"33";9;"Cumulative.LOC.Added";361;"haar";2;5196306,5;4
"34";10;"Cumulative.LOC.Added";361;"haar";2;5233164;4
"35";11;"Cumulative.LOC.Added";361;"haar";2;5262308,5;4
"36";12;"Cumulative.LOC.Added";361;"haar";2;5290655,5;4
"37";1;"Cumulative.LOC.Added";361;"haar";3;1117922,0324737;3
"38";2;"Cumulative.LOC.Added";361;"haar";3;4934629,52532406;3
"39";3;"Cumulative.LOC.Added";361;"haar";3;6864951,84200384;3
"40";4;"Cumulative.LOC.Added";361;"haar";3;7155029,31751017;3
"41";5;"Cumulative.LOC.Added";361;"haar";3;7374749,31473505;3
"42";6;"Cumulative.LOC.Added";361;"haar";3;7462072,40601751;3
"43";1;"Cumulative.LOC.Added";361;"haar";4;4279800,25;2
"44";2;"Cumulative.LOC.Added";361;"haar";4;9913623,75;2
"45";3;"Cumulative.LOC.Added";361;"haar";4;10491217,25;2
