"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Churn";15;"haar";1;2167,98939111795;8
"2";2;"Cumulative.LOC.Churn";15;"haar";1;6332,84833230672;8
"3";3;"Cumulative.LOC.Churn";15;"haar";1;13959,7020741848;8
"4";4;"Cumulative.LOC.Churn";15;"haar";1;15146,934359797;8
"5";5;"Cumulative.LOC.Churn";15;"haar";1;26056,1777799431;8
"6";6;"Cumulative.LOC.Churn";15;"haar";1;28927,7384183417;8
"7";7;"Cumulative.LOC.Churn";15;"haar";1;28927,7384183417;8
"8";8;"Cumulative.LOC.Churn";15;"haar";1;28927,7384183417;8
"9";9;"Cumulative.LOC.Churn";15;"haar";1;29136,3349187917;8
"10";10;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"11";11;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"12";12;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"13";13;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"14";14;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"15";15;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"16";16;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"17";17;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"18";18;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"19";19;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"20";20;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"21";21;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"22";22;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"23";23;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"24";24;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"25";25;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"26";26;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"27";27;"Cumulative.LOC.Churn";15;"haar";1;29344,9314192417;8
"28";28;"Cumulative.LOC.Churn";15;"haar";1;29383,1151854258;8
"29";29;"Cumulative.LOC.Churn";15;"haar";1;52917,7501836577;8
"30";30;"Cumulative.LOC.Churn";15;"haar";1;56482,275467619;8
"31";31;"Cumulative.LOC.Churn";15;"haar";1;69675,4737909976;8
"32";32;"Cumulative.LOC.Churn";15;"haar";1;88372,0841923511;8
"33";33;"Cumulative.LOC.Churn";15;"haar";1;96494,619787841;8
"34";34;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"35";35;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"36";36;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"37";37;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"38";38;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"39";39;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"40";40;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"41";41;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"42";42;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"43";43;"Cumulative.LOC.Churn";15;"haar";1;96599,2715914566;8
"44";44;"Cumulative.LOC.Churn";15;"haar";1;97915,1973112448;8
"45";45;"Cumulative.LOC.Churn";15;"haar";1;101435,881974773;8
"46";46;"Cumulative.LOC.Churn";15;"haar";1;103487,905853776;8
"47";47;"Cumulative.LOC.Churn";15;"haar";1;103487,905853776;8
"48";48;"Cumulative.LOC.Churn";15;"haar";1;103487,905853776;8
"49";49;"Cumulative.LOC.Churn";15;"haar";1;103487,905853776;8
"50";50;"Cumulative.LOC.Churn";15;"haar";1;103487,905853776;8
"51";51;"Cumulative.LOC.Churn";15;"haar";1;103487,905853776;8
"52";52;"Cumulative.LOC.Churn";15;"haar";1;103487,905853776;8
"53";53;"Cumulative.LOC.Churn";15;"haar";1;103487,905853776;8
"54";54;"Cumulative.LOC.Churn";15;"haar";1;123231,741398067;8
"55";55;"Cumulative.LOC.Churn";15;"haar";1;136448,981352006;8
"56";56;"Cumulative.LOC.Churn";15;"haar";1;145324,585669459;8
"57";57;"Cumulative.LOC.Churn";15;"haar";1;163468,238567925;8
"58";58;"Cumulative.LOC.Churn";15;"haar";1;164941,141993136;8
"59";59;"Cumulative.LOC.Churn";15;"haar";1;164979,325759321;8
"60";60;"Cumulative.LOC.Churn";15;"haar";1;165194,286220801;8
"61";61;"Cumulative.LOC.Churn";15;"haar";1;165194,286220801;8
"62";62;"Cumulative.LOC.Churn";15;"haar";1;165194,286220801;8
"63";63;"Cumulative.LOC.Churn";15;"haar";1;165194,286220801;8
"64";64;"Cumulative.LOC.Churn";15;"haar";1;165194,286220801;8
"65";65;"Cumulative.LOC.Churn";15;"haar";1;165194,286220801;8
"66";66;"Cumulative.LOC.Churn";15;"haar";1;166310,100721514;8
"67";67;"Cumulative.LOC.Churn";15;"haar";1;167425,915222226;8
"68";68;"Cumulative.LOC.Churn";15;"haar";1;181495,218847495;8
"69";69;"Cumulative.LOC.Churn";15;"haar";1;188848,422265054;8
"70";70;"Cumulative.LOC.Churn";15;"haar";1;188848,422265054;8
"71";71;"Cumulative.LOC.Churn";15;"haar";1;188848,422265054;8
"72";72;"Cumulative.LOC.Churn";15;"haar";1;188848,422265054;8
"73";73;"Cumulative.LOC.Churn";15;"haar";1;188848,422265054;8
"74";74;"Cumulative.LOC.Churn";15;"haar";1;188848,422265054;8
"75";75;"Cumulative.LOC.Churn";15;"haar";1;188848,422265054;8
"76";76;"Cumulative.LOC.Churn";15;"haar";1;189103,687813062;8
"77";77;"Cumulative.LOC.Churn";15;"haar";1;215811,818045259;8
"78";78;"Cumulative.LOC.Churn";15;"haar";1;215811,818045259;8
"79";79;"Cumulative.LOC.Churn";15;"haar";1;215811,818045259;8
"80";80;"Cumulative.LOC.Churn";15;"haar";1;215811,818045259;8
"81";81;"Cumulative.LOC.Churn";15;"haar";1;219256,8422832;8
"82";82;"Cumulative.LOC.Churn";15;"haar";1;220252,448631111;8
"83";83;"Cumulative.LOC.Churn";15;"haar";1;220252,448631111;8
"84";84;"Cumulative.LOC.Churn";15;"haar";1;220292,753717638;8
"85";85;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"86";86;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"87";87;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"88";88;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"89";89;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"90";90;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"91";91;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"92";92;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"93";93;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"94";94;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"95";95;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"96";96;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"97";97;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"98";98;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"99";99;"Cumulative.LOC.Churn";15;"haar";1;220333,058804166;8
"100";100;"Cumulative.LOC.Churn";15;"haar";1;222983,295020053;8
"101";101;"Cumulative.LOC.Churn";15;"haar";1;223935,06074753;8
"102";102;"Cumulative.LOC.Churn";15;"haar";1;224886,826475007;8
"103";103;"Cumulative.LOC.Churn";15;"haar";1;224886,826475007;8
"104";104;"Cumulative.LOC.Churn";15;"haar";1;232977,542265344;8
