Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Cumulative.LOC.Churn;15;3;3;126;6;21;4;0,002623193;1317938-1577763-1759061-1867791;1,289944;-5293329
Date;Cumulative.LOC.Churn;15;3;3;126;6;27;4;0,004336641;1317938-1577763-1759061-1867791;0,7310925;-3021570
Date;Cumulative.LOC.Churn;15;3;3;138;5;9;4;0,001258274;1317938-1577763-1759061-1867791;0,1255792;31027,84
Date;Cumulative.LOC.Churn;15;3;3;139;5;6;4;0,002702866;1317938-1577763-1759061-1867791;1,026161;-552197,6
Date;Cumulative.LOC.Churn;15;3;2;147;5;22;4;0,004367808;1084607-1317938-1577763-1759061;2,994197;-10315991
Date;Cumulative.LOC.Churn;15;3;2;149;6;22;4;0,002318303;1084607-1317938-1577763-1759061;26,64575;-23795522
Date;Cumulative.LOC.Churn;15;3;2;168;5;5;4;0,003279409;1084607-1317938-1577763-1759061;0,3243019;39359,91
Date;Cumulative.LOC.Churn;15;3;2;168;6;31;4;0,001126479;1084607-1317938-1577763-1759061;0,7592104;-5022383
Date;Cumulative.LOC.Churn;15;3;3;169;6;12;4;0,004934867;1317938-1577763-1759061-1867791;0,8415034;-239430,9
Date;Cumulative.LOC.Churn;15;3;3;170;5;6;4;0,002152949;1317938-1577763-1759061-1867791;0,4940886;44335,17
Date;Cumulative.LOC.Churn;15;3;3;378;6;5;4;0,001966662;1317938-1577763-1759061-1867791;0,0911806;-1292502
Date;Cumulative.LOC.Churn;15;4;8;15;6;14;4;0,003180805;1003741-1227553-1227690-1259998;2,982368;245484,3
Date;Cumulative.LOC.Churn;15;4;6;126;6;37;4;0,004451598; 888333,3- 975513,2-1003741,3-1227552,8;0,353638;-2306858
Date;Cumulative.LOC.Churn;15;4;10;137;6;41;4;0,002136256;1227690-1259998-1320021-1321434;1,697936;-3935471
Date;Cumulative.LOC.Churn;15;4;10;146;6;21;4;0,003684688;1227690-1259998-1320021-1321434;0,8129993;-2226080
Date;Cumulative.LOC.Churn;15;4;8;163;4;9;4;0,004973621;1003741-1227553-1227690-1259998;5,280316;-1268896
Date;Cumulative.LOC.Churn;15;4;8;163;4;9;5;0,004973621;1003741-1227553-1227690-1259998-1320021;5,280316;-1268896
Date;Cumulative.LOC.Churn;15;4;8;163;4;9;6;0,004973621;1003741-1227553-1227690-1259998-1320021-1321434;5,280316;-1268896
Date;Cumulative.LOC.Churn;15;4;5;163;5;20;4;0,003729735; 845070,7- 888333,3- 975513,2-1003741,3;602,7833;-200670658
Date;Cumulative.LOC.Churn;15;4;10;378;6;26;4;0,003092217;1227690-1259998-1320021-1321434;0,5871428;-27494993
Date;Cumulative.LOC.Churn;15;5;13;15;5;17;4;0,004818753;633097-688920-690664-690664;0,4013466;340579,3
Date;Cumulative.LOC.Churn;15;5;13;15;5;23;4;0,002525106;633097-688920-690664-690664;2,847858;-1969259
Date;Cumulative.LOC.Churn;15;5;18;15;5;19;4;9,774169e-05;867929,8-868092,0-868104,5-868112,0;12,98;-10399904
Date;Cumulative.LOC.Churn;15;5;18;15;5;23;4;0,001656104;867929,8-868092,0-868104,5-868112,0;0,008277322;860366
Date;Cumulative.LOC.Churn;15;5;18;15;5;23;5;0,001656104;867929,8-868092,0-868104,5-868112,0-868112,0;0,008277322;860366
Date;Cumulative.LOC.Churn;15;5;13;15;6;2;4;0,00136706;633097-688920-690664-690664;25,77396;-821062,1
Date;Cumulative.LOC.Churn;15;5;13;15;6;3;4;0,002525106;633097-688920-690664-690664;535,2247;-30723344
Date;Cumulative.LOC.Churn;15;5;13;15;6;20;4;0,003619493;633097-688920-690664-690664;6,64274;-2234067
Date;Cumulative.LOC.Churn;15;5;13;15;6;21;4;0,002525106;633097-688920-690664-690664;87,37758;-37815419
Date;Cumulative.LOC.Churn;15;5;13;15;6;26;4;0,003596626;633097-688920-690664-690664;1,714272;-144056,3
Date;Cumulative.LOC.Churn;15;5;13;15;6;27;4;0,002525106;633097-688920-690664-690664;22,6335;-10364674
Date;Cumulative.LOC.Churn;15;5;13;15;6;34;4;0,003640418;633097-688920-690664-690664;0,7137233;250969
Date;Cumulative.LOC.Churn;15;5;13;15;6;35;4;0,001440932;633097-688920-690664-690664;267,1595;-163299880
Date;Cumulative.LOC.Churn;15;5;13;15;6;39;4;0,002525106;633097-688920-690664-690664;5263,043;-3230018825
Date;Cumulative.LOC.Churn;15;5;13;15;6;45;4;0,002525106;633097-688920-690664-690664;2,01374;-640169,6
Date;Cumulative.LOC.Churn;15;5;17;15;6;3;4;0,0002013006;728840,5-867929,8-868092,0-868104,5;1333,572;-77399241
Date;Cumulative.LOC.Churn;15;5;17;15;6;8;4;0,003278875;728840,5-867929,8-868092,0-868104,5;2,340686;415835,1
Date;Cumulative.LOC.Churn;15;5;17;15;6;21;4;0,0002013006;728840,5-867929,8-868092,0-868104,5;217,711;-95069939
Date;Cumulative.LOC.Churn;15;5;17;15;6;27;4;0,0002013006;728840,5-867929,8-868092,0-868104,5;56,39389;-26673337
Date;Cumulative.LOC.Churn;15;5;17;15;6;27;5;0,0002099383;728840,5-867929,8-868092,0-868104,5-868112,0;56,39389;-26673337
Date;Cumulative.LOC.Churn;15;5;17;15;6;27;6;0,0002099383;728840,5-867929,8-868092,0-868104,5-868112,0-868112,0;56,39389;-26673337
Date;Cumulative.LOC.Churn;15;5;17;15;6;34;4;0,0002477393;728840,5-867929,8-868092,0-868104,5;1,778321;-223274,1
Date;Cumulative.LOC.Churn;15;5;17;15;6;34;5;0,0002477393;728840,5-867929,8-868092,0-868104,5-868112,0;1,778321;-223274,1
