"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Modified";147;"haar";1;16,9705627484771;6
"2";2;"Cumulative.LOC.Modified";147;"haar";1;33,9411254969543;6
"3";3;"Cumulative.LOC.Modified";147;"haar";1;1690,69231381704;6
"4";4;"Cumulative.LOC.Modified";147;"haar";1;3619,67961289394;6
"5";5;"Cumulative.LOC.Modified";147;"haar";1;7899,79695941611;6
"6";6;"Cumulative.LOC.Modified";147;"haar";1;13476,7481426344;6
"7";7;"Cumulative.LOC.Modified";147;"haar";1;18654,8911012635;6
"8";8;"Cumulative.LOC.Modified";147;"haar";1;24132,1402283345;6
"9";9;"Cumulative.LOC.Modified";147;"haar";1;28215,6818896868;6
"10";10;"Cumulative.LOC.Modified";147;"haar";1;34413,4728267869;6
"11";11;"Cumulative.LOC.Modified";147;"haar";1;59544,0478301568;6
"12";12;"Cumulative.LOC.Modified";147;"haar";1;89980,7521195505;6
"13";13;"Cumulative.LOC.Modified";147;"haar";1;109967,832396569;6
"14";14;"Cumulative.LOC.Modified";147;"haar";1;113856,212586314;6
"15";15;"Cumulative.LOC.Modified";147;"haar";1;115248,505838471;6
"16";16;"Cumulative.LOC.Modified";147;"haar";1;119633,98209539;6
"17";17;"Cumulative.LOC.Modified";147;"haar";1;121570,74756906;6
"18";18;"Cumulative.LOC.Modified";147;"haar";1;122458,166579449;6
"19";19;"Cumulative.LOC.Modified";147;"haar";1;122632,114847621;6
"20";20;"Cumulative.LOC.Modified";147;"haar";1;122852,732163351;6
"21";21;"Cumulative.LOC.Modified";147;"haar";1;122855,560590476;6
"22";22;"Cumulative.LOC.Modified";147;"haar";1;129871,474073408;6
"23";23;"Cumulative.LOC.Modified";147;"haar";1;139711,5720404;6
"24";24;"Cumulative.LOC.Modified";147;"haar";1;143139,625715593;6
"25";25;"Cumulative.LOC.Modified";147;"haar";1;144564,445879684;6
"26";26;"Cumulative.LOC.Modified";147;"haar";1;146980,629750998;6
"27";27;"Cumulative.LOC.Modified";147;"haar";1;147144,678524233;6
"28";28;"Cumulative.LOC.Modified";147;"haar";1;147157,406446295;6
"29";29;"Cumulative.LOC.Modified";147;"haar";1;147165,891727669;6
"30";30;"Cumulative.LOC.Modified";147;"haar";1;147191,347571792;6
"31";31;"Cumulative.LOC.Modified";147;"haar";1;147191,347571792;6
"32";32;"Cumulative.LOC.Modified";147;"haar";1;147191,347571792;6
"33";33;"Cumulative.LOC.Modified";147;"haar";1;147202,661280291;6
"34";34;"Cumulative.LOC.Modified";147;"haar";1;147271,250638066;6
"35";35;"Cumulative.LOC.Modified";147;"haar";1;147320,041005968;6
"36";36;"Cumulative.LOC.Modified";147;"haar";1;147320,041005968;6
"37";37;"Cumulative.LOC.Modified";147;"haar";1;147320,041005968;6
"38";38;"Cumulative.LOC.Modified";147;"haar";1;147320,041005968;6
"39";39;"Cumulative.LOC.Modified";147;"haar";1;147320,041005968;6
"40";40;"Cumulative.LOC.Modified";147;"haar";1;147320,041005968;6
"41";41;"Cumulative.LOC.Modified";147;"haar";1;147320,041005968;6
"42";42;"Cumulative.LOC.Modified";147;"haar";1;147320,041005968;6
"43";43;"Cumulative.LOC.Modified";147;"haar";1;147320,041005968;6
"44";44;"Cumulative.LOC.Modified";147;"haar";1;148015,834078655;6
"45";45;"Cumulative.LOC.Modified";147;"haar";1;149095,586133527;6
"46";46;"Cumulative.LOC.Modified";147;"haar";1;150625,058101234;6
"47";47;"Cumulative.LOC.Modified";147;"haar";1;151540,76138287;6
"48";48;"Cumulative.LOC.Modified";147;"haar";1;152925,983567215;6
"49";49;"Cumulative.LOC.Modified";147;"haar";1;153049,020147141;6
"50";50;"Cumulative.LOC.Modified";147;"haar";1;153396,916683485;6
"51";51;"Cumulative.LOC.Modified";147;"haar";1;154821,029740795;6
"52";52;"Cumulative.LOC.Modified";147;"haar";1;156377,371766186;6
"53";53;"Cumulative.LOC.Modified";147;"haar";1;159632,891386769;6
"54";54;"Cumulative.LOC.Modified";147;"haar";1;160248,074286401;6
"55";55;"Cumulative.LOC.Modified";147;"haar";1;160405,051991825;6
"56";56;"Cumulative.LOC.Modified";147;"haar";1;160419,194127448;6
"57";57;"Cumulative.LOC.Modified";147;"haar";1;160431,214942729;6
"58";58;"Cumulative.LOC.Modified";147;"haar";1;161597,941131686;6
"59";59;"Cumulative.LOC.Modified";147;"haar";1;162374,344377429;6
"60";60;"Cumulative.LOC.Modified";147;"haar";1;162812,750581765;6
"61";1;"Cumulative.LOC.Modified";147;"haar";2;36;5
"62";2;"Cumulative.LOC.Modified";147;"haar";2;3755;5
"63";3;"Cumulative.LOC.Modified";147;"haar";2;15115,5;5
"64";4;"Cumulative.LOC.Modified";147;"haar";2;30255;5
"65";5;"Cumulative.LOC.Modified";147;"haar";2;44285,5;5
"66";6;"Cumulative.LOC.Modified";147;"haar";2;105730;5
"67";7;"Cumulative.LOC.Modified";147;"haar";2;158267,5;5
"68";8;"Cumulative.LOC.Modified";147;"haar";2;166087;5
"69";9;"Cumulative.LOC.Modified";147;"haar";2;172554,5;5
"70";10;"Cumulative.LOC.Modified";147;"haar";2;173584;5
"71";11;"Cumulative.LOC.Modified";147;"haar";2;178705;5
"72";12;"Cumulative.LOC.Modified";147;"haar";2;200006;5
"73";13;"Cumulative.LOC.Modified";147;"haar";2;206153,5;5
"74";14;"Cumulative.LOC.Modified";147;"haar";2;208103;5
"75";15;"Cumulative.LOC.Modified";147;"haar";2;208142;5
"76";16;"Cumulative.LOC.Modified";147;"haar";2;208160;5
"77";17;"Cumulative.LOC.Modified";147;"haar";2;208224,5;5
"78";18;"Cumulative.LOC.Modified";147;"haar";2;208342;5
"79";19;"Cumulative.LOC.Modified";147;"haar";2;208342;5
"80";20;"Cumulative.LOC.Modified";147;"haar";2;208342;5
"81";21;"Cumulative.LOC.Modified";147;"haar";2;208342;5
"82";22;"Cumulative.LOC.Modified";147;"haar";2;208834;5
"83";23;"Cumulative.LOC.Modified";147;"haar";2;211934,5;5
"84";24;"Cumulative.LOC.Modified";147;"haar";2;215290,5;5
"85";25;"Cumulative.LOC.Modified";147;"haar";2;216690;5
