"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Removed";140;"haar";1;171,826947828331;8
"2";2;"Cumulative.LOC.Removed";140;"haar";1;9435,63288815329;8
"3";3;"Cumulative.LOC.Removed";140;"haar";1;12043,4426971693;8
"4";4;"Cumulative.LOC.Removed";140;"haar";1;16939,4500501049;8
"5";5;"Cumulative.LOC.Removed";140;"haar";1;20100,2173620088;8
"6";6;"Cumulative.LOC.Removed";140;"haar";1;25718,8878453171;8
"7";7;"Cumulative.LOC.Removed";140;"haar";1;26560,3449149291;8
"8";8;"Cumulative.LOC.Removed";140;"haar";1;26618,3276709864;8
"9";9;"Cumulative.LOC.Removed";140;"haar";1;26700,352057604;8
"10";10;"Cumulative.LOC.Removed";140;"haar";1;26799,3470069701;8
"11";11;"Cumulative.LOC.Removed";140;"haar";1;26819,1459968434;8
"12";12;"Cumulative.LOC.Removed";140;"haar";1;26838,9449867166;8
"13";13;"Cumulative.LOC.Removed";140;"haar";1;55985,1794004449;8
"14";14;"Cumulative.LOC.Removed";140;"haar";1;86015,2972906564;8
"15";15;"Cumulative.LOC.Removed";140;"haar";1;87742,7591570951;8
"16";16;"Cumulative.LOC.Removed";140;"haar";1;89125,1529143148;8
"17";17;"Cumulative.LOC.Removed";140;"haar";1;94023,9886943752;8
"18";18;"Cumulative.LOC.Removed";140;"haar";1;97249,8098301482;8
"19";19;"Cumulative.LOC.Removed";140;"haar";1;98010,656726705;8
"20";20;"Cumulative.LOC.Removed";140;"haar";1;98408,757844513;8
"21";21;"Cumulative.LOC.Removed";140;"haar";1;98656,9523247095;8
"22";22;"Cumulative.LOC.Removed";140;"haar";1;98662,609178959;8
"23";23;"Cumulative.LOC.Removed";140;"haar";1;98857,0635437853;8
"24";24;"Cumulative.LOC.Removed";140;"haar";1;99028,1833848324;8
"25";25;"Cumulative.LOC.Removed";140;"haar";1;99171,0189546321;8
"26";26;"Cumulative.LOC.Removed";140;"haar";1;99273,5494379041;8
"27";27;"Cumulative.LOC.Removed";140;"haar";1;101097,177826584;8
"28";28;"Cumulative.LOC.Removed";140;"haar";1;104390,17410657;8
"29";29;"Cumulative.LOC.Removed";140;"haar";1;107246,178395782;8
"30";30;"Cumulative.LOC.Removed";140;"haar";1;108041,673524617;8
"31";31;"Cumulative.LOC.Removed";140;"haar";1;108743,830558336;8
"32";32;"Cumulative.LOC.Removed";140;"haar";1;108930,506748569;8
"33";33;"Cumulative.LOC.Removed";140;"haar";1;109007,581387718;8
"34";34;"Cumulative.LOC.Removed";140;"haar";1;109294,66674088;8
"35";35;"Cumulative.LOC.Removed";140;"haar";1;110707,466089691;8
"36";36;"Cumulative.LOC.Removed";140;"haar";1;110726,557972783;8
"37";37;"Cumulative.LOC.Removed";140;"haar";1;110730,80061347;8
"38";38;"Cumulative.LOC.Removed";140;"haar";1;110833,331096742;8
"39";39;"Cumulative.LOC.Removed";140;"haar";1;111033,442315818;8
"40";40;"Cumulative.LOC.Removed";140;"haar";1;112042,483692571;8
"41";41;"Cumulative.LOC.Removed";140;"haar";1;124159,465494983;8
