"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Files";351;"haar";1;59,9272997055599;6
"2";2;"Files";351;"haar";1;71,4935463406827;6
"3";3;"Files";351;"haar";1;114,1472375344;6
"4";4;"Files";351;"haar";1;129,501556211593;6
"5";5;"Files";351;"haar";1;162,937605436272;6
"6";6;"Files";351;"haar";1;189,504617357995;6
"7";7;"Files";351;"haar";1;189,504617357995;6
"8";8;"Files";351;"haar";1;189,504617357995;6
"9";9;"Files";351;"haar";1;189,504617357995;6
"10";10;"Files";351;"haar";1;189,504617357995;6
"11";11;"Files";351;"haar";1;239,422988934616;6
"12";12;"Files";351;"haar";1;248,430182456874;6
"13";13;"Files";351;"haar";1;269,037294365739;6
"14";14;"Files";351;"haar";1;272,471813017216;6
"15";15;"Files";351;"haar";1;272,471813017216;6
"16";16;"Files";351;"haar";1;276,579766698395;6
"17";17;"Files";351;"haar";1;298,163359400328;6
"18";18;"Files";351;"haar";1;302,170297827051;6
"19";19;"Files";351;"haar";1;302,170297827051;6
"20";20;"Files";351;"haar";1;302,170297827051;6
"21";21;"Files";351;"haar";1;305,749864023388;6
"22";22;"Files";351;"haar";1;333,75440072005;6
"23";23;"Files";351;"haar";1;333,75440072005;6
"24";24;"Files";351;"haar";1;333,75440072005;6
"25";25;"Files";351;"haar";1;333,75440072005;6
"26";26;"Files";351;"haar";1;333,75440072005;6
"27";27;"Files";351;"haar";1;333,75440072005;6
"28";28;"Files";351;"haar";1;333,75440072005;6
"29";29;"Files";351;"haar";1;333,75440072005;6
"30";30;"Files";351;"haar";1;333,75440072005;6
"31";31;"Files";351;"haar";1;333,75440072005;6
"32";32;"Files";351;"haar";1;333,75440072005;6
"33";33;"Files";351;"haar";1;333,75440072005;6
"34";34;"Files";351;"haar";1;333,75440072005;6
"35";35;"Files";351;"haar";1;396,395082399449;6
"36";36;"Files";351;"haar";1;425,678282274302;6
"37";37;"Files";351;"haar";1;425,678282274302;6
"38";38;"Files";351;"haar";1;425,678282274302;6
"39";39;"Files";351;"haar";1;428,809755162413;6
"40";40;"Files";351;"haar";1;434,446406361015;6
"41";41;"Files";351;"haar";1;434,446406361015;6
"42";42;"Files";351;"haar";1;434,446406361015;6
"43";43;"Files";351;"haar";1;434,446406361015;6
"44";44;"Files";351;"haar";1;434,446406361015;6
"45";45;"Files";351;"haar";1;434,446406361015;6
"46";46;"Files";351;"haar";1;434,446406361015;6
"47";47;"Files";351;"haar";1;434,446406361015;6
"48";48;"Files";351;"haar";1;434,446406361015;6
"49";49;"Files";351;"haar";1;435,118157803142;6
"50";1;"Files";351;"haar";2;131,267857142857;5
"51";2;"Files";351;"haar";2;206,785714285714;5
"52";3;"Files";351;"haar";2;268;5
"53";4;"Files";351;"haar";2;268;5
"54";5;"Files";351;"haar";2;303,297619047619;5
"55";6;"Files";351;"haar";2;365,904761904762;5
"56";7;"Files";351;"haar";2;385,333333333333;5
"57";8;"Files";351;"haar";2;406,404761904762;5
"58";9;"Files";351;"haar";2;427,333333333333;5
"59";10;"Files";351;"haar";2;429,864468864469;5
"60";11;"Files";351;"haar";2;472;5
"61";12;"Files";351;"haar";2;472;5
"62";13;"Files";351;"haar";2;472;5
"63";14;"Files";351;"haar";2;472;5
"64";15;"Files";351;"haar";2;472;5
"65";16;"Files";351;"haar";2;472;5
"66";17;"Files";351;"haar";2;516,293650793651;5
"67";18;"Files";351;"haar";2;602;5
"68";19;"Files";351;"haar";2;604,214285714286;5
"69";20;"Files";351;"haar";2;614,4;5
"70";21;"Files";351;"haar";2;614,4;5
"71";22;"Files";351;"haar";2;614,4;5
"72";23;"Files";351;"haar";2;614,4;5
"73";24;"Files";351;"haar";2;614,875;5
"74";1;"Files";351;"haar";3;239,039972761474;4
"75";2;"Files";351;"haar";3;379,009234715989;4
"76";3;"Files";351;"haar";3;473,197541557612;4
"77";4;"Files";351;"haar";3;559,843376066578;4
"78";5;"Files";351;"haar";3;606,130378752271;4
"79";6;"Files";351;"haar";3;667,508801440101;4
"80";7;"Files";351;"haar";3;667,508801440101;4
"81";8;"Files";351;"haar";3;667,508801440101;4
"82";9;"Files";351;"haar";3;790,753023834051;4
"83";10;"Files";351;"haar";3;861,690425079372;4
"84";11;"Files";351;"haar";3;868,892812722029;4
"85";12;"Files";351;"haar";3;869,228688443093;4
"86";1;"Files";351;"haar";4;437,026785714286;3
"87";2;"Files";351;"haar";4;730,470238095238;3
"88";3;"Files";351;"haar";4;900,598901098901;3
"89";4;"Files";351;"haar";4;944;3
"90";5;"Files";351;"haar";4;1168,45396825397;3
"91";6;"Files";351;"haar";4;1229,0375;3
"92";1;"Files";351;"haar";5;825,545062550826;2
"93";2;"Files";351;"haar";5;1304,32839153629;2
"94";3;"Files";351;"haar";5;1695,28247503927;2
