"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";121;"haar";1;2427,90164083124;8
"2";2;"LOC";121;"haar";1;6560,64783262869;8
"3";3;"LOC";121;"haar";1;10591,4494296299;8
"4";4;"LOC";121;"haar";1;10643,3712704199;8
"5";5;"LOC";121;"haar";1;14758,5812140439;8
"6";6;"LOC";121;"haar";1;18134,9655865825;8
"7";7;"LOC";121;"haar";1;20305,7834048252;8
"8";8;"LOC";121;"haar";1;21156,6348931015;8
"9";9;"LOC";121;"haar";1;21660,8020280875;8
"10";10;"LOC";121;"haar";1;22264,3681734575;8
"11";11;"LOC";121;"haar";1;22309,2189464356;8
"12";12;"LOC";121;"haar";1;22309,2189464356;8
"13";13;"LOC";121;"haar";1;22309,2189464356;8
"14";14;"LOC";121;"haar";1;22360,130634681;8
"15";15;"LOC";121;"haar";1;22428,0128856749;8
"16";16;"LOC";121;"haar";1;22496,8042739589;8
"17";17;"LOC";121;"haar";1;23391,092321651;8
"18";18;"LOC";121;"haar";1;23391,092321651;8
"19";19;"LOC";121;"haar";1;23703,3809807993;8
"20";20;"LOC";121;"haar";1;23714,9472274344;8
"21";21;"LOC";121;"haar";1;23714,9472274344;8
"22";22;"LOC";121;"haar";1;25127,6914770154;8
"23";23;"LOC";121;"haar";1;25592,4167467392;8
"24";24;"LOC";121;"haar";1;25609,9934010144;8
"25";25;"LOC";121;"haar";1;25609,9934010144;8
"26";26;"LOC";121;"haar";1;25884,8895801385;8
"27";27;"LOC";121;"haar";1;26054,0564595995;8
"28";28;"LOC";121;"haar";1;26475,0501594485;8
"29";29;"LOC";121;"haar";1;26568,8301963033;8
"30";30;"LOC";121;"haar";1;26568,8301963033;8
"31";31;"LOC";121;"haar";1;26568,8301963033;8
"32";32;"LOC";121;"haar";1;26568,8301963033;8
"33";33;"LOC";121;"haar";1;26568,8301963033;8
"34";34;"LOC";121;"haar";1;26568,8301963033;8
"35";35;"LOC";121;"haar";1;26568,8301963033;8
"36";36;"LOC";121;"haar";1;27451,2994592241;8
"37";37;"LOC";121;"haar";1;27598,3776697109;8
"38";38;"LOC";121;"haar";1;27598,3776697109;8
"39";39;"LOC";121;"haar";1;27598,3776697109;8
"40";40;"LOC";121;"haar";1;27681,2101783642;8
"41";41;"LOC";121;"haar";1;27830,3086939401;8
"42";42;"LOC";121;"haar";1;27830,3086939401;8
"43";43;"LOC";121;"haar";1;27830,3086939401;8
"44";44;"LOC";121;"haar";1;27830,3086939401;8
"45";45;"LOC";121;"haar";1;28285,6854610243;8
"46";46;"LOC";121;"haar";1;29057,0379440443;8
"47";47;"LOC";121;"haar";1;29294,0197309963;8
"48";48;"LOC";121;"haar";1;29294,0197309963;8
"49";49;"LOC";121;"haar";1;29508,3336948485;8
"50";50;"LOC";121;"haar";1;29606,5609282807;8
"51";51;"LOC";121;"haar";1;29606,5609282807;8
"52";52;"LOC";121;"haar";1;29606,5609282807;8
"53";53;"LOC";121;"haar";1;29606,5609282807;8
"54";54;"LOC";121;"haar";1;29613,9552449069;8
"55";55;"LOC";121;"haar";1;29673,1097779158;8
"56";56;"LOC";121;"haar";1;29692,8279555855;8
"57";57;"LOC";121;"haar";1;29692,8279555855;8
"58";58;"LOC";121;"haar";1;29692,8279555855;8
"59";59;"LOC";121;"haar";1;29692,8279555855;8
"60";60;"LOC";121;"haar";1;29692,8279555855;8
"61";61;"LOC";121;"haar";1;29692,8279555855;8
"62";62;"LOC";121;"haar";1;29692,8279555855;8
"63";63;"LOC";121;"haar";1;29692,8279555855;8
"64";64;"LOC";121;"haar";1;29692,8279555855;8
"65";65;"LOC";121;"haar";1;29692,8279555855;8
"66";66;"LOC";121;"haar";1;29692,8279555855;8
"67";67;"LOC";121;"haar";1;29692,8279555855;8
"68";68;"LOC";121;"haar";1;29692,8279555855;8
"69";69;"LOC";121;"haar";1;29692,8279555855;8
"70";70;"LOC";121;"haar";1;29698,2827793261;8
"71";71;"LOC";121;"haar";1;30639,9469813577;8
"72";72;"LOC";121;"haar";1;31253,9176979365;8
"73";73;"LOC";121;"haar";1;31732,1239125275;8
"74";74;"LOC";121;"haar";1;31732,1239125275;8
"75";75;"LOC";121;"haar";1;31732,1239125275;8
"76";76;"LOC";121;"haar";1;32884,5311891663;8
"77";77;"LOC";121;"haar";1;34949,4597669263;8
"78";78;"LOC";121;"haar";1;35281,5979235751;8
"79";79;"LOC";121;"haar";1;36499,4378312872;8
"80";80;"LOC";121;"haar";1;36499,4378312872;8
"81";81;"LOC";121;"haar";1;36499,4378312872;8
"82";82;"LOC";121;"haar";1;39786,9792875324;8
"83";83;"LOC";121;"haar";1;40235,1839715502;8
"84";84;"LOC";121;"haar";1;40307,914954758;8
"85";85;"LOC";121;"haar";1;40307,914954758;8
"86";86;"LOC";121;"haar";1;40307,914954758;8
"87";87;"LOC";121;"haar";1;40307,914954758;8
"88";88;"LOC";121;"haar";1;40307,914954758;8
"89";89;"LOC";121;"haar";1;41083,257540329;8
"90";90;"LOC";121;"haar";1;41674,0452560104;8
"91";91;"LOC";121;"haar";1;41674,0452560104;8
"92";92;"LOC";121;"haar";1;41674,0452560104;8
"93";93;"LOC";121;"haar";1;41674,0452560104;8
"94";94;"LOC";121;"haar";1;41674,0452560104;8
"95";95;"LOC";121;"haar";1;41674,0452560104;8
"96";96;"LOC";121;"haar";1;41674,0452560104;8
"97";97;"LOC";121;"haar";1;41674,0452560104;8
"98";98;"LOC";121;"haar";1;41674,0452560104;8
"99";99;"LOC";121;"haar";1;41674,0452560104;8
"100";100;"LOC";121;"haar";1;41674,0452560104;8
"101";101;"LOC";121;"haar";1;41674,0452560104;8
"102";102;"LOC";121;"haar";1;41674,0452560104;8
"103";103;"LOC";121;"haar";1;41674,0452560104;8
"104";104;"LOC";121;"haar";1;41674,0452560104;8
"105";105;"LOC";121;"haar";1;41674,0452560104;8
"106";106;"LOC";121;"haar";1;41674,0452560104;8
"107";107;"LOC";121;"haar";1;41674,0452560104;8
"108";108;"LOC";121;"haar";1;41674,0452560104;8
"109";109;"LOC";121;"haar";1;41674,0452560104;8
"110";110;"LOC";121;"haar";1;41674,0452560104;8
"111";111;"LOC";121;"haar";1;41674,0452560104;8
"112";112;"LOC";121;"haar";1;41674,0452560104;8
"113";113;"LOC";121;"haar";1;41674,0452560104;8
"114";114;"LOC";121;"haar";1;41674,0452560104;8
"115";115;"LOC";121;"haar";1;41674,0452560104;8
"116";116;"LOC";121;"haar";1;41674,0452560104;8
"117";117;"LOC";121;"haar";1;41674,0452560104;8
"118";118;"LOC";121;"haar";1;41674,0452560104;8
"119";119;"LOC";121;"haar";1;41674,0452560104;8
"120";120;"LOC";121;"haar";1;41674,0452560104;8
"121";121;"LOC";121;"haar";1;41674,0452560104;8
"122";122;"LOC";121;"haar";1;41674,0452560104;8
"123";123;"LOC";121;"haar";1;41674,0452560104;8
"124";124;"LOC";121;"haar";1;41674,0452560104;8
"125";125;"LOC";121;"haar";1;41674,0452560104;8
"126";126;"LOC";121;"haar";1;41674,0452560104;8
"127";127;"LOC";121;"haar";1;41674,0452560104;8
"128";128;"LOC";121;"haar";1;41674,0452560104;8
"129";129;"LOC";121;"haar";1;41674,0452560104;8
"130";130;"LOC";121;"haar";1;41674,0452560104;8
"131";131;"LOC";121;"haar";1;41674,0452560104;8
"132";1;"LOC";121;"haar";2;12128,3642857143;7
"133";2;"LOC";121;"haar";2;17961,8928571429;7
"134";3;"LOC";121;"haar";2;27181,7142857143;7
"135";4;"LOC";121;"haar";2;30276,5;7
"136";5;"LOC";121;"haar";2;31518,2857142857;7
"137";6;"LOC";121;"haar";2;31550;7
"138";7;"LOC";121;"haar";2;31670;7
"139";8;"LOC";121;"haar";2;32447,6428571428;7
"140";9;"LOC";121;"haar";2;33300,8214285714;7
"141";10;"LOC";121;"haar";2;33538;7
"142";11;"LOC";121;"haar";2;35864,5324675325;7
"143";12;"LOC";121;"haar";2;36218;7
"144";13;"LOC";121;"haar";2;36726,3809523809;7
"145";14;"LOC";121;"haar";2;37507,6875;7
"146";15;"LOC";121;"haar";2;37574;7
"147";16;"LOC";121;"haar";2;37574;7
"148";17;"LOC";121;"haar";2;37574;7
"149";18;"LOC";121;"haar";2;38926;7
"150";19;"LOC";121;"haar";2;39030;7
"151";20;"LOC";121;"haar";2;39252,5714285714;7
"152";21;"LOC";121;"haar";2;39358;7
"153";22;"LOC";121;"haar";2;39680;7
"154";23;"LOC";121;"haar";2;41260,4285714286;7
"155";24;"LOC";121;"haar";2;41579,5428571428;7
"156";25;"LOC";121;"haar";2;41870;7
"157";26;"LOC";121;"haar";2;41870;7
"158";27;"LOC";121;"haar";2;41922,2857142857;7
"159";28;"LOC";121;"haar";2;41992;7
"160";29;"LOC";121;"haar";2;41992;7
"161";30;"LOC";121;"haar";2;41992;7
"162";31;"LOC";121;"haar";2;41992;7
"163";32;"LOC";121;"haar";2;41992;7
"164";33;"LOC";121;"haar";2;41992;7
"165";34;"LOC";121;"haar";2;41992;7
"166";35;"LOC";121;"haar";2;42665,5714285714;7
"167";36;"LOC";121;"haar";2;44537,8571428571;7
"168";37;"LOC";121;"haar";2;44876;7
"169";38;"LOC";121;"haar";2;47965,875;7
"170";39;"LOC";121;"haar";2;50756,8571428571;7
"171";40;"LOC";121;"haar";2;51618;7
"172";41;"LOC";121;"haar";2;56584,2142857143;7
"173";42;"LOC";121;"haar";2;57004;7
"174";43;"LOC";121;"haar";2;57004;7
"175";44;"LOC";121;"haar";2;57552,25;7
"176";45;"LOC";121;"haar";2;58936;7
"177";46;"LOC";121;"haar";2;58936;7
"178";47;"LOC";121;"haar";2;58936;7
"179";48;"LOC";121;"haar";2;58936;7
"180";49;"LOC";121;"haar";2;58936;7
"181";50;"LOC";121;"haar";2;58936;7
"182";51;"LOC";121;"haar";2;58936;7
"183";52;"LOC";121;"haar";2;58936;7
"184";53;"LOC";121;"haar";2;58936;7
"185";54;"LOC";121;"haar";2;58936;7
"186";55;"LOC";121;"haar";2;58936;7
"187";56;"LOC";121;"haar";2;58936;7
"188";57;"LOC";121;"haar";2;58936;7
"189";58;"LOC";121;"haar";2;58936;7
"190";59;"LOC";121;"haar";2;58936;7
"191";60;"LOC";121;"haar";2;58936;7
"192";61;"LOC";121;"haar";2;58936;7
"193";62;"LOC";121;"haar";2;58936;7
"194";63;"LOC";121;"haar";2;58936;7
"195";64;"LOC";121;"haar";2;58936;7
"196";65;"LOC";121;"haar";2;58936;7
"197";1;"LOC";121;"haar";3;31921,3507379357;6
"198";2;"LOC";121;"haar";3;43695,512020541;6
"199";3;"LOC";121;"haar";3;44703,2907066135;6
"200";4;"LOC";121;"haar";3;46491,1849490301;6
"201";5;"LOC";121;"haar";3;49075,0013393117;6
"202";6;"LOC";121;"haar";3;51579,4664208834;6
"203";7;"LOC";121;"haar";3;53090,7703741792;6
"204";8;"LOC";121;"haar";3;53137,6603926067;6
"205";9;"LOC";121;"haar";3;55123,2162341785;6
"206";10;"LOC";121;"haar";3;55586,0681300923;6
"207";11;"LOC";121;"haar";3;57233,5259150025;6
"208";12;"LOC";121;"haar";3;59007,7376412031;6
"209";13;"LOC";121;"haar";3;59250,0934396921;6
"210";14;"LOC";121;"haar";3;59385,655911171;6
"211";15;"LOC";121;"haar";3;59385,655911171;6
"212";16;"LOC";121;"haar";3;59385,655911171;6
"213";17;"LOC";121;"haar";3;59861,9428359274;6
"214";18;"LOC";121;"haar";3;63225,1447177595;6
"215";19;"LOC";121;"haar";3;69807,5133554774;6
"216";20;"LOC";121;"haar";3;76510,5194608285;6
"217";21;"LOC";121;"haar";3;80615,8299095159;6
"218";22;"LOC";121;"haar";3;82369,6315035538;6
"219";23;"LOC";121;"haar";3;83348,0905120207;6
"220";24;"LOC";121;"haar";3;83348,0905120207;6
"221";25;"LOC";121;"haar";3;83348,0905120207;6
"222";26;"LOC";121;"haar";3;83348,0905120207;6
"223";27;"LOC";121;"haar";3;83348,0905120207;6
"224";28;"LOC";121;"haar";3;83348,0905120207;6
"225";29;"LOC";121;"haar";3;83348,0905120207;6
"226";30;"LOC";121;"haar";3;83348,0905120207;6
"227";31;"LOC";121;"haar";3;83348,0905120207;6
"228";32;"LOC";121;"haar";3;83348,0905120207;6
"229";1;"LOC";121;"haar";4;53469,1964285714;5
"230";2;"LOC";121;"haar";4;64484,2321428571;5
"231";3;"LOC";121;"haar";4;71173,4567099567;5
"232";4;"LOC";121;"haar";4;75114,84375;5
"233";5;"LOC";121;"haar";4;78283,2857142857;5
"234";6;"LOC";121;"haar";4;82194,9857142857;5
"235";7;"LOC";121;"haar";4;83888,1428571428;5
"236";8;"LOC";121;"haar";4;83984;5
"237";9;"LOC";121;"haar";4;87035,7142857143;5
"238";10;"LOC";121;"haar";4;103462,473214286;5
