"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Date.Progress";379;"haar";1;0,654073772597556;6
"2";2;"Relative.Date.Progress";379;"haar";1;1,30814754519511;6
"3";3;"Relative.Date.Progress";379;"haar";1;1,30814754519511;6
"4";4;"Relative.Date.Progress";379;"haar";1;1,30814754519511;6
"5";5;"Relative.Date.Progress";379;"haar";1;1,30814754519511;6
"6";6;"Relative.Date.Progress";379;"haar";1;1,30814754519511;6
"7";7;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"8";8;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"9";9;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"10";10;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"11";11;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"12";12;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"13";13;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"14";14;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"15";15;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"16";16;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"17";17;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"18";18;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"19";19;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"20";20;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"21";21;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"22";22;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"23";23;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"24";24;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"25";25;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"26";26;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"27";27;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"28";28;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"29";29;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"30";30;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"31";31;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"32";32;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"33";33;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"34";34;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"35";35;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
"36";36;"Relative.Date.Progress";379;"haar";1;13,8974766774404;6
