Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Relative.Date.Progress;15;3;2;17;5;2;4;0,002398996;258,4285-361,7734-476,2208-588,9066;5,033847;89,57188
Date;Relative.Date.Progress;15;3;1;18;6;5;4;0,0009189225;130,7499-258,4285-361,7734-476,2208;17,86002;-534,9786
Date;Relative.Date.Progress;15;3;3;121;5;6;4;0,001933663;361,7734-476,2208-588,9066-709,1291;4,748263;-325,3572
Date;Relative.Date.Progress;15;3;3;121;6;14;4;0,003079955;361,7734-476,2208-588,9066-709,1291;13,28843;-1277,61
Date;Relative.Date.Progress;15;3;3;126;5;7;4;0,004436813;361,7734-476,2208-588,9066-709,1291;4,061659;-388,5578
Date;Relative.Date.Progress;15;3;3;126;5;14;4;0,004455892;361,7734-476,2208-588,9066-709,1291;4,065612;-1193,05
Date;Relative.Date.Progress;15;3;3;126;6;17;4;0,004938533;361,7734-476,2208-588,9066-709,1291;11,49589;-1542,096
Date;Relative.Date.Progress;15;3;3;126;6;19;4;0,0032092;361,7734-476,2208-588,9066-709,1291;11,50919;-1774,102
Date;Relative.Date.Progress;15;3;3;126;6;22;4;0,003098866;361,7734-476,2208-588,9066-709,1291;11,535;-2124,746
Date;Relative.Date.Progress;15;3;3;126;6;31;4;0,004035176;361,7734-476,2208-588,9066-709,1291;11,52164;-3156,825
Date;Relative.Date.Progress;15;3;3;126;6;32;4;0,00406475;361,7734-476,2208-588,9066-709,1291;11,49561;-3263,061
Date;Relative.Date.Progress;15;3;3;126;6;35;4;0,004804935;361,7734-476,2208-588,9066-709,1291;11,54868;-3627,027
Date;Relative.Date.Progress;15;3;3;126;6;37;4;0,004666646;361,7734-476,2208-588,9066-709,1291;11,40681;-3803,303
Date;Relative.Date.Progress;15;3;3;378;6;3;4;0,004422829;361,7734-476,2208-588,9066-709,1291;22,61806;23,64471
Date;Relative.Date.Progress;15;4;3;18;6;23;4;0,004244381;115,9540-162,1746-203,2985-233,1177;4,69784;-653,1929
Date;Relative.Date.Progress;15;4;1;121;4;4;4;0,003050087; 21,62704- 68,95422-115,95402-162,17459;0,6811631;-152,4264
