"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.LOC.Churn.Progress";378;"haar";1;3,31350237664016;7
"2";2;"Relative.LOC.Churn.Progress";378;"haar";1;11,8199969543143;7
"3";3;"Relative.LOC.Churn.Progress";378;"haar";1;18,8323749033413;7
"4";4;"Relative.LOC.Churn.Progress";378;"haar";1;25,3533136394437;7
"5";5;"Relative.LOC.Churn.Progress";378;"haar";1;31,2541197284454;7
"6";6;"Relative.LOC.Churn.Progress";378;"haar";1;48,1872058175197;7
"7";7;"Relative.LOC.Churn.Progress";378;"haar";1;50,5086373801551;7
"8";8;"Relative.LOC.Churn.Progress";378;"haar";1;57,5556635614602;7
"9";9;"Relative.LOC.Churn.Progress";378;"haar";1;68,8297740806985;7
"10";10;"Relative.LOC.Churn.Progress";378;"haar";1;78,5397643999522;7
"11";11;"Relative.LOC.Churn.Progress";378;"haar";1;83,9194327912195;7
"12";12;"Relative.LOC.Churn.Progress";378;"haar";1;86,9246366112623;7
"13";13;"Relative.LOC.Churn.Progress";378;"haar";1;91,7039713453021;7
"14";14;"Relative.LOC.Churn.Progress";378;"haar";1;93,2207153909473;7
"15";15;"Relative.LOC.Churn.Progress";378;"haar";1;96,475527904749;7
"16";16;"Relative.LOC.Churn.Progress";378;"haar";1;98,0431836386395;7
"17";17;"Relative.LOC.Churn.Progress";378;"haar";1;98,4780543090693;7
"18";18;"Relative.LOC.Churn.Progress";378;"haar";1;99,4220418619533;7
"19";19;"Relative.LOC.Churn.Progress";378;"haar";1;111,748327271597;7
"20";20;"Relative.LOC.Churn.Progress";378;"haar";1;120,005213155513;7
"21";21;"Relative.LOC.Churn.Progress";378;"haar";1;124,683431619843;7
"22";22;"Relative.LOC.Churn.Progress";378;"haar";1;128,615652430021;7
"23";23;"Relative.LOC.Churn.Progress";378;"haar";1;130,858595139945;7
"24";24;"Relative.LOC.Churn.Progress";378;"haar";1;131,20719878307;7
"25";25;"Relative.LOC.Churn.Progress";378;"haar";1;132,284122410817;7
"26";26;"Relative.LOC.Churn.Progress";378;"haar";1;132,284122410817;7
"27";27;"Relative.LOC.Churn.Progress";378;"haar";1;132,284122410817;7
"28";28;"Relative.LOC.Churn.Progress";378;"haar";1;133,157399285582;7
"29";29;"Relative.LOC.Churn.Progress";378;"haar";1;136,440496070631;7
"30";30;"Relative.LOC.Churn.Progress";378;"haar";1;136,440496070631;7
"31";31;"Relative.LOC.Churn.Progress";378;"haar";1;136,887387556341;7
"32";32;"Relative.LOC.Churn.Progress";378;"haar";1;136,887387556341;7
"33";33;"Relative.LOC.Churn.Progress";378;"haar";1;136,887387556341;7
"34";34;"Relative.LOC.Churn.Progress";378;"haar";1;136,887387556341;7
"35";35;"Relative.LOC.Churn.Progress";378;"haar";1;136,887387556341;7
"36";36;"Relative.LOC.Churn.Progress";378;"haar";1;136,887387556341;7
"37";37;"Relative.LOC.Churn.Progress";378;"haar";1;137,602272512121;7
"38";38;"Relative.LOC.Churn.Progress";378;"haar";1;138,317157467901;7
"39";39;"Relative.LOC.Churn.Progress";378;"haar";1;138,317157467901;7
"40";40;"Relative.LOC.Churn.Progress";378;"haar";1;138,317157467901;7
"41";41;"Relative.LOC.Churn.Progress";378;"haar";1;138,317157467901;7
"42";42;"Relative.LOC.Churn.Progress";378;"haar";1;138,317157467901;7
"43";43;"Relative.LOC.Churn.Progress";378;"haar";1;138,317157467901;7
"44";44;"Relative.LOC.Churn.Progress";378;"haar";1;138,423223485079;7
"45";45;"Relative.LOC.Churn.Progress";378;"haar";1;138,529289502257;7
"46";46;"Relative.LOC.Churn.Progress";378;"haar";1;138,529289502257;7
"47";47;"Relative.LOC.Churn.Progress";378;"haar";1;138,529289502257;7
"48";48;"Relative.LOC.Churn.Progress";378;"haar";1;138,663639790682;7
"49";49;"Relative.LOC.Churn.Progress";378;"haar";1;138,797990079107;7
"50";50;"Relative.LOC.Churn.Progress";378;"haar";1;138,797990079107;7
"51";51;"Relative.LOC.Churn.Progress";378;"haar";1;138,797990079107;7
"52";52;"Relative.LOC.Churn.Progress";378;"haar";1;138,797990079107;7
"53";53;"Relative.LOC.Churn.Progress";378;"haar";1;138,797990079107;7
"54";54;"Relative.LOC.Churn.Progress";378;"haar";1;138,797990079107;7
"55";55;"Relative.LOC.Churn.Progress";378;"haar";1;139,110531276392;7
"56";56;"Relative.LOC.Churn.Progress";378;"haar";1;139,18689880876;7
"57";57;"Relative.LOC.Churn.Progress";378;"haar";1;139,263266341128;7
"58";58;"Relative.LOC.Churn.Progress";378;"haar";1;139,263266341128;7
"59";59;"Relative.LOC.Churn.Progress";378;"haar";1;139,263266341128;7
"60";60;"Relative.LOC.Churn.Progress";378;"haar";1;139,263266341128;7
"61";61;"Relative.LOC.Churn.Progress";378;"haar";1;139,263266341128;7
"62";62;"Relative.LOC.Churn.Progress";378;"haar";1;139,263266341128;7
"63";63;"Relative.LOC.Churn.Progress";378;"haar";1;139,263266341128;7
"64";64;"Relative.LOC.Churn.Progress";378;"haar";1;139,263266341128;7
"65";65;"Relative.LOC.Churn.Progress";378;"haar";1;139,263266341128;7
"66";66;"Relative.LOC.Churn.Progress";378;"haar";1;140,067246751337;7
"67";67;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"68";68;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"69";69;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"70";70;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"71";71;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"72";72;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"73";73;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"74";74;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"75";75;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"76";76;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"77";77;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"78";78;"Relative.LOC.Churn.Progress";378;"haar";1;140,871227161546;7
"79";79;"Relative.LOC.Churn.Progress";378;"haar";1;141,146291699428;7
"80";1;"Relative.LOC.Churn.Progress";378;"haar";2;21,6745;6
"81";2;"Relative.LOC.Churn.Progress";378;"haar";2;40,0275;6
"82";3;"Relative.LOC.Churn.Progress";378;"haar";2;69,7885;6
"83";4;"Relative.LOC.Churn.Progress";378;"haar";2;89,368;6
"84";5;"Relative.LOC.Churn.Progress";378;"haar";2;114,876;6
"85";6;"Relative.LOC.Churn.Progress";378;"haar";2;126,3095;6
"86";7;"Relative.LOC.Churn.Progress";378;"haar";2;134,1355;6
"87";8;"Relative.LOC.Churn.Progress";378;"haar";2;138,9615;6
"88";9;"Relative.LOC.Churn.Progress";378;"haar";2;149,32;6
"89";10;"Relative.LOC.Churn.Progress";378;"haar";2;173,021;6
"90";11;"Relative.LOC.Churn.Progress";378;"haar";2;183,476;6
"91";12;"Relative.LOC.Churn.Progress";378;"haar";2;186,3165;6
"92";13;"Relative.LOC.Churn.Progress";378;"haar";2;187,078;6
"93";14;"Relative.LOC.Churn.Progress";378;"haar";2;190,6345;6
"94";15;"Relative.LOC.Churn.Progress";378;"haar";2;193,272;6
"95";16;"Relative.LOC.Churn.Progress";378;"haar";2;193,588;6
"96";17;"Relative.LOC.Churn.Progress";378;"haar";2;193,588;6
"97";18;"Relative.LOC.Churn.Progress";378;"haar";2;194,0935;6
"98";19;"Relative.LOC.Churn.Progress";378;"haar";2;195,61;6
"99";20;"Relative.LOC.Churn.Progress";378;"haar";2;195,61;6
"100";21;"Relative.LOC.Churn.Progress";378;"haar";2;195,61;6
"101";22;"Relative.LOC.Churn.Progress";378;"haar";2;195,835;6
"102";23;"Relative.LOC.Churn.Progress";378;"haar";2;195,91;6
"103";24;"Relative.LOC.Churn.Progress";378;"haar";2;196,195;6
"104";25;"Relative.LOC.Churn.Progress";378;"haar";2;196,29;6
"105";26;"Relative.LOC.Churn.Progress";378;"haar";2;196,29;6
"106";27;"Relative.LOC.Churn.Progress";378;"haar";2;196,511;6
"107";28;"Relative.LOC.Churn.Progress";378;"haar";2;196,894;6
"108";29;"Relative.LOC.Churn.Progress";378;"haar";2;196,948;6
"109";30;"Relative.LOC.Churn.Progress";378;"haar";2;196,948;6
"110";31;"Relative.LOC.Churn.Progress";378;"haar";2;196,948;6
