Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Relative.LOC.Churn.Progress;15;3;3;126;6;21;4;0,002606198;564,0013-675,1895-752,7740-799,3061;13,91593;-2265,221
Date;Relative.LOC.Churn.Progress;15;3;3;126;6;27;4;0,00435149;564,0013-675,1895-752,7740-799,3061;7,88667;-1292,961
Date;Relative.LOC.Churn.Progress;15;3;3;378;6;5;4;0,001963919;564,0013-675,1895-752,7740-799,3061;9,724778;-553,1424
Date;Relative.LOC.Churn.Progress;15;4;8;15;6;14;4;0,003188287;429,5419-525,3202-525,3782-539,2050;2,982287;105,0647
Date;Relative.LOC.Churn.Progress;15;4;6;126;6;37;4;0,004452463;380,1555-417,4628-429,5419-525,3202;3,815043;-987,1923
Date;Relative.LOC.Churn.Progress;15;4;8;163;4;9;4;0,004976541;429,5419-525,3202-525,3782-539,2050;2,770902;-543,0289
Date;Relative.LOC.Churn.Progress;15;4;8;163;4;9;5;0,004976541;429,5419-525,3202-525,3782-539,2050-564,8935;2,770902;-543,0289
Date;Relative.LOC.Churn.Progress;15;4;8;163;4;9;6;0,004976541;429,5419-525,3202-525,3782-539,2050-564,8935-565,4961;2,770902;-543,0289
Date;Relative.LOC.Churn.Progress;15;4;5;163;5;20;4;0,004157399;361,6415-380,1555-417,4628-429,5419;325,2516;-88312,37
Date;Relative.LOC.Churn.Progress;15;4;10;378;6;26;4;0,003055902;525,3782-539,2050-564,8935-565,4961;62,56455;-11755,42
Date;Relative.LOC.Churn.Progress;15;5;13;15;5;17;4;0,004821247;270,9290-294,8175-295,5640-295,5640;0,4013323;145,7535
Date;Relative.LOC.Churn.Progress;15;5;13;15;5;23;4;0,00252568;270,9290-294,8175-295,5640-295,5640;2,847598;-842,6271
Date;Relative.LOC.Churn.Progress;15;5;18;15;5;19;4;9,798195e-05;371,423-371,492-371,497-371,500;13,8;-4755,167
Date;Relative.LOC.Churn.Progress;15;5;18;15;5;23;4;0,001521877;371,423-371,492-371,497-371,500;0,008225057;368,2066
