Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Relative.Team.Size;15;3;1;15;4;2;4;0;740,1786-800,0000-800,0000-800,0000;0,7071068;400
Date;Relative.Team.Size;15;3;1;15;4;2;5;0;740,1786-800,0000-800,0000-800,0000-800,0000;0,7071068;400
Date;Relative.Team.Size;15;3;1;15;4;2;6;0;740,1786-800,0000-800,0000-800,0000-800,0000-800,0000;0,7071068;400
Date;Relative.Team.Size;15;3;1;15;5;4;4;4,440892e-16;740,1786-800,0000-800,0000-800,0000;0,5;600
Date;Relative.Team.Size;15;3;1;15;5;4;5;4,440892e-16;740,1786-800,0000-800,0000-800,0000-800,0000;0,5;600
Date;Relative.Team.Size;15;3;1;15;5;4;6;4,440892e-16;740,1786-800,0000-800,0000-800,0000-800,0000-800,0000;0,5;600
Date;Relative.Team.Size;15;3;1;15;6;8;4;0;740,1786-800,0000-800,0000-800,0000;2,153462;190,9091
Date;Relative.Team.Size;15;3;1;15;6;8;5;0;740,1786-800,0000-800,0000-800,0000-800,0000;2,153462;190,9091
Date;Relative.Team.Size;15;3;1;15;6;8;6;0;740,1786-800,0000-800,0000-800,0000-800,0000-800,0000;2,153462;190,9091
Date;Relative.Team.Size;15;3;1;17;5;1;4;2,220446e-16;740,1786-800,0000-800,0000-800,0000;0,7976141;551,8527
Date;Relative.Team.Size;15;3;1;17;5;1;5;2,220446e-16;740,1786-800,0000-800,0000-800,0000-800,0000;0,7976141;551,8527
Date;Relative.Team.Size;15;3;1;17;5;1;6;2,220446e-16;740,1786-800,0000-800,0000-800,0000-800,0000-800,0000;0,7976141;551,8527
Date;Relative.Team.Size;15;3;1;17;6;1;4;1,110223e-16;740,1786-800,0000-800,0000-800,0000;0,5639983;675,9263
Date;Relative.Team.Size;15;3;1;17;6;1;5;1,110223e-16;740,1786-800,0000-800,0000-800,0000-800,0000;0,5639983;675,9263
Date;Relative.Team.Size;15;3;1;17;6;1;6;1,110223e-16;740,1786-800,0000-800,0000-800,0000-800,0000-800,0000;0,5639983;675,9263
Date;Relative.Team.Size;15;3;1;18;4;1;4;1,110223e-16;740,1786-800,0000-800,0000-800,0000;0,4363643;553,1551
Date;Relative.Team.Size;15;3;1;18;4;1;5;1,110223e-16;740,1786-800,0000-800,0000-800,0000-800,0000;0,4363643;553,1551
Date;Relative.Team.Size;15;3;1;18;4;1;6;1,110223e-16;740,1786-800,0000-800,0000-800,0000-800,0000-800,0000;0,4363643;553,1551
Date;Relative.Team.Size;15;3;1;18;5;3;4;1,110223e-16;740,1786-800,0000-800,0000-800,0000;1,010791;395,6836
Date;Relative.Team.Size;15;3;1;18;5;3;5;1,110223e-16;740,1786-800,0000-800,0000-800,0000-800,0000;1,010791;395,6836
Date;Relative.Team.Size;15;3;1;18;5;3;6;1,110223e-16;740,1786-800,0000-800,0000-800,0000-800,0000-800,0000;1,010791;395,6836
Date;Relative.Team.Size;15;3;1;18;6;6;4;9,992007e-16;740,1786-800,0000-800,0000-800,0000;20,72738;-5062,588
Date;Relative.Team.Size;15;3;1;18;6;6;5;9,992007e-16;740,1786-800,0000-800,0000-800,0000-800,0000;20,72738;-5062,588
Date;Relative.Team.Size;15;3;1;18;6;6;6;9,992007e-16;740,1786-800,0000-800,0000-800,0000-800,0000-800,0000;20,72738;-5062,588
Date;Relative.Team.Size;15;3;1;163;3;4;4;2,220446e-16;740,1786-800,0000-800,0000-800,0000;0,2567349;654,7688
Date;Relative.Team.Size;15;3;1;163;4;9;4;2,220446e-16;740,1786-800,0000-800,0000-800,0000;0,4265705;629,3718
Date;Relative.Team.Size;15;3;1;163;4;9;5;2,220446e-16;740,1786-800,0000-800,0000-800,0000-800,0000;0,4265705;629,3718
Date;Relative.Team.Size;15;3;1;163;4;9;6;2,220446e-16;740,1786-800,0000-800,0000-800,0000-800,0000-800,0000;0,4265705;629,3718
Date;Relative.Team.Size;15;3;1;163;5;18;4;4,440892e-16;740,1786-800,0000-800,0000-800,0000;0,7022157;601,3834
Date;Relative.Team.Size;15;3;1;163;5;18;5;4,440892e-16;740,1786-800,0000-800,0000-800,0000-800,0000;0,7022157;601,3834
