"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Active.Developers";378;"haar";1;0,792018154496734;7
"2";2;"Active.Developers";378;"haar";1;2,62639661583575;7
"3";3;"Active.Developers";378;"haar";1;1,31319830791787;7
"4";4;"Active.Developers";378;"haar";1;3,93959492375362;7
"5";5;"Active.Developers";378;"haar";1;-0,909137290096989;7
"6";6;"Active.Developers";378;"haar";1;-1,72190370525394;7
"7";7;"Active.Developers";378;"haar";1;0;7
"8";8;"Active.Developers";378;"haar";1;2,62639661583575;7
"9";9;"Active.Developers";378;"haar";1;0;7
"10";10;"Active.Developers";378;"haar";1;1,31319830791787;7
"11";11;"Active.Developers";378;"haar";1;-5,2527932316715;7
"12";12;"Active.Developers";378;"haar";1;2,62639661583575;7
"13";13;"Active.Developers";378;"haar";1;-1,31319830791787;7
"14";14;"Active.Developers";378;"haar";1;-1,31319830791787;7
"15";15;"Active.Developers";378;"haar";1;1,31319830791787;7
"16";16;"Active.Developers";378;"haar";1;-1,31319830791787;7
"17";17;"Active.Developers";378;"haar";1;1,31319830791787;7
"18";18;"Active.Developers";378;"haar";1;0;7
"19";19;"Active.Developers";378;"haar";1;1,31319830791787;7
"20";20;"Active.Developers";378;"haar";1;-3,93959492375362;7
"21";21;"Active.Developers";378;"haar";1;-1,61624407128354;7
"22";22;"Active.Developers";378;"haar";1;-0,505076272276105;7
"23";23;"Active.Developers";378;"haar";1;-1,01015254455221;7
"24";24;"Active.Developers";378;"haar";1;0,505076272276105;7
"25";25;"Active.Developers";378;"haar";1;-0,505076272276105;7
"26";26;"Active.Developers";378;"haar";1;0;7
"27";27;"Active.Developers";378;"haar";1;0;7
"28";28;"Active.Developers";378;"haar";1;1,01015254455221;7
"29";29;"Active.Developers";378;"haar";1;-1,01015254455221;7
"30";30;"Active.Developers";378;"haar";1;0;7
"31";31;"Active.Developers";378;"haar";1;-0,505076272276105;7
"32";32;"Active.Developers";378;"haar";1;0;7
"33";33;"Active.Developers";378;"haar";1;0;7
"34";34;"Active.Developers";378;"haar";1;0;7
"35";35;"Active.Developers";378;"haar";1;0;7
"36";36;"Active.Developers";378;"haar";1;0;7
"37";37;"Active.Developers";378;"haar";1;0,505076272276105;7
"38";38;"Active.Developers";378;"haar";1;0;7
"39";39;"Active.Developers";378;"haar";1;0;7
"40";40;"Active.Developers";378;"haar";1;0;7
"41";41;"Active.Developers";378;"haar";1;0;7
"42";42;"Active.Developers";378;"haar";1;0;7
"43";43;"Active.Developers";378;"haar";1;0;7
"44";44;"Active.Developers";378;"haar";1;0,505076272276105;7
"45";45;"Active.Developers";378;"haar";1;0;7
"46";46;"Active.Developers";378;"haar";1;0;7
"47";47;"Active.Developers";378;"haar";1;0;7
"48";48;"Active.Developers";378;"haar";1;0,505076272276105;7
"49";49;"Active.Developers";378;"haar";1;0;7
"50";50;"Active.Developers";378;"haar";1;0;7
"51";51;"Active.Developers";378;"haar";1;0;7
"52";52;"Active.Developers";378;"haar";1;0;7
"53";53;"Active.Developers";378;"haar";1;0;7
"54";54;"Active.Developers";378;"haar";1;0;7
"55";55;"Active.Developers";378;"haar";1;-0,505076272276105;7
"56";56;"Active.Developers";378;"haar";1;0,505076272276105;7
"57";57;"Active.Developers";378;"haar";1;0;7
"58";58;"Active.Developers";378;"haar";1;0;7
"59";59;"Active.Developers";378;"haar";1;0;7
"60";60;"Active.Developers";378;"haar";1;0;7
"61";61;"Active.Developers";378;"haar";1;0;7
"62";62;"Active.Developers";378;"haar";1;0;7
"63";63;"Active.Developers";378;"haar";1;0;7
"64";64;"Active.Developers";378;"haar";1;0;7
"65";65;"Active.Developers";378;"haar";1;0;7
"66";66;"Active.Developers";378;"haar";1;1,01015254455221;7
"67";67;"Active.Developers";378;"haar";1;0;7
"68";68;"Active.Developers";378;"haar";1;0;7
"69";69;"Active.Developers";378;"haar";1;0;7
"70";70;"Active.Developers";378;"haar";1;0;7
"71";71;"Active.Developers";378;"haar";1;0;7
"72";72;"Active.Developers";378;"haar";1;0;7
"73";73;"Active.Developers";378;"haar";1;0;7
"74";74;"Active.Developers";378;"haar";1;0;7
"75";75;"Active.Developers";378;"haar";1;0;7
"76";76;"Active.Developers";378;"haar";1;0;7
"77";77;"Active.Developers";378;"haar";1;0;7
"78";78;"Active.Developers";378;"haar";1;0;7
"79";79;"Active.Developers";378;"haar";1;1,17851130197758;7
"80";1;"Active.Developers";378;"haar";2;-0,928571428571428;6
"81";2;"Active.Developers";378;"haar";2;-1,57142857142857;6
"82";3;"Active.Developers";378;"haar";2;-6,78899835796388;6
"83";4;"Active.Developers";378;"haar";2;1,85714285714286;6
"84";5;"Active.Developers";378;"haar";2;-2,78571428571429;6
"85";6;"Active.Developers";378;"haar";2;2,78571428571429;6
"86";7;"Active.Developers";378;"haar";2;3,71428571428571;6
"87";8;"Active.Developers";378;"haar";2;0;6
"88";9;"Active.Developers";378;"haar";2;2,78571428571428;6
"89";10;"Active.Developers";378;"haar";2;-2,07142857142857;6
"90";11;"Active.Developers";378;"haar";2;-0,357142857142857;6
"91";12;"Active.Developers";378;"haar";2;0;6
"92";13;"Active.Developers";378;"haar";2;0;6
"93";14;"Active.Developers";378;"haar";2;0;6
"94";15;"Active.Developers";378;"haar";2;0,357142857142857;6
"95";16;"Active.Developers";378;"haar";2;0;6
"96";17;"Active.Developers";378;"haar";2;0;6
"97";18;"Active.Developers";378;"haar";2;0,357142857142857;6
"98";19;"Active.Developers";378;"haar";2;0;6
"99";20;"Active.Developers";378;"haar";2;0;6
"100";21;"Active.Developers";378;"haar";2;0;6
"101";22;"Active.Developers";378;"haar";2;-0,357142857142857;6
"102";23;"Active.Developers";378;"haar";2;0;6
"103";24;"Active.Developers";378;"haar";2;-0,357142857142857;6
"104";25;"Active.Developers";378;"haar";2;0;6
"105";26;"Active.Developers";378;"haar";2;0;6
"106";27;"Active.Developers";378;"haar";2;0,357142857142857;6
"107";28;"Active.Developers";378;"haar";2;-0,357142857142857;6
"108";29;"Active.Developers";378;"haar";2;0;6
"109";30;"Active.Developers";378;"haar";2;0;6
"110";31;"Active.Developers";378;"haar";2;0;6
"111";32;"Active.Developers";378;"haar";2;0;6
"112";33;"Active.Developers";378;"haar";2;-0,714285714285714;6
"113";34;"Active.Developers";378;"haar";2;0;6
"114";35;"Active.Developers";378;"haar";2;0;6
"115";36;"Active.Developers";378;"haar";2;0;6
"116";37;"Active.Developers";378;"haar";2;0;6
"117";38;"Active.Developers";378;"haar";2;0;6
"118";39;"Active.Developers";378;"haar";2;0,833333333333333;6
"119";1;"Active.Developers";378;"haar";3;-0,654276964201346;5
"120";2;"Active.Developers";378;"haar";3;-1,96979746187681;5
"121";3;"Active.Developers";378;"haar";3;-3,28299576979468;5
"122";4;"Active.Developers";378;"haar";3;3,28299576979468;5
"123";5;"Active.Developers";378;"haar";3;-3,8385796692984;5
"124";6;"Active.Developers";378;"haar";3;-0,505076272276105;5
"125";7;"Active.Developers";378;"haar";3;-0,757614408414158;5
"126";8;"Active.Developers";378;"haar";3;0;5
"127";9;"Active.Developers";378;"haar";3;-0,252538136138053;5
"128";10;"Active.Developers";378;"haar";3;0;5
"129";11;"Active.Developers";378;"haar";3;-0,252538136138053;5
"130";12;"Active.Developers";378;"haar";3;-0,252538136138053;5
"131";13;"Active.Developers";378;"haar";3;0,252538136138053;5
"132";14;"Active.Developers";378;"haar";3;-0,252538136138053;5
"133";15;"Active.Developers";378;"haar";3;0;5
"134";16;"Active.Developers";378;"haar";3;0,505076272276105;5
"135";17;"Active.Developers";378;"haar";3;0;5
