"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Added";368;"haar";1;-1687,85458323108;3
"2";2;"Commit.LOC.Added";368;"haar";1;0;3
"3";3;"Commit.LOC.Added";368;"haar";1;-91,7218510453407;3
"4";4;"Commit.LOC.Added";368;"haar";1;-1562,26730680774;3
"5";5;"Commit.LOC.Added";368;"haar";1;790,800898157637;3
"6";6;"Commit.LOC.Added";368;"haar";1;418,753686581396;3
"7";7;"Commit.LOC.Added";368;"haar";1;264,187159162243;3
"8";1;"Commit.LOC.Added";368;"haar";2;64,8571428571428;2
"9";2;"Commit.LOC.Added";368;"haar";2;476,458522874224;2
"10";3;"Commit.LOC.Added";368;"haar";2;594,901388888889;2
