"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Churn";146;"haar";1;21,2305519076925;6
"2";2;"Commit.LOC.Churn";146;"haar";1;291,770444363564;6
"3";3;"Commit.LOC.Churn";146;"haar";1;-7,54583950780501;6
"4";4;"Commit.LOC.Churn";146;"haar";1;-105,129843452134;6
"5";5;"Commit.LOC.Churn";146;"haar";1;-121,922852464895;6
"6";6;"Commit.LOC.Churn";146;"haar";1;-26,7068791971227;6
"7";7;"Commit.LOC.Churn";146;"haar";1;-7371,91513414941;6
"8";8;"Commit.LOC.Churn";146;"haar";1;-166,727169038687;6
"9";9;"Commit.LOC.Churn";146;"haar";1;86,5550842051236;6
"10";10;"Commit.LOC.Churn";146;"haar";1;21,1079036032967;6
"11";11;"Commit.LOC.Churn";146;"haar";1;4227,46078026924;6
"12";12;"Commit.LOC.Churn";146;"haar";1;-238,550768555019;6
"13";13;"Commit.LOC.Churn";146;"haar";1;-29,7093569026102;6
"14";14;"Commit.LOC.Churn";146;"haar";1;-54,2419205754801;6
"15";15;"Commit.LOC.Churn";146;"haar";1;-412,794758697179;6
"16";16;"Commit.LOC.Churn";146;"haar";1;-23,309323596897;6
"17";17;"Commit.LOC.Churn";146;"haar";1;19,5935098490457;6
"18";18;"Commit.LOC.Churn";146;"haar";1;-37,715318404414;6
"19";19;"Commit.LOC.Churn";146;"haar";1;116,932131894726;6
"20";20;"Commit.LOC.Churn";146;"haar";1;25,6593185641319;6
"21";21;"Commit.LOC.Churn";146;"haar";1;-326,687516540666;6
"22";22;"Commit.LOC.Churn";146;"haar";1;28,5040008809075;6
"23";23;"Commit.LOC.Churn";146;"haar";1;-78,1422461572886;6
"24";24;"Commit.LOC.Churn";146;"haar";1;34,5696216890968;6
"25";25;"Commit.LOC.Churn";146;"haar";1;96,5329831366997;6
"26";26;"Commit.LOC.Churn";146;"haar";1;57,2796433073951;6
"27";27;"Commit.LOC.Churn";146;"haar";1;91,9472806463889;6
"28";28;"Commit.LOC.Churn";146;"haar";1;-124,066667123883;6
"29";29;"Commit.LOC.Churn";146;"haar";1;5,4241128438676;6
"30";30;"Commit.LOC.Churn";146;"haar";1;77,5720032300449;6
"31";31;"Commit.LOC.Churn";146;"haar";1;-439,820417898032;6
"32";32;"Commit.LOC.Churn";146;"haar";1;2,1991602645613;6
"33";33;"Commit.LOC.Churn";146;"haar";1;47,3996542618813;6
"34";34;"Commit.LOC.Churn";146;"haar";1;36,8500678848188;6
"35";35;"Commit.LOC.Churn";146;"haar";1;142,002510078613;6
"36";36;"Commit.LOC.Churn";146;"haar";1;-13,9454101993846;6
"37";37;"Commit.LOC.Churn";146;"haar";1;-70,864346307581;6
"38";38;"Commit.LOC.Churn";146;"haar";1;-94,1777758856326;6
"39";39;"Commit.LOC.Churn";146;"haar";1;66,3137085705622;6
"40";40;"Commit.LOC.Churn";146;"haar";1;31,0279177122189;6
"41";41;"Commit.LOC.Churn";146;"haar";1;-44,2531212540318;6
"42";42;"Commit.LOC.Churn";146;"haar";1;-106,97581041129;6
"43";43;"Commit.LOC.Churn";146;"haar";1;-67,4153360399822;6
"44";44;"Commit.LOC.Churn";146;"haar";1;-0,0521912148018639;6
"45";45;"Commit.LOC.Churn";146;"haar";1;-5,35380848612672;6
"46";46;"Commit.LOC.Churn";146;"haar";1;0;6
"47";47;"Commit.LOC.Churn";146;"haar";1;-3,51028009231893;6
"48";48;"Commit.LOC.Churn";146;"haar";1;-0,686903730295503;6
"49";49;"Commit.LOC.Churn";146;"haar";1;-195,073083259839;6
"50";50;"Commit.LOC.Churn";146;"haar";1;0;6
"51";51;"Commit.LOC.Churn";146;"haar";1;0,202030508910442;6
"52";52;"Commit.LOC.Churn";146;"haar";1;97,1234012648231;6
"53";53;"Commit.LOC.Churn";146;"haar";1;80,4629793987745;6
"54";54;"Commit.LOC.Churn";146;"haar";1;-190,722385960821;6
"55";55;"Commit.LOC.Churn";146;"haar";1;-8,58172689099225;6
"56";56;"Commit.LOC.Churn";146;"haar";1;34,1599918816073;6
"57";57;"Commit.LOC.Churn";146;"haar";1;1,09096474811639;6
"58";58;"Commit.LOC.Churn";146;"haar";1;0;6
"59";59;"Commit.LOC.Churn";146;"haar";1;-1,9192898346492;6
"60";60;"Commit.LOC.Churn";146;"haar";1;220,979287058667;6
"61";1;"Commit.LOC.Churn";146;"haar";2;401,704253368948;5
"62";2;"Commit.LOC.Churn";146;"haar";2;18,4308823529412;5
"63";3;"Commit.LOC.Churn";146;"haar";2;-171,174337427279;5
"64";4;"Commit.LOC.Churn";146;"haar";2;-5117,76476184781;5
"65";5;"Commit.LOC.Churn";146;"haar";2;-70,9634405331899;5
"66";6;"Commit.LOC.Churn";146;"haar";2;-2851,8440724045;5
"67";7;"Commit.LOC.Churn";146;"haar";2;79,4661139073579;5
"68";8;"Commit.LOC.Churn";146;"haar";2;-351,304117175267;5
"69";9;"Commit.LOC.Churn";146;"haar";2;47,7002032502893;5
"70";10;"Commit.LOC.Churn";146;"haar";2;-32,7312764499739;5
"71";11;"Commit.LOC.Churn";146;"haar";2;-153,001846383178;5
"72";12;"Commit.LOC.Churn";146;"haar";2;-0,97927999143181;5
"73";13;"Commit.LOC.Churn";146;"haar";2;2,45728932598679;5
"74";14;"Commit.LOC.Churn";146;"haar";2;28,6495060538151;5
"75";15;"Commit.LOC.Churn";146;"haar";2;197,061785800179;5
"76";16;"Commit.LOC.Churn";146;"haar";2;-88,2550522883113;5
"77";17;"Commit.LOC.Churn";146;"haar";2;59,4269001831502;5
"78";18;"Commit.LOC.Churn";146;"haar";2;-103,905151101509;5
"79";19;"Commit.LOC.Churn";146;"haar";2;56,2883475506187;5
"80";20;"Commit.LOC.Churn";146;"haar";2;-76,7719671201814;5
"81";21;"Commit.LOC.Churn";146;"haar";2;75,4951762523191;5
"82";22;"Commit.LOC.Churn";146;"haar";2;-33,8313492063492;5
"83";23;"Commit.LOC.Churn";146;"haar";2;-3,78571428571429;5
"84";24;"Commit.LOC.Churn";146;"haar";2;-1,99642857142857;5
"85";25;"Commit.LOC.Churn";146;"haar";2;-177,348214285714;5
"86";26;"Commit.LOC.Churn";146;"haar";2;72,5805272108843;5
"87";27;"Commit.LOC.Churn";146;"haar";2;-26,7491116446579;5
"88";28;"Commit.LOC.Churn";146;"haar";2;-59,1770408163265;5
