"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Modified";146;"haar";1;17,2949859562535;6
"2";2;"Commit.LOC.Modified";146;"haar";1;-14,8503339616964;6
"3";3;"Commit.LOC.Modified";146;"haar";1;-20,3006989703509;6
"4";4;"Commit.LOC.Modified";146;"haar";1;8,51286957398474;6
"5";5;"Commit.LOC.Modified";146;"haar";1;-10,3468416765905;6
"6";6;"Commit.LOC.Modified";146;"haar";1;-11,7954735586943;6
"7";7;"Commit.LOC.Modified";146;"haar";1;-2,85789769554786;6
"8";8;"Commit.LOC.Modified";146;"haar";1;7,62235566031765;6
"9";9;"Commit.LOC.Modified";146;"haar";1;2,99976068274346;6
"10";10;"Commit.LOC.Modified";146;"haar";1;-0,887602783505599;6
"11";11;"Commit.LOC.Modified";146;"haar";1;134,622751585292;6
"12";12;"Commit.LOC.Modified";146;"haar";1;-67,0069624268076;6
"13";13;"Commit.LOC.Modified";146;"haar";1;-4,55784506974333;6
"14";14;"Commit.LOC.Modified";146;"haar";1;-5,47060585157088;6
"15";15;"Commit.LOC.Modified";146;"haar";1;-3,18956982918807;6
"16";16;"Commit.LOC.Modified";146;"haar";1;-0,477542755075749;6
"17";17;"Commit.LOC.Modified";146;"haar";1;13,759035800964;6
"18";18;"Commit.LOC.Modified";146;"haar";1;-4,29559610327272;6
"19";19;"Commit.LOC.Modified";146;"haar";1;-1,68647372438098;6
"20";20;"Commit.LOC.Modified";146;"haar";1;-2,37759349750949;6
"21";21;"Commit.LOC.Modified";146;"haar";1;-9,27004306615088;6
"22";22;"Commit.LOC.Modified";146;"haar";1;-2,9871111695586;6
"23";23;"Commit.LOC.Modified";146;"haar";1;-8,97514434682012;6
"24";24;"Commit.LOC.Modified";146;"haar";1;9,16001147130485;6
"25";25;"Commit.LOC.Modified";146;"haar";1;2,50714249599278;6
"26";26;"Commit.LOC.Modified";146;"haar";1;4,93743888688062;6
"27";27;"Commit.LOC.Modified";146;"haar";1;14,8905966810202;6
"28";28;"Commit.LOC.Modified";146;"haar";1;-0,170331925279952;6
"29";29;"Commit.LOC.Modified";146;"haar";1;3,86625494376874;6
"30";30;"Commit.LOC.Modified";146;"haar";1;7,0127471985788;6
"31";31;"Commit.LOC.Modified";146;"haar";1;-140,350395167871;6
"32";32;"Commit.LOC.Modified";146;"haar";1;-12,2330707927551;6
"33";33;"Commit.LOC.Modified";146;"haar";1;-3,57812641033262;6
"34";34;"Commit.LOC.Modified";146;"haar";1;-9,54385463746481;6
"35";35;"Commit.LOC.Modified";146;"haar";1;73,8864663478783;6
"36";36;"Commit.LOC.Modified";146;"haar";1;-22,4278836763702;6
"37";37;"Commit.LOC.Modified";146;"haar";1;-57,3234119235973;6
"38";38;"Commit.LOC.Modified";146;"haar";1;3,49652095124796;6
"39";39;"Commit.LOC.Modified";146;"haar";1;-1,66454700049724;6
"40";40;"Commit.LOC.Modified";146;"haar";1;-0,749797751819409;6
"41";41;"Commit.LOC.Modified";146;"haar";1;-0,120234390530143;6
"42";42;"Commit.LOC.Modified";146;"haar";1;9,68801884546645;6
"43";43;"Commit.LOC.Modified";146;"haar";1;-6,95433907338389;6
"44";44;"Commit.LOC.Modified";146;"haar";1;1,02025406999773;6
"45";45;"Commit.LOC.Modified";146;"haar";1;-0,606091526731326;6
"46";46;"Commit.LOC.Modified";146;"haar";1;0;6
"47";47;"Commit.LOC.Modified";146;"haar";1;-0,4798224586623;6
"48";48;"Commit.LOC.Modified";146;"haar";1;-0,242436610692531;6
"49";49;"Commit.LOC.Modified";146;"haar";1;0;6
"50";50;"Commit.LOC.Modified";146;"haar";1;0;6
"51";51;"Commit.LOC.Modified";146;"haar";1;0,202030508910442;6
"52";52;"Commit.LOC.Modified";146;"haar";1;1,20172075925122;6
"53";53;"Commit.LOC.Modified";146;"haar";1;-5,95100104996556;6
"54";54;"Commit.LOC.Modified";146;"haar";1;-7,04128541777119;6
"55";55;"Commit.LOC.Modified";146;"haar";1;3,5030647170007;6
"56";56;"Commit.LOC.Modified";146;"haar";1;4,12478955692153;6
"57";57;"Commit.LOC.Modified";146;"haar";1;-0,14142135623731;6
"58";58;"Commit.LOC.Modified";146;"haar";1;0;6
"59";59;"Commit.LOC.Modified";146;"haar";1;-0,707106781186547;6
"60";60;"Commit.LOC.Modified";146;"haar";1;1,93949288554024;6
"61";1;"Commit.LOC.Modified";146;"haar";2;57,7946522013455;5
"62";2;"Commit.LOC.Modified";146;"haar";2;8,28729491796719;5
"63";3;"Commit.LOC.Modified";146;"haar";2;-7,45730446024564;5
"64";4;"Commit.LOC.Modified";146;"haar";2;3,76036026036729;5
"65";5;"Commit.LOC.Modified";146;"haar";2;-4,60496244883566;5
"66";6;"Commit.LOC.Modified";146;"haar";2;-39,8126587154491;5
"67";7;"Commit.LOC.Modified";146;"haar";2;-0,300050208627302;5
"68";8;"Commit.LOC.Modified";146;"haar";2;-1,56289525983816;5
"69";9;"Commit.LOC.Modified";146;"haar";2;-0,288681279478565;5
"70";10;"Commit.LOC.Modified";146;"haar";2;-0,167266906762706;5
"71";11;"Commit.LOC.Modified";146;"haar";2;2,89401445086889;5
"72";12;"Commit.LOC.Modified";146;"haar";2;18,8237079177481;5
"73";13;"Commit.LOC.Modified";146;"haar";2;12,9856125783647;5
"74";14;"Commit.LOC.Modified";146;"haar";2;-11,097659573863;5
"75";15;"Commit.LOC.Modified";146;"haar";2;9,26207952828883;5
"76";16;"Commit.LOC.Modified";146;"haar";2;-93,8207410610676;5
"77";17;"Commit.LOC.Modified";146;"haar";2;9,97877318448747;5
"78";18;"Commit.LOC.Modified";146;"haar";2;-32,857010186451;5
"79";19;"Commit.LOC.Modified";146;"haar";2;-28,6978203337471;5
"80";20;"Commit.LOC.Modified";146;"haar";2;-7,0124716553288;5
"81";21;"Commit.LOC.Modified";146;"haar";2;5,6362863327149;5
"82";22;"Commit.LOC.Modified";146;"haar";2;-3,71825396825397;5
"83";23;"Commit.LOC.Modified";146;"haar";2;-0,428571428571428;5
"84";24;"Commit.LOC.Modified";146;"haar";2;-0,167857142857143;5
"85";25;"Commit.LOC.Modified";146;"haar";2;0;5
"86";26;"Commit.LOC.Modified";146;"haar";2;1,46454081632653;5
"87";27;"Commit.LOC.Modified";146;"haar";2;0,436933864454874;5
"88";28;"Commit.LOC.Modified";146;"haar";2;2,15391156462585;5
"89";29;"Commit.LOC.Modified";146;"haar";2;-0,528571428571428;5
"90";30;"Commit.LOC.Modified";146;"haar";2;1,22857142857143;5
"91";1;"Commit.LOC.Modified";146;"haar";3;-42,1552379162932;4
"92";2;"Commit.LOC.Modified";146;"haar";3;-5,98368027141273;4
"93";3;"Commit.LOC.Modified";146;"haar";3;113,600971978921;4
"94";4;"Commit.LOC.Modified";146;"haar";3;0,795758387337296;4
"95";5;"Commit.LOC.Modified";146;"haar";3;-10,8677966182976;4
"96";6;"Commit.LOC.Modified";146;"haar";3;9,06546489342314;4
"97";7;"Commit.LOC.Modified";146;"haar";3;3,44192375432242;4
"98";8;"Commit.LOC.Modified";146;"haar";3;75,9583174081964;4
"99";9;"Commit.LOC.Modified";146;"haar";3;43,7848560235723;4
"100";10;"Commit.LOC.Modified";146;"haar";3;-31,4621218043031;4
"101";11;"Commit.LOC.Modified";146;"haar";3;-5,10245469189696;4
"102";12;"Commit.LOC.Modified";146;"haar";3;0,0580837713117521;4
"103";13;"Commit.LOC.Modified";146;"haar";3;1,23761725145941;4
"104";14;"Commit.LOC.Modified";146;"haar";3;0,145730002817714;4
"105";15;"Commit.LOC.Modified";146;"haar";3;1,20208152801713;4
"106";1;"Commit.LOC.Modified";146;"haar";4;68,6746435730783;3
"107";2;"Commit.LOC.Modified";146;"haar";4;2,4368440961882;3
"108";3;"Commit.LOC.Modified";146;"haar";4;-8,11331736782789;3
"109";4;"Commit.LOC.Modified";146;"haar";4;-18,5009895442206;3
"110";5;"Commit.LOC.Modified";146;"haar";4;-27,4178408616011;3
"111";6;"Commit.LOC.Modified";146;"haar";4;0,405484693877551;3
"112";7;"Commit.LOC.Modified";146;"haar";4;-9,05494652406417;3
"113";1;"Commit.LOC.Modified";146;"haar";5;11,4683264400454;2
"114";2;"Commit.LOC.Modified";146;"haar";5;-62,8027495478732;2
"115";3;"Commit.LOC.Modified";146;"haar";5;7,40151222668185;2
