"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Removed";137;"haar";1;1,34533952524454;6
"2";2;"Commit.LOC.Removed";137;"haar";1;-39,2983011582295;6
"3";3;"Commit.LOC.Removed";137;"haar";1;-97,5556291568758;6
"4";4;"Commit.LOC.Removed";137;"haar";1;9,76381815310271;6
"5";5;"Commit.LOC.Removed";137;"haar";1;1,92077535309707;6
"6";6;"Commit.LOC.Removed";137;"haar";1;-6,89314321595003;6
"7";7;"Commit.LOC.Removed";137;"haar";1;-15,6622831012776;6
"8";8;"Commit.LOC.Removed";137;"haar";1;19,1639109411041;6
"9";9;"Commit.LOC.Removed";137;"haar";1;-5,68978036382856;6
"10";10;"Commit.LOC.Removed";137;"haar";1;-1,10675592091037;6
"11";11;"Commit.LOC.Removed";137;"haar";1;9,4559993858172;6
"12";12;"Commit.LOC.Removed";137;"haar";1;0,195004768456345;6
"13";13;"Commit.LOC.Removed";137;"haar";1;6,76802204849981;6
"14";14;"Commit.LOC.Removed";137;"haar";1;2,84054749762924;6
"15";15;"Commit.LOC.Removed";137;"haar";1;4,32441014078048;6
"16";16;"Commit.LOC.Removed";137;"haar";1;-13,1413371294687;6
"17";17;"Commit.LOC.Removed";137;"haar";1;-29,2153416386683;6
"18";18;"Commit.LOC.Removed";137;"haar";1;-20,3666943162382;6
"19";19;"Commit.LOC.Removed";137;"haar";1;-5,3761483981697;6
"20";20;"Commit.LOC.Removed";137;"haar";1;-84,3211454202188;6
"21";21;"Commit.LOC.Removed";137;"haar";1;-4,39212435628019;6
"22";22;"Commit.LOC.Removed";137;"haar";1;8,07175194478685;6
"23";23;"Commit.LOC.Removed";137;"haar";1;-3,39057206406134;6
"24";24;"Commit.LOC.Removed";137;"haar";1;2,018764463512;6
"25";25;"Commit.LOC.Removed";137;"haar";1;6,08104179149639;6
"26";26;"Commit.LOC.Removed";137;"haar";1;-16,7348604880816;6
"27";27;"Commit.LOC.Removed";137;"haar";1;6,91112699231137;6
"28";28;"Commit.LOC.Removed";137;"haar";1;8,0408142546356;6
"29";29;"Commit.LOC.Removed";137;"haar";1;-3,01471315240386;6
"30";30;"Commit.LOC.Removed";137;"haar";1;-10,7671927445928;6
"31";31;"Commit.LOC.Removed";137;"haar";1;5,38835482855945;6
"32";32;"Commit.LOC.Removed";137;"haar";1;39,8248998773514;6
"33";33;"Commit.LOC.Removed";137;"haar";1;80,4269990489435;6
"34";34;"Commit.LOC.Removed";137;"haar";1;17,6478041500856;6
"35";35;"Commit.LOC.Removed";137;"haar";1;-7,07351666651893;6
"36";36;"Commit.LOC.Removed";137;"haar";1;11,0660713040508;6
"37";37;"Commit.LOC.Removed";137;"haar";1;0,67646428240333;6
"38";38;"Commit.LOC.Removed";137;"haar";1;1,86552374690636;6
"39";39;"Commit.LOC.Removed";137;"haar";1;-3,05193193920457;6
"40";40;"Commit.LOC.Removed";137;"haar";1;-1,39193078565503;6
"41";41;"Commit.LOC.Removed";137;"haar";1;1,81827458019398;6
"42";42;"Commit.LOC.Removed";137;"haar";1;-7,58802992462306;6
"43";43;"Commit.LOC.Removed";137;"haar";1;-0,353553390593274;6
"44";44;"Commit.LOC.Removed";137;"haar";1;0;6
"45";45;"Commit.LOC.Removed";137;"haar";1;-0,109433192326489;6
"46";46;"Commit.LOC.Removed";137;"haar";1;0,0808122035641769;6
"47";47;"Commit.LOC.Removed";137;"haar";1;-1,1318888768444;6
"48";48;"Commit.LOC.Removed";137;"haar";1;0,101015254455221;6
"49";49;"Commit.LOC.Removed";137;"haar";1;0,370389266335811;6
"50";50;"Commit.LOC.Removed";137;"haar";1;0;6
"51";51;"Commit.LOC.Removed";137;"haar";1;-0,0404061017820884;6
