"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commits";359;"haar";1;-358,50313806158;6
"2";2;"Commits";359;"haar";1;190,918830920368;6
"3";3;"Commits";359;"haar";1;36,7695526217005;6
"4";4;"Commits";359;"haar";1;0;6
"5";5;"Commits";359;"haar";1;0;6
"6";6;"Commits";359;"haar";1;-18,3847763108502;6
"7";7;"Commits";359;"haar";1;293,449314192417;6
"8";8;"Commits";359;"haar";1;-206,475180106472;6
"9";9;"Commits";359;"haar";1;16,9705627484771;6
"10";10;"Commits";359;"haar";1;-28,2842712474619;6
"11";11;"Commits";359;"haar";1;-11,3137084989848;6
"12";12;"Commits";359;"haar";1;-67,175144212722;6
"13";13;"Commits";359;"haar";1;3,53553390593274;6
"14";14;"Commits";359;"haar";1;-27,5771644662753;6
"15";15;"Commits";359;"haar";1;-45,9619407771256;6
"16";16;"Commits";359;"haar";1;-70,0035713374682;6
"17";17;"Commits";359;"haar";1;-111,722871427475;6
"18";18;"Commits";359;"haar";1;49,4974746830583;6
"19";19;"Commits";359;"haar";1;-0,707106781186553;6
"20";20;"Commits";359;"haar";1;-39,5979797464467;6
"21";21;"Commits";359;"haar";1;-12,0208152801713;6
"22";22;"Commits";359;"haar";1;-129,400540957138;6
"23";23;"Commits";359;"haar";1;-15,556349186104;6
"24";24;"Commits";359;"haar";1;31,8198051533946;6
"25";25;"Commits";359;"haar";1;-170,412734265958;6
"26";26;"Commits";359;"haar";1;93,3380951166243;6
"27";27;"Commits";359;"haar";1;-21,920310216783;6
"28";28;"Commits";359;"haar";1;7,77817459305202;6
"29";29;"Commits";359;"haar";1;0;6
"30";30;"Commits";359;"haar";1;7,77817459305202;6
"31";31;"Commits";359;"haar";1;142,128463018496;6
"32";32;"Commits";359;"haar";1;38,8908729652601;6
"33";33;"Commits";359;"haar";1;159,80613254816;6
"34";34;"Commits";359;"haar";1;60,8111831820431;6
"35";35;"Commits";359;"haar";1;4,94974746830583;6
"36";36;"Commits";359;"haar";1;-324,562012564625;6
"37";37;"Commits";359;"haar";1;21,920310216783;6
"38";38;"Commits";359;"haar";1;16,9705627484771;6
"39";39;"Commits";359;"haar";1;-14,142135623731;6
"40";40;"Commits";359;"haar";1;-19,0918830920368;6
"41";41;"Commits";359;"haar";1;-15,556349186104;6
"42";42;"Commits";359;"haar";1;9,19238815542512;6
"43";43;"Commits";359;"haar";1;0;6
"44";44;"Commits";359;"haar";1;-31,1126983722081;6
"45";45;"Commits";359;"haar";1;6,36396103067893;6
"46";1;"Commits";359;"haar";2;-190;5
"47";2;"Commits";359;"haar";2;0;5
"48";3;"Commits";359;"haar";2;597,5;5
"49";4;"Commits";359;"haar";2;-186;5
"50";5;"Commits";359;"haar";2;-12;5
"51";6;"Commits";359;"haar";2;-41;5
"52";7;"Commits";359;"haar";2;-91;5
"53";8;"Commits";359;"haar";2;-51,5;5
"54";9;"Commits";359;"haar";2;139,5;5
"55";10;"Commits";359;"haar";2;248,5;5
"56";11;"Commits";359;"haar";2;-289,5;5
"57";12;"Commits";359;"haar";2;55,9999999999999;5
"58";13;"Commits";359;"haar";2;6,5;5
"59";14;"Commits";359;"haar";2;-5,5;5
"60";15;"Commits";359;"haar";2;95;5
"61";16;"Commits";359;"haar";2;193,5;5
"62";17;"Commits";359;"haar";2;-19,5;5
"63";18;"Commits";359;"haar";2;-385;5
"64";19;"Commits";359;"haar";2;13;5
"65";20;"Commits";359;"haar";2;-2,5;5
"66";21;"Commits";359;"haar";2;-6,5;5
"67";22;"Commits";359;"haar";2;-17,5;5
"68";1;"Commits";359;"haar";3;-171,119841047144;4
"69";2;"Commits";359;"haar";3;-292,388654020637;4
"70";3;"Commits";359;"haar";3;24,0416305603426;4
"71";4;"Commits";359;"haar";3;67,5286976033152;4
"72";5;"Commits";359;"haar";3;198,69700551342;4
"73";6;"Commits";359;"haar";3;-10,2530483272049;4
"74";7;"Commits";359;"haar";3;-125,157900270019;4
"75";8;"Commits";359;"haar";3;54,0936687607709;4
"76";9;"Commits";359;"haar";3;293,80286758301;4
"77";10;"Commits";359;"haar";3;-72,4784450716211;4
"78";11;"Commits";359;"haar";3;14,1421356237309;4
"79";1;"Commits";359;"haar";4;-371,75;3
"80";2;"Commits";359;"haar";4;12,2500000000001;3
"81";3;"Commits";359;"haar";4;-430,25;3
"82";4;"Commits";359;"haar";4;126;3
"83";5;"Commits";359;"haar";4;-59,25;3
