"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Churn";351;"haar";1;0;6
"2";2;"Cumulative.LOC.Churn";351;"haar";1;6480,63364957471;6
"3";3;"Cumulative.LOC.Churn";351;"haar";1;6313,75644921471;6
"4";4;"Cumulative.LOC.Churn";351;"haar";1;162,634559672908;6
"5";5;"Cumulative.LOC.Churn";351;"haar";1;6133,44422001211;6
"6";6;"Cumulative.LOC.Churn";351;"haar";1;0;6
"7";7;"Cumulative.LOC.Churn";351;"haar";1;0;6
"8";8;"Cumulative.LOC.Churn";351;"haar";1;0;6
"9";9;"Cumulative.LOC.Churn";351;"haar";1;0;6
"10";10;"Cumulative.LOC.Churn";351;"haar";1;0;6
"11";11;"Cumulative.LOC.Churn";351;"haar";1;0;6
"12";12;"Cumulative.LOC.Churn";351;"haar";1;0;6
"13";13;"Cumulative.LOC.Churn";351;"haar";1;0;6
"14";14;"Cumulative.LOC.Churn";351;"haar";1;0;6
"15";15;"Cumulative.LOC.Churn";351;"haar";1;0;6
"16";16;"Cumulative.LOC.Churn";351;"haar";1;703,571247280634;6
"17";17;"Cumulative.LOC.Churn";351;"haar";1;0;6
"18";18;"Cumulative.LOC.Churn";351;"haar";1;0;6
"19";19;"Cumulative.LOC.Churn";351;"haar";1;0;6
"20";20;"Cumulative.LOC.Churn";351;"haar";1;0;6
"21";21;"Cumulative.LOC.Churn";351;"haar";1;2983,99061660722;6
"22";22;"Cumulative.LOC.Churn";351;"haar";1;0;6
"23";23;"Cumulative.LOC.Churn";351;"haar";1;0;6
"24";24;"Cumulative.LOC.Churn";351;"haar";1;0;6
"25";25;"Cumulative.LOC.Churn";351;"haar";1;0;6
"26";26;"Cumulative.LOC.Churn";351;"haar";1;0;6
"27";27;"Cumulative.LOC.Churn";351;"haar";1;0;6
"28";28;"Cumulative.LOC.Churn";351;"haar";1;0;6
"29";29;"Cumulative.LOC.Churn";351;"haar";1;0;6
"30";30;"Cumulative.LOC.Churn";351;"haar";1;0;6
"31";31;"Cumulative.LOC.Churn";351;"haar";1;0;6
"32";32;"Cumulative.LOC.Churn";351;"haar";1;0;6
"33";33;"Cumulative.LOC.Churn";351;"haar";1;0;6
"34";34;"Cumulative.LOC.Churn";351;"haar";1;0;6
"35";35;"Cumulative.LOC.Churn";351;"haar";1;383,958982184296;6
"36";36;"Cumulative.LOC.Churn";351;"haar";1;0;6
"37";37;"Cumulative.LOC.Churn";351;"haar";1;0;6
"38";38;"Cumulative.LOC.Churn";351;"haar";1;0;6
"39";39;"Cumulative.LOC.Churn";351;"haar";1;2088,79343162506;6
"40";40;"Cumulative.LOC.Churn";351;"haar";1;0;6
"41";41;"Cumulative.LOC.Churn";351;"haar";1;0;6
"42";42;"Cumulative.LOC.Churn";351;"haar";1;0;6
"43";43;"Cumulative.LOC.Churn";351;"haar";1;0;6
"44";44;"Cumulative.LOC.Churn";351;"haar";1;0;6
"45";45;"Cumulative.LOC.Churn";351;"haar";1;0;6
"46";46;"Cumulative.LOC.Churn";351;"haar";1;0;6
"47";47;"Cumulative.LOC.Churn";351;"haar";1;0;6
"48";48;"Cumulative.LOC.Churn";351;"haar";1;0;6
"49";49;"Cumulative.LOC.Churn";351;"haar";1;0;6
"50";1;"Cumulative.LOC.Churn";351;"haar";2;26747;5
"51";2;"Cumulative.LOC.Churn";351;"haar";2;9187;5
"52";3;"Cumulative.LOC.Churn";351;"haar";2;0;5
"53";4;"Cumulative.LOC.Churn";351;"haar";2;0;5
"54";5;"Cumulative.LOC.Churn";351;"haar";2;40040;5
"55";6;"Cumulative.LOC.Churn";351;"haar";2;6151;5
"56";7;"Cumulative.LOC.Churn";351;"haar";2;0;5
"57";8;"Cumulative.LOC.Churn";351;"haar";2;4954,5;5
"58";9;"Cumulative.LOC.Churn";351;"haar";2;0;5
"59";10;"Cumulative.LOC.Churn";351;"haar";2;2110;5
"60";11;"Cumulative.LOC.Churn";351;"haar";2;0;5
"61";12;"Cumulative.LOC.Churn";351;"haar";2;0;5
"62";13;"Cumulative.LOC.Churn";351;"haar";2;0;5
"63";14;"Cumulative.LOC.Churn";351;"haar";2;0;5
"64";15;"Cumulative.LOC.Churn";351;"haar";2;0;5
"65";16;"Cumulative.LOC.Churn";351;"haar";2;0;5
"66";17;"Cumulative.LOC.Churn";351;"haar";2;14002,5;5
"67";18;"Cumulative.LOC.Churn";351;"haar";2;0;5
"68";19;"Cumulative.LOC.Churn";351;"haar";2;1477;5
"69";20;"Cumulative.LOC.Churn";351;"haar";2;0;5
"70";21;"Cumulative.LOC.Churn";351;"haar";2;0;5
"71";22;"Cumulative.LOC.Churn";351;"haar";2;0;5
"72";23;"Cumulative.LOC.Churn";351;"haar";2;0;5
"73";24;"Cumulative.LOC.Churn";351;"haar";2;0;5
"74";1;"Cumulative.LOC.Churn";351;"haar";3;31925,1640637915;4
"75";2;"Cumulative.LOC.Churn";351;"haar";3;0;4
"76";3;"Cumulative.LOC.Churn";351;"haar";3;32661,9693297878;4
"77";4;"Cumulative.LOC.Churn";351;"haar";3;4857,47003336099;4
"78";5;"Cumulative.LOC.Churn";351;"haar";3;1491,99530830362;4
"79";6;"Cumulative.LOC.Churn";351;"haar";3;0;4
"80";7;"Cumulative.LOC.Churn";351;"haar";3;0;4
"81";8;"Cumulative.LOC.Churn";351;"haar";3;0;4
"82";9;"Cumulative.LOC.Churn";351;"haar";3;10285,2216857489;4
"83";10;"Cumulative.LOC.Churn";351;"haar";3;3133,19014743756;4
"84";11;"Cumulative.LOC.Churn";351;"haar";3;0;4
"85";12;"Cumulative.LOC.Churn";351;"haar";3;0;4
"86";1;"Cumulative.LOC.Churn";351;"haar";4;40435,5;3
"87";2;"Cumulative.LOC.Churn";351;"haar";4;32681,25;3
"88";3;"Cumulative.LOC.Churn";351;"haar";4;11481;3
"89";4;"Cumulative.LOC.Churn";351;"haar";4;0;3
"90";5;"Cumulative.LOC.Churn";351;"haar";4;16789,25;3
"91";6;"Cumulative.LOC.Churn";351;"haar";4;0;3
"92";1;"Cumulative.LOC.Churn";351;"haar";5;140988,430110528;2
"93";2;"Cumulative.LOC.Churn";351;"haar";5;8118,29295480275;2
"94";3;"Cumulative.LOC.Churn";351;"haar";5;15004,9826734738;2
