"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Modified";351;"haar";1;0;6
"2";2;"Cumulative.LOC.Modified";351;"haar";1;0;6
"3";3;"Cumulative.LOC.Modified";351;"haar";1;0;6
"4";4;"Cumulative.LOC.Modified";351;"haar";1;0;6
"5";5;"Cumulative.LOC.Modified";351;"haar";1;0;6
"6";6;"Cumulative.LOC.Modified";351;"haar";1;0;6
"7";7;"Cumulative.LOC.Modified";351;"haar";1;0;6
"8";8;"Cumulative.LOC.Modified";351;"haar";1;0;6
"9";9;"Cumulative.LOC.Modified";351;"haar";1;0;6
"10";10;"Cumulative.LOC.Modified";351;"haar";1;0;6
"11";11;"Cumulative.LOC.Modified";351;"haar";1;0;6
"12";12;"Cumulative.LOC.Modified";351;"haar";1;0;6
"13";13;"Cumulative.LOC.Modified";351;"haar";1;0;6
"14";14;"Cumulative.LOC.Modified";351;"haar";1;0;6
"15";15;"Cumulative.LOC.Modified";351;"haar";1;0;6
"16";16;"Cumulative.LOC.Modified";351;"haar";1;0;6
"17";17;"Cumulative.LOC.Modified";351;"haar";1;0;6
"18";18;"Cumulative.LOC.Modified";351;"haar";1;0;6
"19";19;"Cumulative.LOC.Modified";351;"haar";1;0;6
"20";20;"Cumulative.LOC.Modified";351;"haar";1;0;6
"21";21;"Cumulative.LOC.Modified";351;"haar";1;0;6
"22";22;"Cumulative.LOC.Modified";351;"haar";1;0;6
"23";23;"Cumulative.LOC.Modified";351;"haar";1;0;6
"24";24;"Cumulative.LOC.Modified";351;"haar";1;0;6
"25";25;"Cumulative.LOC.Modified";351;"haar";1;0;6
"26";26;"Cumulative.LOC.Modified";351;"haar";1;0;6
"27";27;"Cumulative.LOC.Modified";351;"haar";1;0;6
"28";28;"Cumulative.LOC.Modified";351;"haar";1;0;6
"29";29;"Cumulative.LOC.Modified";351;"haar";1;0;6
"30";30;"Cumulative.LOC.Modified";351;"haar";1;0;6
"31";31;"Cumulative.LOC.Modified";351;"haar";1;0;6
"32";32;"Cumulative.LOC.Modified";351;"haar";1;0;6
"33";33;"Cumulative.LOC.Modified";351;"haar";1;0;6
"34";34;"Cumulative.LOC.Modified";351;"haar";1;0;6
"35";35;"Cumulative.LOC.Modified";351;"haar";1;0;6
"36";36;"Cumulative.LOC.Modified";351;"haar";1;0;6
"37";37;"Cumulative.LOC.Modified";351;"haar";1;0;6
"38";38;"Cumulative.LOC.Modified";351;"haar";1;0;6
"39";39;"Cumulative.LOC.Modified";351;"haar";1;0;6
"40";40;"Cumulative.LOC.Modified";351;"haar";1;0;6
"41";41;"Cumulative.LOC.Modified";351;"haar";1;0;6
"42";42;"Cumulative.LOC.Modified";351;"haar";1;0;6
"43";43;"Cumulative.LOC.Modified";351;"haar";1;0;6
"44";44;"Cumulative.LOC.Modified";351;"haar";1;0;6
"45";45;"Cumulative.LOC.Modified";351;"haar";1;0;6
"46";46;"Cumulative.LOC.Modified";351;"haar";1;0;6
"47";47;"Cumulative.LOC.Modified";351;"haar";1;0;6
"48";48;"Cumulative.LOC.Modified";351;"haar";1;0;6
"49";49;"Cumulative.LOC.Modified";351;"haar";1;0;6
"50";1;"Cumulative.LOC.Modified";351;"haar";2;0;5
"51";2;"Cumulative.LOC.Modified";351;"haar";2;0;5
"52";3;"Cumulative.LOC.Modified";351;"haar";2;0;5
"53";4;"Cumulative.LOC.Modified";351;"haar";2;0;5
"54";5;"Cumulative.LOC.Modified";351;"haar";2;0;5
"55";6;"Cumulative.LOC.Modified";351;"haar";2;0;5
"56";7;"Cumulative.LOC.Modified";351;"haar";2;0;5
"57";8;"Cumulative.LOC.Modified";351;"haar";2;0;5
"58";9;"Cumulative.LOC.Modified";351;"haar";2;0;5
"59";10;"Cumulative.LOC.Modified";351;"haar";2;0;5
"60";11;"Cumulative.LOC.Modified";351;"haar";2;0;5
"61";12;"Cumulative.LOC.Modified";351;"haar";2;0;5
"62";13;"Cumulative.LOC.Modified";351;"haar";2;0;5
"63";14;"Cumulative.LOC.Modified";351;"haar";2;0;5
"64";15;"Cumulative.LOC.Modified";351;"haar";2;0;5
"65";16;"Cumulative.LOC.Modified";351;"haar";2;0;5
"66";17;"Cumulative.LOC.Modified";351;"haar";2;0;5
"67";18;"Cumulative.LOC.Modified";351;"haar";2;0;5
"68";19;"Cumulative.LOC.Modified";351;"haar";2;0;5
"69";20;"Cumulative.LOC.Modified";351;"haar";2;0;5
"70";21;"Cumulative.LOC.Modified";351;"haar";2;0;5
"71";22;"Cumulative.LOC.Modified";351;"haar";2;0;5
"72";23;"Cumulative.LOC.Modified";351;"haar";2;0;5
"73";24;"Cumulative.LOC.Modified";351;"haar";2;0;5
"74";1;"Cumulative.LOC.Modified";351;"haar";3;0;4
"75";2;"Cumulative.LOC.Modified";351;"haar";3;0;4
"76";3;"Cumulative.LOC.Modified";351;"haar";3;0;4
"77";4;"Cumulative.LOC.Modified";351;"haar";3;0;4
"78";5;"Cumulative.LOC.Modified";351;"haar";3;0;4
"79";6;"Cumulative.LOC.Modified";351;"haar";3;0;4
"80";7;"Cumulative.LOC.Modified";351;"haar";3;0;4
"81";8;"Cumulative.LOC.Modified";351;"haar";3;0;4
"82";9;"Cumulative.LOC.Modified";351;"haar";3;0;4
"83";10;"Cumulative.LOC.Modified";351;"haar";3;0;4
"84";11;"Cumulative.LOC.Modified";351;"haar";3;0;4
"85";12;"Cumulative.LOC.Modified";351;"haar";3;0;4
"86";1;"Cumulative.LOC.Modified";351;"haar";4;0;3
"87";2;"Cumulative.LOC.Modified";351;"haar";4;0;3
"88";3;"Cumulative.LOC.Modified";351;"haar";4;0;3
"89";4;"Cumulative.LOC.Modified";351;"haar";4;0;3
"90";5;"Cumulative.LOC.Modified";351;"haar";4;0;3
"91";6;"Cumulative.LOC.Modified";351;"haar";4;0;3
"92";1;"Cumulative.LOC.Modified";351;"haar";5;0;2
"93";2;"Cumulative.LOC.Modified";351;"haar";5;0;2
