"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Files";367;"haar";1;0;7
"2";2;"Files";367;"haar";1;0;7
"3";3;"Files";367;"haar";1;6,46497628513415;7
"4";4;"Files";367;"haar";1;0,757614408414156;7
"5";5;"Files";367;"haar";1;0,808122035641766;7
"6";6;"Files";367;"haar";1;0;7
"7";7;"Files";367;"haar";1;0;7
"8";8;"Files";367;"haar";1;0;7
"9";9;"Files";367;"haar";1;0;7
"10";10;"Files";367;"haar";1;0;7
"11";11;"Files";367;"haar";1;0;7
"12";12;"Files";367;"haar";1;0;7
"13";13;"Files";367;"haar";1;0;7
"14";14;"Files";367;"haar";1;0;7
"15";15;"Files";367;"haar";1;0;7
"16";16;"Files";367;"haar";1;0;7
"17";17;"Files";367;"haar";1;0;7
"18";18;"Files";367;"haar";1;0;7
"19";19;"Files";367;"haar";1;0;7
"20";20;"Files";367;"haar";1;0;7
"21";21;"Files";367;"haar";1;0;7
"22";22;"Files";367;"haar";1;0;7
"23";23;"Files";367;"haar";1;0;7
"24";24;"Files";367;"haar";1;0;7
"25";25;"Files";367;"haar";1;0;7
"26";26;"Files";367;"haar";1;0;7
"27";27;"Files";367;"haar";1;0;7
"28";28;"Files";367;"haar";1;0;7
"29";29;"Files";367;"haar";1;0;7
"30";30;"Files";367;"haar";1;0;7
"31";31;"Files";367;"haar";1;0;7
"32";32;"Files";367;"haar";1;0;7
"33";33;"Files";367;"haar";1;0;7
"34";34;"Files";367;"haar";1;0;7
"35";35;"Files";367;"haar";1;0;7
"36";36;"Files";367;"haar";1;0;7
"37";37;"Files";367;"haar";1;0;7
"38";38;"Files";367;"haar";1;0;7
"39";39;"Files";367;"haar";1;0;7
"40";40;"Files";367;"haar";1;0;7
"41";41;"Files";367;"haar";1;0;7
"42";42;"Files";367;"haar";1;0;7
"43";43;"Files";367;"haar";1;0;7
"44";44;"Files";367;"haar";1;0;7
"45";45;"Files";367;"haar";1;0;7
"46";46;"Files";367;"haar";1;0;7
"47";47;"Files";367;"haar";1;0;7
"48";48;"Files";367;"haar";1;0;7
"49";49;"Files";367;"haar";1;0;7
"50";50;"Files";367;"haar";1;0;7
"51";51;"Files";367;"haar";1;0;7
"52";52;"Files";367;"haar";1;0;7
"53";53;"Files";367;"haar";1;0;7
"54";54;"Files";367;"haar";1;0;7
"55";55;"Files";367;"haar";1;0;7
"56";56;"Files";367;"haar";1;0;7
"57";57;"Files";367;"haar";1;0;7
"58";58;"Files";367;"haar";1;0;7
"59";59;"Files";367;"haar";1;0;7
"60";60;"Files";367;"haar";1;0;7
"61";61;"Files";367;"haar";1;0;7
"62";62;"Files";367;"haar";1;0;7
"63";63;"Files";367;"haar";1;0;7
"64";64;"Files";367;"haar";1;0;7
"65";65;"Files";367;"haar";1;0;7
"66";66;"Files";367;"haar";1;0;7
"67";67;"Files";367;"haar";1;0;7
"68";68;"Files";367;"haar";1;0;7
"69";69;"Files";367;"haar";1;0;7
