"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";359;"haar";1;1632,07378192578;6
"2";2;"LOC";359;"haar";1;2316,33172292021;6
"3";3;"LOC";359;"haar";1;184,836269527099;6
"4";4;"LOC";359;"haar";1;0;6
"5";5;"LOC";359;"haar";1;0;6
"6";6;"LOC";359;"haar";1;81,9233713631838;6
"7";7;"LOC";359;"haar";1;11065,0626630254;6
"8";8;"LOC";359;"haar";1;2219,6997183612;6
"9";9;"LOC";359;"haar";1;240,339341600025;6
"10";10;"LOC";359;"haar";1;618,805018042047;6
"11";11;"LOC";359;"haar";1;171,473394437737;6
"12";12;"LOC";359;"haar";1;268,043977696929;6
"13";13;"LOC";359;"haar";1;40,7091475454508;6
"14";14;"LOC";359;"haar";1;2033,09896818486;6
"15";15;"LOC";359;"haar";1;3386,87873508471;6
"16";16;"LOC";359;"haar";1;4444,63584069067;6
"17";17;"LOC";359;"haar";1;1397,13085557093;6
"18";18;"LOC";359;"haar";1;701,514421291824;6
"19";19;"LOC";359;"haar";1;2643,51228100482;6
"20";20;"LOC";359;"haar";1;2375,41697728686;6
"21";21;"LOC";359;"haar";1;584,188232075816;6
"22";22;"LOC";359;"haar";1;2965,29842217486;6
"23";23;"LOC";359;"haar";1;1523,22441473097;6
"24";24;"LOC";359;"haar";1;1039,09846571635;6
"25";25;"LOC";359;"haar";1;2922,87111243822;6
"26";26;"LOC";359;"haar";1;1155,35475745627;6
"27";27;"LOC";359;"haar";1;1303,83212172208;6
"28";28;"LOC";359;"haar";1;37,5776746573538;6
"29";29;"LOC";359;"haar";1;0;6
"30";30;"LOC";359;"haar";1;286,007857114222;6
"31";31;"LOC";359;"haar";1;189,066884588683;6
"32";32;"LOC";359;"haar";1;30,0352023246814;6
"33";33;"LOC";359;"haar";1;8947,89507196052;6
"34";34;"LOC";359;"haar";1;3563,70874398787;6
"35";35;"LOC";359;"haar";1;1850,09438534736;6
"36";36;"LOC";359;"haar";1;12000,6141368818;6
"37";37;"LOC";359;"haar";1;528,511811309727;6
"38";38;"LOC";359;"haar";1;1477,47726821285;6
"39";39;"LOC";359;"haar";1;1723,5832618573;6
"40";40;"LOC";359;"haar";1;130,814754519524;6
"41";41;"LOC";359;"haar";1;75,8422530449752;6
"42";42;"LOC";359;"haar";1;17,2736085118377;6
"43";43;"LOC";359;"haar";1;0;6
"44";44;"LOC";359;"haar";1;450,561706621753;6
"45";45;"LOC";359;"haar";1;186,83332507353;6
"46";1;"LOC";359;"haar";2;2845,24846059113;5
"47";2;"LOC";359;"haar";2;0;5
"48";3;"LOC";359;"haar";2;8635,14512899362;5
"49";4;"LOC";359;"haar";2;2046,60009720075;5
"50";5;"LOC";359;"haar";2;655,8112244898;5
"51";6;"LOC";359;"haar";2;425,035714285717;5
"52";7;"LOC";359;"haar";2;7138,04743230627;5
"53";8;"LOC";359;"haar";2;8992,9247059841;5
"54";9;"LOC";359;"haar";2;5433,63121158503;5
"55";10;"LOC";359;"haar";2;2653,8467672868;5
"56";11;"LOC";359;"haar";2;5478,40983344597;5
"57";12;"LOC";359;"haar";2;5983,49777776543;5
"58";13;"LOC";359;"haar";2;4178,97506541075;5
"59";14;"LOC";359;"haar";2;66,4285714285797;5
"60";15;"LOC";359;"haar";2;1169,40476190473;5
"61";16;"LOC";359;"haar";2;7720,55180653851;5
"62";17;"LOC";359;"haar";2;8223,22023809527;5
"63";18;"LOC";359;"haar";2;15841,257107705;5
"64";19;"LOC";359;"haar";2;6958,10363029406;5
"65";20;"LOC";359;"haar";2;226,571428571449;5
"66";21;"LOC";359;"haar";2;16,2857142857392;5
"67";22;"LOC";359;"haar";2;450,706349206332;5
"68";1;"LOC";359;"haar";3;2689,6274689106;4
"69";2;"LOC";359;"haar";3;33308,7721770924;4
"70";3;"LOC";359;"haar";3;1525,02008113517;4
"71";4;"LOC";359;"haar";3;24781,1994160788;4
"72";5;"LOC";359;"haar";3;16816,4833817634;4
"73";6;"LOC";359;"haar";3;12378,8256987626;4
"74";7;"LOC";359;"haar";3;4875,47559544639;4
"75";8;"LOC";359;"haar";3;6954,56651273029;4
"76";9;"LOC";359;"haar";3;42827,7144063924;4
"77";10;"LOC";359;"haar";3;9637,00974610494;4
"78";11;"LOC";359;"haar";3;1245,31044496538;4
"79";1;"LOC";359;"haar";4;34224,8941507702;3
"80";2;"LOC";359;"haar";4;50510,9206901484;3
"81";3;"LOC";359;"haar";4;30481,9505333348;3
"82";4;"LOC";359;"haar";4;78274,6639952592;3
"83";5;"LOC";359;"haar";4;8069,50525929197;3
