"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Date.Progress";302;"haar";1;0;4
"2";2;"Relative.Date.Progress";302;"haar";1;0;4
"3";3;"Relative.Date.Progress";302;"haar";1;7,62543952831573;4
"4";4;"Relative.Date.Progress";302;"haar";1;0;4
"5";5;"Relative.Date.Progress";302;"haar";1;0;4
"6";6;"Relative.Date.Progress";302;"haar";1;1,73311872068823;4
"7";7;"Relative.Date.Progress";302;"haar";1;3,11975511859505;4
"8";8;"Relative.Date.Progress";302;"haar";1;2,42679047303223;4
"9";9;"Relative.Date.Progress";302;"haar";1;2,42608336625104;4
"10";10;"Relative.Date.Progress";302;"haar";1;2,42608336625105;4
"11";11;"Relative.Date.Progress";302;"haar";1;3,11975511859504;4
"12";12;"Relative.Date.Progress";302;"haar";1;3,46623744137646;4
"13";13;"Relative.Date.Progress";302;"haar";1;0;4
"14";14;"Relative.Date.Progress";302;"haar";1;2,42608336625105;4
"15";15;"Relative.Date.Progress";302;"haar";1;0,69296464556281;4
"16";1;"Relative.Date.Progress";302;"haar";2;5,392;3
"17";2;"Relative.Date.Progress";302;"haar";2;8,334;3
"18";3;"Relative.Date.Progress";302;"haar";2;7,35250000000001;3
"19";4;"Relative.Date.Progress";302;"haar";2;5,88249999999999;3
"20";5;"Relative.Date.Progress";302;"haar";2;7,35250000000001;3
"21";6;"Relative.Date.Progress";302;"haar";2;5,392;3
"22";7;"Relative.Date.Progress";302;"haar";2;5,14749999999999;3
"23";1;"Relative.Date.Progress";302;"haar";3;23,9168262134632;2
"24";2;"Relative.Date.Progress";302;"haar";3;19,7572705731333;2
"25";3;"Relative.Date.Progress";302;"haar";3;20,2773476106961;2
