"id"	"name"	"homepage_url"	"download_url"	"url_name"	"user_count"	"average_rating"	"rating_count"	"updated_at"	"logged_at"	"min_month"	"max_month"	"twelve_month_contributor_count"	"total_code_lines"	"main_language_id"	"main_language_name"	"code_added_12months"	"code_removed_12months"	"comments_added_12months"	"comments_removed_12months"	"blanks_added_12months"	"blanks_removed_12months"	"commits_12months"	"code_added_lastmonth"	"code_removed_lastmonth"	"comments_added_lastmonth"	"comments_removed_lastmonth"	"blanks_added_lastmonth"	"blanks_removed_lastmonth"	"commits_lastmonth"	"contributors_lastmonth"	"FactoidGplConflict"	"FactoidTeamSizeZero"	"FactoidTeamSizeOne"	"FactoidTeamSizeSmall"	"FactoidTeamSizeLarge"	"FactoidTeamSizeVeryLarge"	"FactoidCommentsVeryLow"	"FactoidCommentsLow"	"FactoidCommentsHigh"	"FactoidCommentsVeryHigh"	"FactoidAgeYoung"	"FactoidAgeOld"	"FactoidAgeVeryOld"	"FactoidActivityIncreasing"	"FactoidActivityDecreasing"	"code_churn_12months"	"FactoidActivity"	"FactoidAge"
9132	"XBMC Media Center"	"http://xbmc.org"	"http://xbmc.org/download/"	"xbmc"	81	"4.69231"	26	"2012-06-14T07:48:30Z"	"2012-06-14T07:45:22Z"	"2003-08-01"	"2012-06-01"	158	6862972	42	"C"	704752	535723	89344	41992	78719	38738	4934	6785	3743	670	339	738	287	140	23	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1240475	"NoChange"	"VeryOld"
488862	"libav"	"http://www.libav.org/"	"http://www.libav.org/download.html"	"libav"	6	NA	0	"2012-06-21T16:05:24Z"	"2012-06-21T16:00:33Z"	"2000-12-01"	"2012-06-01"	154	474020	42	"C"	162581	116782	19910	12049	13643	7898	4799	4660	2501	490	177	599	208	209	18	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	279363	"NoChange"	"VeryOld"
480	"JBoss Application Server"	"http://www.jboss.org/"	"http://www.jboss.org/jbossas/downloads/"	"jboss"	348	"4.0396"	101	"2012-06-19T23:23:23Z"	"2012-06-19T23:20:16Z"	"2006-07-01"	"2012-05-01"	156	1245541	5	"Java"	944217	559164	370640	212539	167745	91103	6468	18505	2335	1265	342	845	204	87	25	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1503381	"Increasing"	"VeryOld"
3225	"ReactOS"	"http://www.reactos.org"	"http://www.reactos.org/en/download.html"	"reactos"	42	"4.52381"	21	"2012-06-21T17:18:46Z"	"2012-06-21T17:12:41Z"	"1996-01-01"	"2012-06-01"	30	4732703	42	"C"	1193987	1228217	150679	279849	123124	189437	4208	11150	3859	841	409	1587	265	137	9	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	2422204	"Increasing"	"VeryOld"
3564	"Apache Lucene"	"http://lucene.apache.org/"	"http://www.apache.org/dyn/closer.cgi/lucene/java/"	"lucene"	279	"4.53425"	73	"2012-06-21T19:43:24Z"	"2012-06-21T19:40:29Z"	"2000-03-01"	"2012-06-01"	31	382939	5	"Java"	711059	650514	213678	200698	100583	94723	1831	6584	4350	3745	3487	595	276	111	15	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1361573	"Increasing"	"VeryOld"
13726	"Xfce4 Notify Daemon"	"http://goodies.xfce.org/projects/applications/xfce4-notifyd"	"http://archive.xfce.org/src/apps/xfce4-notifyd/"	"xfce4-notifyd"	5	"4"	1	"2012-06-19T16:55:22Z"	"2012-06-19T16:55:16Z"	"2008-04-01"	"2012-05-01"	27	3291	42	"C"	272	24	62	2	78	0	23	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	296	"Decreasing"	"Old"
16584	"PrestaShop"	"http://www.prestashop.com"	"http://www.prestashop.com/en/downloads/"	"PrestaShop"	15	"4.18182"	11	"2012-06-20T00:49:14Z"	"2012-06-20T00:45:22Z"	"2008-12-01"	"2012-06-01"	29	572666	2	"PHP"	196997	145577	47418	22791	25008	12353	4036	6027	3063	1247	163	448	24	130	11	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	342574	"Decreasing"	"Old"
22149	"otwarchive"	"https://github.com/otwcode/otwarchive"	NA	"otwarchive"	11	"5"	5	"2012-06-19T08:25:10Z"	"2012-06-19T08:23:55Z"	"2008-03-01"	"2012-06-01"	31	230553	12	"Ruby"	681764	327556	11481	8949	330853	48327	1144	4356	3691	108	55	818	120	79	7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	1009320	"NoChange"	"Old"
49606	"libevent - an event notification library"	"http://www.monkey.org/~provos/libevent/"	"http://www.monkey.org/~provos/libevent/"	"levent"	8	"3.5"	4	"2012-06-21T16:18:35Z"	"2012-06-21T16:02:50Z"	"2002-04-01"	"2012-06-01"	27	101274	42	"C"	23026	11112	15512	9204	4508	1846	1074	34	4	12	4	6	0	16	4	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	34138	"NoChange"	"VeryOld"
528850	"Google Mail Notifier"	"http://codebit.de/oex/google-mail"	"https://addons.opera.com/addons/extensions/details/google-mail-notifier/"	"google-mail-oex"	5	"5"	1	"2012-06-24T05:39:29Z"	"2012-06-24T05:39:19Z"	"2010-12-01"	"2012-06-01"	4	2285	6	"JavaScript"	1823	2454	558	549	200	190	68	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4277	"NoChange"	"Normal"
