"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"Relative.Date.Progress";15;"haar";1;0,0940452018978108;7
"2";2;2;"Relative.Date.Progress";15;"haar";1;0,023334523779156;7
"3";3;3;"Relative.Date.Progress";15;"haar";1;0,0933380951166243;7
"4";4;4;"Relative.Date.Progress";15;"haar";1;0;7
"5";5;5;"Relative.Date.Progress";15;"haar";1;0,280721392131059;7
"6";6;6;"Relative.Date.Progress";15;"haar";1;0;7
"7";7;7;"Relative.Date.Progress";15;"haar";1;0;7
"8";8;8;"Relative.Date.Progress";15;"haar";1;0,117379725676967;7
"9";9;9;"Relative.Date.Progress";15;"haar";1;0,0240416305603424;7
"10";10;10;"Relative.Date.Progress";15;"haar";1;0;7
"11";11;11;"Relative.Date.Progress";15;"haar";1;0,0240416305603421;7
"12";12;12;"Relative.Date.Progress";15;"haar";1;0,0233345237791571;7
"13";13;13;"Relative.Date.Progress";15;"haar";1;0;7
"14";14;14;"Relative.Date.Progress";15;"haar";1;0;7
"15";15;15;"Relative.Date.Progress";15;"haar";1;0;7
"16";16;16;"Relative.Date.Progress";15;"haar";1;0;7
"17";17;17;"Relative.Date.Progress";15;"haar";1;0;7
"18";18;18;"Relative.Date.Progress";15;"haar";1;0;7
"19";19;19;"Relative.Date.Progress";15;"haar";1;0,468811795926682;7
"20";20;20;"Relative.Date.Progress";15;"haar";1;0;7
"21";21;21;"Relative.Date.Progress";15;"haar";1;0;7
"22";22;22;"Relative.Date.Progress";15;"haar";1;0;7
"23";23;23;"Relative.Date.Progress";15;"haar";1;0;7
"24";24;24;"Relative.Date.Progress";15;"haar";1;0;7
"25";25;25;"Relative.Date.Progress";15;"haar";1;0;7
"26";26;26;"Relative.Date.Progress";15;"haar";1;0;7
"27";27;27;"Relative.Date.Progress";15;"haar";1;0;7
"28";28;28;"Relative.Date.Progress";15;"haar";1;0;7
"29";29;29;"Relative.Date.Progress";15;"haar";1;0;7
"30";30;30;"Relative.Date.Progress";15;"haar";1;0,0233345237791553;7
"31";31;31;"Relative.Date.Progress";15;"haar";1;0,0233345237791553;7
"32";32;32;"Relative.Date.Progress";15;"haar";1;0;7
"33";33;33;"Relative.Date.Progress";15;"haar";1;0,140714249456122;7
"34";34;34;"Relative.Date.Progress";15;"haar";1;0;7
"35";35;35;"Relative.Date.Progress";15;"haar";1;0,187383297014435;7
"36";36;36;"Relative.Date.Progress";15;"haar";1;0,351432070249713;7
"37";37;37;"Relative.Date.Progress";15;"haar";1;2,7174113600999;7
"38";38;38;"Relative.Date.Progress";15;"haar";1;0;7
"39";39;39;"Relative.Date.Progress";15;"haar";1;0;7
"40";40;40;"Relative.Date.Progress";15;"haar";1;0;7
"41";41;41;"Relative.Date.Progress";15;"haar";1;0;7
"42";42;42;"Relative.Date.Progress";15;"haar";1;0;7
"43";43;43;"Relative.Date.Progress";15;"haar";1;0;7
"44";44;44;"Relative.Date.Progress";15;"haar";1;0,0240416305603439;7
"45";45;45;"Relative.Date.Progress";15;"haar";1;0;7
"46";46;46;"Relative.Date.Progress";15;"haar";1;0;7
"47";47;47;"Relative.Date.Progress";15;"haar";1;0;7
"48";48;48;"Relative.Date.Progress";15;"haar";1;0;7
"49";49;49;"Relative.Date.Progress";15;"haar";1;0;7
"50";50;50;"Relative.Date.Progress";15;"haar";1;0;7
"51";51;51;"Relative.Date.Progress";15;"haar";1;0;7
"52";52;52;"Relative.Date.Progress";15;"haar";1;0,0466690475583107;7
"53";53;53;"Relative.Date.Progress";15;"haar";1;0,0233345237791553;7
"54";54;54;"Relative.Date.Progress";15;"haar";1;0;7
"55";55;55;"Relative.Date.Progress";15;"haar";1;0;7
"56";56;56;"Relative.Date.Progress";15;"haar";1;0;7
"57";57;57;"Relative.Date.Progress";15;"haar";1;0,0233345237791589;7
"58";58;58;"Relative.Date.Progress";15;"haar";1;0,117379725676965;7
"59";59;59;"Relative.Date.Progress";15;"haar";1;0;7
"60";60;60;"Relative.Date.Progress";15;"haar";1;0,585484414822464;7
"61";61;61;"Relative.Date.Progress";15;"haar";1;0;7
"62";62;62;"Relative.Date.Progress";15;"haar";1;0,0233345237791553;7
"63";63;63;"Relative.Date.Progress";15;"haar";1;0;7
"64";64;64;"Relative.Date.Progress";15;"haar";1;0,0233345237791553;7
"65";65;65;"Relative.Date.Progress";15;"haar";1;0;7
"66";66;66;"Relative.Date.Progress";15;"haar";1;0;7
"67";67;67;"Relative.Date.Progress";15;"haar";1;2,74145299066025;7
"68";68;68;"Relative.Date.Progress";15;"haar";1;0;7
"69";69;69;"Relative.Date.Progress";15;"haar";1;0;7
"70";70;70;"Relative.Date.Progress";15;"haar";1;0;7
"71";71;71;"Relative.Date.Progress";15;"haar";1;0;7
"72";72;72;"Relative.Date.Progress";15;"haar";1;0;7
"73";73;73;"Relative.Date.Progress";15;"haar";1;0;7
"74";74;74;"Relative.Date.Progress";15;"haar";1;0;7
"75";75;75;"Relative.Date.Progress";15;"haar";1;0;7
"76";76;76;"Relative.Date.Progress";15;"haar";1;0;7
"77";77;77;"Relative.Date.Progress";15;"haar";1;0,0233345237791589;7
"78";78;78;"Relative.Date.Progress";15;"haar";1;6,18506301503873;7
"79";79;79;"Relative.Date.Progress";15;"haar";1;0,468811795926683;7
"80";80;80;"Relative.Date.Progress";15;"haar";1;0,890247437513864;7
"81";81;81;"Relative.Date.Progress";15;"haar";1;0,0233345237791553;7
"82";82;82;"Relative.Date.Progress";15;"haar";1;0;7
"83";83;83;"Relative.Date.Progress";15;"haar";1;0;7
"84";84;84;"Relative.Date.Progress";15;"haar";1;0,187383297014435;7
"85";85;85;"Relative.Date.Progress";15;"haar";1;0,140714249456124;7
"86";86;86;"Relative.Date.Progress";15;"haar";1;0,16404877323528;7
"87";87;87;"Relative.Date.Progress";15;"haar";1;0;7
