"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"Relative.Date.Progress";15;"haar";1;0,0707106781186548;8
"2";2;2;"Relative.Date.Progress";15;"haar";1;0,164048773235279;8
"3";3;3;"Relative.Date.Progress";15;"haar";1;0;8
"4";4;4;"Relative.Date.Progress";15;"haar";1;0,234052344572747;8
"5";5;5;"Relative.Date.Progress";15;"haar";1;0,164048773235279;8
"6";6;6;"Relative.Date.Progress";15;"haar";1;0;8
"7";7;7;"Relative.Date.Progress";15;"haar";1;0;8
"8";8;8;"Relative.Date.Progress";15;"haar";1;0;8
"9";9;9;"Relative.Date.Progress";15;"haar";1;1,21834498398442;8
"10";10;10;"Relative.Date.Progress";15;"haar";1;0;8
"11";11;11;"Relative.Date.Progress";15;"haar";1;0;8
"12";12;12;"Relative.Date.Progress";15;"haar";1;0;8
"13";13;13;"Relative.Date.Progress";15;"haar";1;0;8
"14";14;14;"Relative.Date.Progress";15;"haar";1;0;8
"15";15;15;"Relative.Date.Progress";15;"haar";1;0;8
"16";16;16;"Relative.Date.Progress";15;"haar";1;0;8
"17";17;17;"Relative.Date.Progress";15;"haar";1;0;8
"18";18;18;"Relative.Date.Progress";15;"haar";1;0;8
"19";19;19;"Relative.Date.Progress";15;"haar";1;0;8
"20";20;20;"Relative.Date.Progress";15;"haar";1;0;8
"21";21;21;"Relative.Date.Progress";15;"haar";1;0;8
"22";22;22;"Relative.Date.Progress";15;"haar";1;0;8
"23";23;23;"Relative.Date.Progress";15;"haar";1;0;8
"24";24;24;"Relative.Date.Progress";15;"haar";1;0;8
"25";25;25;"Relative.Date.Progress";15;"haar";1;0;8
"26";26;26;"Relative.Date.Progress";15;"haar";1;0;8
"27";27;27;"Relative.Date.Progress";15;"haar";1;0;8
"28";28;28;"Relative.Date.Progress";15;"haar";1;6,34911178827401;8
"29";29;29;"Relative.Date.Progress";15;"haar";1;0,117379725676967;8
"30";30;30;"Relative.Date.Progress";15;"haar";1;0,281428498912247;8
"31";31;31;"Relative.Date.Progress";15;"haar";1;0,351432070249714;8
"32";32;32;"Relative.Date.Progress";15;"haar";1;0,140007142674937;8
"33";33;33;"Relative.Date.Progress";15;"haar";1;0,0707106781186546;8
"34";34;34;"Relative.Date.Progress";15;"haar";1;0;8
"35";35;35;"Relative.Date.Progress";15;"haar";1;0;8
"36";36;36;"Relative.Date.Progress";15;"haar";1;0;8
"37";37;37;"Relative.Date.Progress";15;"haar";1;0;8
"38";38;38;"Relative.Date.Progress";15;"haar";1;0;8
"39";39;39;"Relative.Date.Progress";15;"haar";1;0;8
"40";40;40;"Relative.Date.Progress";15;"haar";1;0;8
"41";41;41;"Relative.Date.Progress";15;"haar";1;0;8
"42";42;42;"Relative.Date.Progress";15;"haar";1;0;8
"43";43;43;"Relative.Date.Progress";15;"haar";1;0;8
"44";44;44;"Relative.Date.Progress";15;"haar";1;0,187383297014435;8
"45";45;45;"Relative.Date.Progress";15;"haar";1;0;8
"46";46;46;"Relative.Date.Progress";15;"haar";1;0;8
"47";47;47;"Relative.Date.Progress";15;"haar";1;0;8
"48";48;48;"Relative.Date.Progress";15;"haar";1;0;8
"49";49;49;"Relative.Date.Progress";15;"haar";1;0;8
"50";50;50;"Relative.Date.Progress";15;"haar";1;0;8
"51";51;51;"Relative.Date.Progress";15;"haar";1;0;8
"52";52;52;"Relative.Date.Progress";15;"haar";1;0;8
"53";53;53;"Relative.Date.Progress";15;"haar";1;0;8
"54";54;54;"Relative.Date.Progress";15;"haar";1;0,16404877323528;8
"55";55;55;"Relative.Date.Progress";15;"haar";1;0;8
"56";56;56;"Relative.Date.Progress";15;"haar";1;0,16404877323528;8
"57";57;57;"Relative.Date.Progress";15;"haar";1;0,187383297014435;8
"58";58;58;"Relative.Date.Progress";15;"haar";1;0;8
"59";59;59;"Relative.Date.Progress";15;"haar";1;0,656195092941115;8
"60";60;60;"Relative.Date.Progress";15;"haar";1;0;8
"61";61;61;"Relative.Date.Progress";15;"haar";1;0;8
"62";62;62;"Relative.Date.Progress";15;"haar";1;0;8
"63";63;63;"Relative.Date.Progress";15;"haar";1;0;8
"64";64;64;"Relative.Date.Progress";15;"haar";1;0;8
"65";65;65;"Relative.Date.Progress";15;"haar";1;0;8
"66";66;66;"Relative.Date.Progress";15;"haar";1;2,13192694527744;8
"67";67;67;"Relative.Date.Progress";15;"haar";1;0;8
"68";68;68;"Relative.Date.Progress";15;"haar";1;0,0933380951166249;8
"69";69;69;"Relative.Date.Progress";15;"haar";1;0;8
"70";70;70;"Relative.Date.Progress";15;"haar";1;0;8
"71";71;71;"Relative.Date.Progress";15;"haar";1;0;8
"72";72;72;"Relative.Date.Progress";15;"haar";1;0;8
"73";73;73;"Relative.Date.Progress";15;"haar";1;0;8
"74";74;74;"Relative.Date.Progress";15;"haar";1;0;8
"75";75;75;"Relative.Date.Progress";15;"haar";1;0;8
"76";76;76;"Relative.Date.Progress";15;"haar";1;0,187383297014438;8
"77";77;77;"Relative.Date.Progress";15;"haar";1;0;8
"78";78;78;"Relative.Date.Progress";15;"haar";1;0;8
"79";79;79;"Relative.Date.Progress";15;"haar";1;0;8
"80";80;80;"Relative.Date.Progress";15;"haar";1;0;8
"81";81;81;"Relative.Date.Progress";15;"haar";1;0;8
"82";82;82;"Relative.Date.Progress";15;"haar";1;0;8
"83";83;83;"Relative.Date.Progress";15;"haar";1;0;8
"84";84;84;"Relative.Date.Progress";15;"haar";1;0,843578389955553;8
"85";85;85;"Relative.Date.Progress";15;"haar";1;0;8
"86";86;86;"Relative.Date.Progress";15;"haar";1;0;8
"87";87;87;"Relative.Date.Progress";15;"haar";1;0;8
"88";88;88;"Relative.Date.Progress";15;"haar";1;0;8
"89";89;89;"Relative.Date.Progress";15;"haar";1;0;8
"90";90;90;"Relative.Date.Progress";15;"haar";1;0;8
"91";91;91;"Relative.Date.Progress";15;"haar";1;0;8
"92";92;92;"Relative.Date.Progress";15;"haar";1;0;8
"93";93;93;"Relative.Date.Progress";15;"haar";1;0;8
"94";94;94;"Relative.Date.Progress";15;"haar";1;0;8
"95";95;95;"Relative.Date.Progress";15;"haar";1;0;8
"96";96;96;"Relative.Date.Progress";15;"haar";1;0;8
"97";97;97;"Relative.Date.Progress";15;"haar";1;0;8
"98";98;98;"Relative.Date.Progress";15;"haar";1;0;8
"99";99;99;"Relative.Date.Progress";15;"haar";1;0;8
"100";100;100;"Relative.Date.Progress";15;"haar";1;0;8
"101";101;101;"Relative.Date.Progress";15;"haar";1;0,468811795926683;8
"102";102;102;"Relative.Date.Progress";15;"haar";1;0;8
"103";103;103;"Relative.Date.Progress";15;"haar";1;0;8
"104";104;104;"Relative.Date.Progress";15;"haar";1;0,0707106781186511;8
"105";105;105;"Relative.Date.Progress";15;"haar";1;0,140714249456124;8
"106";106;106;"Relative.Date.Progress";15;"haar";1;0,16404877323528;8
"107";107;107;"Relative.Date.Progress";15;"haar";1;0,116672618895784;8
"108";108;108;"Relative.Date.Progress";15;"haar";1;0;8
"109";109;109;"Relative.Date.Progress";15;"haar";1;0;8
"110";110;110;"Relative.Date.Progress";15;"haar";1;0;8
"111";111;111;"Relative.Date.Progress";15;"haar";1;0;8
"112";112;112;"Relative.Date.Progress";15;"haar";1;0;8
"113";113;113;"Relative.Date.Progress";15;"haar";1;0;8
"114";114;114;"Relative.Date.Progress";15;"haar";1;0;8
"115";115;115;"Relative.Date.Progress";15;"haar";1;0;8
"116";116;116;"Relative.Date.Progress";15;"haar";1;0;8
"117";117;117;"Relative.Date.Progress";15;"haar";1;0;8
"118";118;118;"Relative.Date.Progress";15;"haar";1;0;8
"119";119;119;"Relative.Date.Progress";15;"haar";1;0;8
"120";120;120;"Relative.Date.Progress";15;"haar";1;0;8
"121";121;121;"Relative.Date.Progress";15;"haar";1;0;8
"122";122;122;"Relative.Date.Progress";15;"haar";1;0;8
"123";123;123;"Relative.Date.Progress";15;"haar";1;0;8
"124";124;124;"Relative.Date.Progress";15;"haar";1;0;8
"125";125;125;"Relative.Date.Progress";15;"haar";1;0;8
"126";126;126;"Relative.Date.Progress";15;"haar";1;0;8
"127";127;127;"Relative.Date.Progress";15;"haar";1;0;8
"128";128;128;"Relative.Date.Progress";15;"haar";1;0;8
"129";129;129;"Relative.Date.Progress";15;"haar";1;0;8
"130";130;130;"Relative.Date.Progress";15;"haar";1;0;8
"131";131;131;"Relative.Date.Progress";15;"haar";1;0;8
"132";132;132;"Relative.Date.Progress";15;"haar";1;0;8
"133";133;133;"Relative.Date.Progress";15;"haar";1;0;8
"134";134;134;"Relative.Date.Progress";15;"haar";1;0,16404877323528;8
"135";135;135;"Relative.Date.Progress";15;"haar";1;0,234759451353931;8
"136";136;136;"Relative.Date.Progress";15;"haar";1;0,140007142674939;8
"137";137;137;"Relative.Date.Progress";15;"haar";1;0;8
"138";138;138;"Relative.Date.Progress";15;"haar";1;0;8
"139";139;139;"Relative.Date.Progress";15;"haar";1;0;8
"140";140;140;"Relative.Date.Progress";15;"haar";1;0;8
"141";141;141;"Relative.Date.Progress";15;"haar";1;0,796202235616043;8
"142";142;142;"Relative.Date.Progress";15;"haar";1;0;8
"143";143;143;"Relative.Date.Progress";15;"haar";1;0;8
"144";144;144;"Relative.Date.Progress";15;"haar";1;0;8
"145";145;145;"Relative.Date.Progress";15;"haar";1;0;8
"146";146;146;"Relative.Date.Progress";15;"haar";1;0;8
"147";147;147;"Relative.Date.Progress";15;"haar";1;0;8
"148";148;148;"Relative.Date.Progress";15;"haar";1;0;8
"149";149;149;"Relative.Date.Progress";15;"haar";1;0;8
"150";150;150;"Relative.Date.Progress";15;"haar";1;0;8
"151";151;151;"Relative.Date.Progress";15;"haar";1;0;8
"152";152;152;"Relative.Date.Progress";15;"haar";1;0;8
"153";153;153;"Relative.Date.Progress";15;"haar";1;0;8
"154";154;154;"Relative.Date.Progress";15;"haar";1;0;8
"155";155;155;"Relative.Date.Progress";15;"haar";1;0;8
"156";156;156;"Relative.Date.Progress";15;"haar";1;0;8
"157";157;157;"Relative.Date.Progress";15;"haar";1;0;8
"158";158;158;"Relative.Date.Progress";15;"haar";1;0;8
"159";159;159;"Relative.Date.Progress";15;"haar";1;0;8
"160";160;160;"Relative.Date.Progress";15;"haar";1;0;8
"161";161;161;"Relative.Date.Progress";15;"haar";1;0;8
"162";162;162;"Relative.Date.Progress";15;"haar";1;0;8
"163";163;163;"Relative.Date.Progress";15;"haar";1;0;8
"164";164;164;"Relative.Date.Progress";15;"haar";1;0;8
"165";165;165;"Relative.Date.Progress";15;"haar";1;0;8
"166";166;166;"Relative.Date.Progress";15;"haar";1;0;8
"167";167;167;"Relative.Date.Progress";15;"haar";1;0;8
"168";168;168;"Relative.Date.Progress";15;"haar";1;0;8
"169";169;169;"Relative.Date.Progress";15;"haar";1;0;8
"170";170;170;"Relative.Date.Progress";15;"haar";1;0;8
"171";171;171;"Relative.Date.Progress";15;"haar";1;0;8
"172";172;172;"Relative.Date.Progress";15;"haar";1;0;8
"173";173;173;"Relative.Date.Progress";15;"haar";1;0;8
"174";174;174;"Relative.Date.Progress";15;"haar";1;0;8
"175";175;175;"Relative.Date.Progress";15;"haar";1;0;8
"176";176;176;"Relative.Date.Progress";15;"haar";1;0;8
"177";177;177;"Relative.Date.Progress";15;"haar";1;0;8
"178";178;178;"Relative.Date.Progress";15;"haar";1;0;8
"179";179;179;"Relative.Date.Progress";15;"haar";1;0,562856997824497;8
"180";180;180;"Relative.Date.Progress";15;"haar";1;0,0700035713374589;8
"181";181;181;"Relative.Date.Progress";15;"haar";1;0;8
"182";182;182;"Relative.Date.Progress";15;"haar";1;0;8
"183";183;183;"Relative.Date.Progress";15;"haar";1;0;8
"184";184;184;"Relative.Date.Progress";15;"haar";1;0;8
"185";185;185;"Relative.Date.Progress";15;"haar";1;0;8
"186";186;186;"Relative.Date.Progress";15;"haar";1;0;8
