"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;1;"Relative.LOC.Churn.Progress";15;"haar";1;0,281428498912246;8
"2";2;2;"Relative.LOC.Churn.Progress";15;"haar";1;0,589019948728394;8
"3";3;3;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"4";4;4;"Relative.LOC.Churn.Progress";15;"haar";1;0,406586399182265;8
"5";5;5;"Relative.LOC.Churn.Progress";15;"haar";1;1,22895158570222;8
"6";6;6;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"7";7;7;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"8";8;8;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"9";9;9;"Relative.LOC.Churn.Progress";15;"haar";1;0,0890954544295059;8
"10";10;10;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"11";11;11;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"12";12;12;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"13";13;13;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"14";14;14;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"15";15;15;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"16";16;16;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"17";17;17;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"18";18;18;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"19";19;19;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"20";20;20;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"21";21;21;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"22";22;22;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"23";23;23;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"24";24;24;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"25";25;25;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"26";26;26;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"27";27;27;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"28";28;28;"Relative.LOC.Churn.Progress";15;"haar";1;0,0162634559672901;8
"29";29;29;"Relative.LOC.Churn.Progress";15;"haar";1;0,0296984848098347;8
"30";30;30;"Relative.LOC.Churn.Progress";15;"haar";1;1,36825162159597;8
"31";31;31;"Relative.LOC.Churn.Progress";15;"haar";1;4,27728891939743;8
"32";32;32;"Relative.LOC.Churn.Progress";15;"haar";1;1,62775981029143;8
"33";33;33;"Relative.LOC.Churn.Progress";15;"haar";1;0,0445477272147556;8
"34";34;34;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"35";35;35;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"36";36;36;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"37";37;37;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"38";38;38;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"39";39;39;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"40";40;40;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"41";41;41;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"42";42;42;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"43";43;43;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"44";44;44;"Relative.LOC.Churn.Progress";15;"haar";1;0,519723484172111;8
"45";45;45;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"46";46;46;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"47";47;47;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"48";48;48;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"49";49;49;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"50";50;50;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"51";51;51;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"52";52;52;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"53";53;53;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"54";54;54;"Relative.LOC.Churn.Progress";15;"haar";1;5,65614714271119;8
"55";55;55;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"56";56;56;"Relative.LOC.Churn.Progress";15;"haar";1;2,5809397513309;8
"57";57;57;"Relative.LOC.Churn.Progress";15;"haar";1;0,630032142037209;8
"58";58;58;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"59";59;59;"Relative.LOC.Churn.Progress";15;"haar";1;0,016263455967291;8
"60";60;60;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"61";61;61;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"62";62;62;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"63";63;63;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"64";64;64;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"65";65;65;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"66";66;66;"Relative.LOC.Churn.Progress";15;"haar";1;0,477297077300918;8
"67";67;67;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"68";68;68;"Relative.LOC.Churn.Progress";15;"haar";1;3,14733228306132;8
"69";69;69;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"70";70;70;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"71";71;71;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"72";72;72;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"73";73;73;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"74";74;74;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"75";75;75;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"76";76;76;"Relative.LOC.Churn.Progress";15;"haar";1;0,0961665222413686;8
"77";77;77;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"78";78;78;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"79";79;79;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"80";80;80;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"81";81;81;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"82";82;82;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"83";83;83;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"84";84;84;"Relative.LOC.Churn.Progress";15;"haar";1;0,0176776695296681;8
"85";85;85;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"86";86;86;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"87";87;87;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"88";88;88;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"89";89;89;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"90";90;90;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"91";91;91;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"92";92;92;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"93";93;93;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"94";94;94;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"95";95;95;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"96";96;96;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"97";97;97;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"98";98;98;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"99";99;99;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"100";100;100;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"101";101;101;"Relative.LOC.Churn.Progress";15;"haar";1;0,407293505963459;8
"102";102;102;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"103";103;103;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"104";104;104;"Relative.LOC.Churn.Progress";15;"haar";1;1,58816183054498;8
"105";105;105;"Relative.LOC.Churn.Progress";15;"haar";1;0,229102597104436;8
"106";106;106;"Relative.LOC.Churn.Progress";15;"haar";1;0,486489465456344;8
"107";107;107;"Relative.LOC.Churn.Progress";15;"haar";1;0,00282842712474718;8
"108";108;108;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"109";109;109;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"110";110;110;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"111";111;111;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"112";112;112;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"113";113;113;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"114";114;114;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
"115";115;115;"Relative.LOC.Churn.Progress";15;"haar";1;0;8
