"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";470;"haar";1;11004,7028356062;6
"2";2;"LOC";470;"haar";1;13507,8608410066;6
"3";3;"LOC";470;"haar";1;20291,1361929292;6
"4";4;"LOC";470;"haar";1;23183,2029279821;6
"5";5;"LOC";470;"haar";1;25619,892895951;6
"6";6;"LOC";470;"haar";1;28564,2855328118;6
"7";7;"LOC";470;"haar";1;29153,3054815402;6
"8";8;"LOC";470;"haar";1;29499,0806975404;6
"9";9;"LOC";470;"haar";1;29538,6786772868;6
"10";10;"LOC";470;"haar";1;29587,4690451887;6
"11";11;"LOC";470;"haar";1;29586,7619384075;6
"12";12;"LOC";470;"haar";1;29597,3685401253;6
"13";13;"LOC";470;"haar";1;29607,9751418431;6
"14";14;"LOC";470;"haar";1;30061,9376953649;6
"15";15;"LOC";470;"haar";1;30515,9002488866;6
"16";16;"LOC";470;"haar";1;30515,9002488866;6
"17";17;"LOC";470;"haar";1;30515,9002488866;6
"18";18;"LOC";470;"haar";1;30515,9002488866;6
"19";19;"LOC";470;"haar";1;30515,9002488866;6
"20";20;"LOC";470;"haar";1;31088,6567416477;6
"21";21;"LOC";470;"haar";1;31092,8993823349;6
"22";22;"LOC";470;"haar";1;31092,8993823349;6
"23";23;"LOC";470;"haar";1;31092,8993823349;6
"24";24;"LOC";470;"haar";1;31092,8993823349;6
"25";25;"LOC";470;"haar";1;31092,8993823349;6
"26";26;"LOC";470;"haar";1;31092,8993823349;6
"27";27;"LOC";470;"haar";1;31092,8993823349;6
"28";28;"LOC";470;"haar";1;31092,8993823349;6
"29";29;"LOC";470;"haar";1;31092,8993823349;6
"30";30;"LOC";470;"haar";1;31092,8993823349;6
"31";31;"LOC";470;"haar";1;31092,8993823349;6
"32";32;"LOC";470;"haar";1;31092,8993823349;6
"33";33;"LOC";470;"haar";1;31092,8993823349;6
"34";34;"LOC";470;"haar";1;31092,8993823349;6
"35";35;"LOC";470;"haar";1;31092,8993823349;6
"36";36;"LOC";470;"haar";1;31092,8993823349;6
"37";37;"LOC";470;"haar";1;31092,8993823349;6
"38";38;"LOC";470;"haar";1;31092,8993823349;6
"39";39;"LOC";470;"haar";1;31037,0379466211;6
"40";40;"LOC";470;"haar";1;26815,6104629374;6
"41";41;"LOC";470;"haar";1;22655,701269217;6
"42";42;"LOC";470;"haar";1;22655,701269217;6
"43";43;"LOC";470;"haar";1;22655,701269217;6
"44";44;"LOC";470;"haar";1;22655,701269217;6
"45";45;"LOC";470;"haar";1;22655,701269217;6
"46";46;"LOC";470;"haar";1;22655,701269217;6
"47";47;"LOC";470;"haar";1;22655,701269217;6
"48";48;"LOC";470;"haar";1;22664,1865505912;6
"49";49;"LOC";470;"haar";1;22664,1865505912;6
"50";50;"LOC";470;"haar";1;22739,139869397;6
"51";51;"LOC";470;"haar";1;22831,0637509512;6
"52";52;"LOC";470;"haar";1;22837,4277119819;6
"53";53;"LOC";470;"haar";1;22850,8627408245;6
"54";54;"LOC";470;"haar";1;22862,1764493235;6
"55";55;"LOC";470;"haar";1;23066,5303090864;6
"56";56;"LOC";470;"haar";1;23092,6932599903;6
"57";57;"LOC";470;"haar";1;23108,9567159576;6
"58";58;"LOC";470;"haar";1;23132,9983465179;6
"59";1;"LOC";470;"haar";2;17333;5
"60";2;"LOC";470;"haar";2;30741;5
"61";3;"LOC";470;"haar";2;38314;5
"62";4;"LOC";470;"haar";2;41473,5;5
"63";5;"LOC";470;"haar";2;41808,5;5
"64";6;"LOC";470;"haar";2;41849,5;5
"65";7;"LOC";470;"haar";2;42193;5
"66";8;"LOC";470;"haar";2;43156;5
"67";9;"LOC";470;"haar";2;43156;5
"68";10;"LOC";470;"haar";2;43561;5
"69";11;"LOC";470;"haar";2;43972;5
"70";12;"LOC";470;"haar";2;43972;5
"71";13;"LOC";470;"haar";2;43972;5
"72";14;"LOC";470;"haar";2;43972;5
"73";15;"LOC";470;"haar";2;43972;5
"74";16;"LOC";470;"haar";2;43972;5
"75";17;"LOC";470;"haar";2;43972;5
"76";18;"LOC";470;"haar";2;43972;5
"77";19;"LOC";470;"haar";2;43972;5
"78";20;"LOC";470;"haar";2;40908;5
"79";21;"LOC";470;"haar";2;32040;5
"80";22;"LOC";470;"haar";2;32040;5
"81";23;"LOC";470;"haar";2;32040;5
"82";24;"LOC";470;"haar";2;32046;5
"83";25;"LOC";470;"haar";2;32105;5
"84";26;"LOC";470;"haar";2;32292,5;5
"85";27;"LOC";470;"haar";2;32324;5
"86";28;"LOC";470;"haar";2;32639,5;5
"87";29;"LOC";470;"haar";2;32698;5
"88";1;"LOC";470;"haar";3;48829,258774837;4
"89";2;"LOC";470;"haar";3;58889,266950778;4
"90";3;"LOC";470;"haar";3;59427,0216578704;4
"91";4;"LOC";470;"haar";3;61031,8004977733;4
"92";5;"LOC";470;"haar";3;61895,1778776021;4
"93";6;"LOC";470;"haar";3;62185,7987646697;4
"94";7;"LOC";470;"haar";3;62185,7987646697;4
"95";8;"LOC";470;"haar";3;62185,7987646697;4
"96";9;"LOC";470;"haar";3;62185,7987646697;4
"97";10;"LOC";470;"haar";3;51582,0254739963;4
"98";11;"LOC";470;"haar";3;45311,402538434;4
"99";12;"LOC";470;"haar";3;45361,6071198982;4
"100";13;"LOC";470;"haar";3;45690,7653265405;4
"101";14;"LOC";470;"haar";3;46200,589315776;4
"102";1;"LOC";470;"haar";4;76168,5;3
