"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";282;"haar";1;0;7
"2";2;"LOC";282;"haar";1;-18203,7569748665;7
"3";3;"LOC";282;"haar";1;0;7
"4";4;"LOC";282;"haar";1;-1173,09014998849;7
"5";5;"LOC";282;"haar";1;0,707106781184848;7
"6";6;"LOC";282;"haar";1;0;7
"7";7;"LOC";282;"haar";1;-9902,32336373641;7
"8";8;"LOC";282;"haar";1;373,352380466495;7
"9";9;"LOC";282;"haar";1;711,349421873667;7
"10";10;"LOC";282;"haar";1;864,791593391143;7
"11";11;"LOC";282;"haar";1;764,382430462661;7
"12";12;"LOC";282;"haar";1;1209,85970261019;7
"13";13;"LOC";282;"haar";1;60,1040764008576;7
"14";14;"LOC";282;"haar";1;4174,75843612538;7
"15";15;"LOC";282;"haar";1;180,312229202573;7
"16";16;"LOC";282;"haar";1;3097,12770159708;7
"17";17;"LOC";282;"haar";1;1887,97510576808;7
"18";18;"LOC";282;"haar";1;144,956890143243;7
"19";19;"LOC";282;"haar";1;1094,60129727678;7
"20";20;"LOC";282;"haar";1;43,8406204335624;7
"21";21;"LOC";282;"haar";1;1414,92066915428;7
"22";22;"LOC";282;"haar";1;-381,837661840735;7
"23";23;"LOC";282;"haar";1;229,809703885629;7
"24";24;"LOC";282;"haar";1;595,383909759075;7
"25";25;"LOC";282;"haar";1;337,28993462598;7
"26";26;"LOC";282;"haar";1;174,655374953079;7
"27";27;"LOC";282;"haar";1;-111,01576464629;7
"28";28;"LOC";282;"haar";1;152,735064736298;7
"29";29;"LOC";282;"haar";1;2987,52615051316;7
"30";30;"LOC";282;"haar";1;1100,25815152626;7
"31";31;"LOC";282;"haar";1;1335,72470966139;7
"32";32;"LOC";282;"haar";1;0;7
"33";33;"LOC";282;"haar";1;523,259018078046;7
"34";34;"LOC";282;"haar";1;-471,640223051429;7
"35";35;"LOC";282;"haar";1;202,939646200539;7
"36";36;"LOC";282;"haar";1;34,6482322781449;7
"37";37;"LOC";282;"haar";1;2588,71792592396;7
"38";38;"LOC";282;"haar";1;14,8492424049182;7
"39";39;"LOC";282;"haar";1;977,928678380995;7
"40";40;"LOC";282;"haar";1;230,516810666813;7
"41";41;"LOC";282;"haar";1;224,85995641732;7
"42";42;"LOC";282;"haar";1;178,898015640196;7
"43";43;"LOC";282;"haar";1;-1102,37947186983;7
"44";44;"LOC";282;"haar";1;86,9741340859473;7
"45";45;"LOC";282;"haar";1;3,53553390593152;7
"46";46;"LOC";282;"haar";1;14,1421356237261;7
"47";47;"LOC";282;"haar";1;492,14631970584;7
"48";48;"LOC";282;"haar";1;1414,92066915428;7
"49";49;"LOC";282;"haar";1;-2,82842712474667;7
"50";50;"LOC";282;"haar";1;7,77817459305516;7
"51";51;"LOC";282;"haar";1;331,633080376494;7
"52";52;"LOC";282;"haar";1;302,641702347843;7
"53";53;"LOC";282;"haar";1;0;7
"54";54;"LOC";282;"haar";1;0;7
"55";55;"LOC";282;"haar";1;-1412,09224202954;7
"56";56;"LOC";282;"haar";1;-24,7487373415279;7
"57";57;"LOC";282;"haar";1;0;7
"58";58;"LOC";282;"haar";1;16,97056274848;7
"59";59;"LOC";282;"haar";1;0,707106781184848;7
"60";60;"LOC";282;"haar";1;0;7
"61";61;"LOC";282;"haar";1;5,65685424949334;7
"62";62;"LOC";282;"haar";1;32,526911934583;7
"63";63;"LOC";282;"haar";1;100,409162928489;7
"64";64;"LOC";282;"haar";1;4,94974746830849;7
"65";65;"LOC";282;"haar";1;5,65685424949334;7
"66";66;"LOC";282;"haar";1;41,012193308823;7
"67";67;"LOC";282;"haar";1;0;7
"68";1;"LOC";282;"haar";2;-2597,99999999999;6
"69";2;"LOC";282;"haar";2;-694;6
"70";3;"LOC";282;"haar";2;-7002;6
"71";4;"LOC";282;"haar";2;167;6
"72";5;"LOC";282;"haar";2;5479;6
"73";6;"LOC";282;"haar";2;1134,00000000001;6
"74";7;"LOC";282;"haar";2;8164,5;6
"75";8;"LOC";282;"haar";2;4111;6
"76";9;"LOC";282;"haar";2;1698,5;6
"77";10;"LOC";282;"haar";2;1231,5;6
"78";11;"LOC";282;"haar";2;-92,5000000000146;6
"79";12;"LOC";282;"haar";2;1399,5;6
"80";13;"LOC";282;"haar";2;355;6
"81";14;"LOC";282;"haar";2;2686,49999999999;6
