"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Active.Developers";382;"haar";1;0;4
"2";2;"Active.Developers";382;"haar";1;0;4
"3";3;"Active.Developers";382;"haar";1;0,00565685424949238;4
"4";4;"Active.Developers";382;"haar";1;0;4
"5";5;"Active.Developers";382;"haar";1;0;4
"6";6;"Active.Developers";382;"haar";1;0,00565685424949238;4
"7";7;"Active.Developers";382;"haar";1;0;4
"8";8;"Active.Developers";382;"haar";1;0;4
"9";9;"Active.Developers";382;"haar";1;0;4
"10";10;"Active.Developers";382;"haar";1;0;4
"11";11;"Active.Developers";382;"haar";1;0;4
"12";12;"Active.Developers";382;"haar";1;0,00565685424949238;4
"13";13;"Active.Developers";382;"haar";1;0;4
"14";14;"Active.Developers";382;"haar";1;0,00353553390593274;4
"15";15;"Active.Developers";382;"haar";1;0,0145154528684568;4
"16";1;"Active.Developers";382;"haar";2;0,004;3
"17";2;"Active.Developers";382;"haar";2;0;3
"18";3;"Active.Developers";382;"haar";2;0,004;3
"19";4;"Active.Developers";382;"haar";2;0;3
"20";5;"Active.Developers";382;"haar";2;0;3
"21";6;"Active.Developers";382;"haar";2;0,004;3
"22";7;"Active.Developers";382;"haar";2;0,0127639751552795;3
"23";1;"Active.Developers";382;"haar";3;0,00282842712474619;2
"24";2;"Active.Developers";382;"haar";3;0;2
"25";3;"Active.Developers";382;"haar";3;0,0118539205119409;2
