Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Active.Developers;17;5;2;17;6;7;4;3,330669e-16;0,002651650-0,003181981-0,003712311-0,003181981;0,7071068;0,00159099
Cumulative.LOC.Churn;Active.Developers;17;5;2;17;6;7;5;3,330669e-16;0,002651650-0,003181981-0,003712311-0,003181981-0,003181981;0,7071068;0,00159099
Cumulative.LOC.Churn;Active.Developers;17;5;2;17;6;29;4;2,220446e-16;0,002651650-0,003181981-0,003712311-0,003181981;2,12132;0,00212132
Cumulative.LOC.Churn;Active.Developers;17;5;3;17;6;8;4;1,110223e-16;0,003181981-0,003712311-0,003181981-0,003181981;0,7071068;0,00159099
Cumulative.LOC.Churn;Active.Developers;17;5;3;17;6;25;4;2,220446e-16;0,003181981-0,003712311-0,003181981-0,003181981;1,06066;0,00212132
Cumulative.LOC.Churn;Active.Developers;17;5;3;121;6;13;4;2,220446e-16;0,003181981-0,003712311-0,003181981-0,003181981;0,25;0,00212132
Cumulative.LOC.Churn;Active.Developers;17;5;2;344;5;12;4;2,220446e-16;0,002651650-0,003181981-0,003712311-0,003181981;1,06066;0,00106066
Cumulative.LOC.Churn;Active.Developers;17;5;2;344;6;13;4;2,220446e-16;0,002651650-0,003181981-0,003712311-0,003181981;0,75;0,00159099
Cumulative.LOC.Churn;Active.Developers;17;5;2;344;6;21;4;NaN;0,002651650-0,003181981-0,003712311-0,003181981;0,75;0,00265165
Cumulative.LOC.Churn;Active.Developers;17;5;2;344;6;21;5;NaN;0,002651650-0,003181981-0,003712311-0,003181981-0,003181981;0,75;0,00265165
Cumulative.LOC.Churn;Active.Developers;17;5;3;344;6;22;4;3,330669e-16;0,003181981-0,003712311-0,003181981-0,003181981;0,75;0,00265165
Cumulative.LOC.Churn;Active.Developers;17;5;10;344;6;9;4;2,542411e-14;0,0010606602-0,0014142136-0,0007071068-0,0017677670;0,25;0,0005303301
Cumulative.LOC.Churn;Active.Developers;17;5;10;344;6;9;5;2,542411e-14;0,0010606602-0,0014142136-0,0007071068-0,0017677670-0,0008838835;0,25;0,0005303301
Cumulative.LOC.Churn;Active.Developers;17;5;11;344;6;10;4;7,993606e-15;0,0014142136-0,0007071068-0,0017677670-0,0008838835;0,25;0,0005303301
Cumulative.LOC.Churn;Active.Developers;17;5;10;368;6;19;4;1,010303e-14;0,0010606602-0,0014142136-0,0007071068-0,0017677670;1;-0,0007071068
Cumulative.LOC.Churn;Active.Developers;17;5;4;369;4;5;4;8,881784e-16;0,003712311-0,003181981-0,003181981-0,003712311;0,265165;0,002916815
Cumulative.LOC.Churn;Active.Developers;17;5;2;369;5;14;4;NaN;0,002651650-0,003181981-0,003712311-0,003181981;0,375;0,00265165
Cumulative.LOC.Churn;Active.Developers;17;5;2;369;5;14;5;NaN;0,002651650-0,003181981-0,003712311-0,003181981-0,003181981;0,375;0,00265165
Cumulative.LOC.Churn;Active.Developers;17;5;3;369;5;15;4;2,220446e-16;0,003181981-0,003712311-0,003181981-0,003181981;0,375;0,00265165
Cumulative.LOC.Churn;Active.Developers;17;5;3;371;5;15;4;8,881784e-16;0,003181981-0,003712311-0,003181981-0,003181981;0,265165;0,002916815
Cumulative.LOC.Churn;Active.Developers;17;5;2;385;6;4;4;1,998401e-15;0,002651650-0,003181981-0,003712311-0,003181981;0,375;0,002386485
Cumulative.LOC.Churn;Active.Developers;17;5;4;385;6;11;4;3,330669e-16;0,003712311-0,003181981-0,003181981-0,003712311;0,75;0,00212132
Cumulative.LOC.Churn;Active.Developers;17;5;3;378;6;37;4;0;0,003181981-0,003712311-0,003181981-0,003181981;0,4615385;0,00159099
Cumulative.LOC.Churn;Active.Developers;17;6;7;17;5;2;4;3,330669e-16;0,00150-0,00225-0,00300-0,00225;1,414214;-0,00225
Cumulative.LOC.Churn;Active.Developers;17;6;7;17;5;2;5;3,330669e-16;0,00150-0,00225-0,00300-0,00225-0,00225;1,414214;-0,00225
Cumulative.LOC.Churn;Active.Developers;17;6;8;17;5;3;4;1,110223e-16;0,00225-0,00300-0,00225-0,00225;1,414214;-0,00225
Cumulative.LOC.Churn;Active.Developers;17;6;25;17;5;3;4;2,220446e-16;0,0010-0,0015-0,0010-0,0010;0,942809;-0,002
Cumulative.LOC.Churn;Active.Developers;17;6;29;17;5;2;4;2,220446e-16;0,00025-0,00050-0,00075-0,00050;0,4714045;-0,001
Cumulative.LOC.Churn;Active.Developers;17;6;7;17;6;29;4;2,220446e-16;0,00150-0,00225-0,00300-0,00225;3;0,00075
Cumulative.LOC.Churn;Active.Developers;17;6;8;17;6;25;4;0;0,00225-0,00300-0,00225-0,00225;1,5;0,00075
Cumulative.LOC.Churn;Active.Developers;17;6;19;18;5;17;4;8,881784e-16;1e-03-5e-04-1e-03-1e-03;0,6666667;-0,003
Cumulative.LOC.Churn;Active.Developers;17;6;9;18;6;16;4;1,776357e-15;0,00300-0,00225-0,00225-0,00225;0,1414214;0,002
Cumulative.LOC.Churn;Active.Developers;17;6;8;121;6;13;4;2,220446e-16;0,00225-0,00300-0,00225-0,00225;0,3535534;0,00075
Cumulative.LOC.Churn;Active.Developers;17;6;25;121;6;13;4;0;0,0010-0,0015-0,0010-0,0010;0,2357023;4,98733e-18
Cumulative.LOC.Churn;Active.Developers;17;6;9;163;6;39;4;6,661338e-16;0,00300-0,00225-0,00225-0,00225;0,106066;0,002175
Cumulative.LOC.Churn;Active.Developers;17;6;7;344;5;12;4;2,220446e-16;0,00150-0,00225-0,00300-0,00225;1,5;-0,00075
Cumulative.LOC.Churn;Active.Developers;17;6;23;344;5;10;4;NaN;0,0010-0,0000-0,0010-0,0015;1;-5e-04
Cumulative.LOC.Churn;Active.Developers;17;6;29;344;5;12;4;0;0,00025-0,00050-0,00075-0,00050;0,5;-5e-04
Cumulative.LOC.Churn;Active.Developers;17;6;7;344;6;13;4;2,220446e-16;0,00150-0,00225-0,00300-0,00225;1,06066;1,040834e-17
Cumulative.LOC.Churn;Active.Developers;17;6;7;344;6;21;4;NaN;0,00150-0,00225-0,00300-0,00225;1,06066;0,0015
Cumulative.LOC.Churn;Active.Developers;17;6;7;344;6;21;5;NaN;0,00150-0,00225-0,00300-0,00225-0,00225;1,06066;0,0015
Cumulative.LOC.Churn;Active.Developers;17;6;8;344;6;22;4;1,110223e-16;0,00225-0,00300-0,00225-0,00225;1,06066;0,0015
Cumulative.LOC.Churn;Active.Developers;17;6;9;344;6;16;4;0;0,00300-0,00225-0,00225-0,00225;1,06066;0,00075
Cumulative.LOC.Churn;Active.Developers;17;6;9;344;6;27;4;0;0,00300-0,00225-0,00225-0,00225;1,06066;0,00075
Cumulative.LOC.Churn;Active.Developers;17;6;25;344;6;22;4;1,110223e-16;0,0010-0,0015-0,0010-0,0010;0,7071068;5e-04
Cumulative.LOC.Churn;Active.Developers;17;6;29;344;6;13;4;2,220446e-16;0,00025-0,00050-0,00075-0,00050;0,3535534;-0,00025
Cumulative.LOC.Churn;Active.Developers;17;6;29;344;6;21;4;NaN;0,00025-0,00050-0,00075-0,00050;0,3535534;0,00025
