"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Added";360;"haar";1;0,936239256042307;8
"2";2;"Commit.LOC.Added";360;"haar";1;0,345775216000222;8
"3";3;"Commit.LOC.Added";360;"haar";1;0,486489465456345;8
"4";4;"Commit.LOC.Added";360;"haar";1;0;8
"5";5;"Commit.LOC.Added";360;"haar";1;0;8
"6";6;"Commit.LOC.Added";360;"haar";1;0;8
"7";7;"Commit.LOC.Added";360;"haar";1;0;8
"8";8;"Commit.LOC.Added";360;"haar";1;2,365272183069;8
"9";9;"Commit.LOC.Added";360;"haar";1;0;8
"10";10;"Commit.LOC.Added";360;"haar";1;0;8
"11";11;"Commit.LOC.Added";360;"haar";1;0;8
"12";12;"Commit.LOC.Added";360;"haar";1;0;8
"13";13;"Commit.LOC.Added";360;"haar";1;0;8
"14";14;"Commit.LOC.Added";360;"haar";1;2,73650324319194;8
"15";15;"Commit.LOC.Added";360;"haar";1;0;8
"16";16;"Commit.LOC.Added";360;"haar";1;0;8
"17";17;"Commit.LOC.Added";360;"haar";1;1,18228253814391;8
"18";18;"Commit.LOC.Added";360;"haar";1;0;8
"19";19;"Commit.LOC.Added";360;"haar";1;1,06985255993525;8
"20";20;"Commit.LOC.Added";360;"haar";1;0,457498087427696;8
"21";21;"Commit.LOC.Added";360;"haar";1;0,459619407771256;8
"22";22;"Commit.LOC.Added";360;"haar";1;0,57558491988585;8
"23";23;"Commit.LOC.Added";360;"haar";1;0,528915872327537;8
"24";24;"Commit.LOC.Added";360;"haar";1;0,311834090503267;8
"25";25;"Commit.LOC.Added";360;"haar";1;0,789131167804187;8
"26";26;"Commit.LOC.Added";360;"haar";1;0,301934595566656;8
"27";27;"Commit.LOC.Added";360;"haar";1;0;8
"28";28;"Commit.LOC.Added";360;"haar";1;0;8
"29";29;"Commit.LOC.Added";360;"haar";1;0,357088924499206;8
"30";30;"Commit.LOC.Added";360;"haar";1;0,445477272147525;8
"31";31;"Commit.LOC.Added";360;"haar";1;0,126572113832392;8
"32";32;"Commit.LOC.Added";360;"haar";1;0,113137084989848;8
"33";33;"Commit.LOC.Added";360;"haar";1;0,113137084989848;8
"34";34;"Commit.LOC.Added";360;"haar";1;0,113137084989848;8
"35";35;"Commit.LOC.Added";360;"haar";1;0,113137084989848;8
"36";36;"Commit.LOC.Added";360;"haar";1;0,114551298552221;8
"37";37;"Commit.LOC.Added";360;"haar";1;0,115965512114594;8
"38";38;"Commit.LOC.Added";360;"haar";1;0,47517575695736;8
"39";39;"Commit.LOC.Added";360;"haar";1;0,35638181771802;8
"40";40;"Commit.LOC.Added";360;"haar";1;0;8
"41";41;"Commit.LOC.Added";360;"haar";1;0;8
"42";42;"Commit.LOC.Added";360;"haar";1;0;8
"43";43;"Commit.LOC.Added";360;"haar";1;1,93747258045114;8
"44";44;"Commit.LOC.Added";360;"haar";1;0;8
"45";45;"Commit.LOC.Added";360;"haar";1;0;8
"46";46;"Commit.LOC.Added";360;"haar";1;0;8
"47";47;"Commit.LOC.Added";360;"haar";1;0;8
"48";48;"Commit.LOC.Added";360;"haar";1;2,28183358288899;8
"49";49;"Commit.LOC.Added";360;"haar";1;0,236880771697493;8
"50";50;"Commit.LOC.Added";360;"haar";1;0,451134126397017;8
"51";51;"Commit.LOC.Added";360;"haar";1;0,498510280736516;8
"52";52;"Commit.LOC.Added";360;"haar";1;0;8
"53";53;"Commit.LOC.Added";360;"haar";1;0,997020561473032;8
"54";54;"Commit.LOC.Added";360;"haar";1;0,388201622871415;8
"55";55;"Commit.LOC.Added";360;"haar";1;0,531037192671097;8
"56";56;"Commit.LOC.Added";360;"haar";1;0;8
"57";57;"Commit.LOC.Added";360;"haar";1;0,538815367264149;8
"58";58;"Commit.LOC.Added";360;"haar";1;0,84994235098623;8
"59";59;"Commit.LOC.Added";360;"haar";1;0,444770165366338;8
"60";60;"Commit.LOC.Added";360;"haar";1;0,507702668891941;8
"61";61;"Commit.LOC.Added";360;"haar";1;0,260922402257836;8
"62";62;"Commit.LOC.Added";360;"haar";1;0,704985460842988;8
"63";63;"Commit.LOC.Added";360;"haar";1;0,200111219075793;8
"64";64;"Commit.LOC.Added";360;"haar";1;0,306884343034962;8
"65";65;"Commit.LOC.Added";360;"haar";1;0,689429111656884;8
"66";66;"Commit.LOC.Added";360;"haar";1;0,576292026667036;8
"67";67;"Commit.LOC.Added";360;"haar";1;0,57134227919873;8
"68";68;"Commit.LOC.Added";360;"haar";1;0,383251875403109;8
"69";69;"Commit.LOC.Added";360;"haar";1;0,394565583902094;8
"70";70;"Commit.LOC.Added";360;"haar";1;0,651952452253997;8
"71";71;"Commit.LOC.Added";360;"haar";1;0,398101117808026;8
"72";72;"Commit.LOC.Added";360;"haar";1;0,486489465456345;8
"73";73;"Commit.LOC.Added";360;"haar";1;0,360094128319249;8
"74";74;"Commit.LOC.Added";360;"haar";1;0;8
"75";75;"Commit.LOC.Added";360;"haar";1;0;8
"76";76;"Commit.LOC.Added";360;"haar";1;1,01611244456507;8
"77";77;"Commit.LOC.Added";360;"haar";1;0;8
"78";78;"Commit.LOC.Added";360;"haar";1;1,06843834637287;8
"79";79;"Commit.LOC.Added";360;"haar";1;0,521844804515672;8
"80";80;"Commit.LOC.Added";360;"haar";1;0,628617928474841;8
"81";81;"Commit.LOC.Added";360;"haar";1;0,391030049996161;8
"82";82;"Commit.LOC.Added";360;"haar";1;0,51618795026618;8
"83";83;"Commit.LOC.Added";360;"haar";1;0,556493036793813;8
"84";84;"Commit.LOC.Added";360;"haar";1;0,149906637611548;8
"85";85;"Commit.LOC.Added";360;"haar";1;0,427092495836675;8
"86";86;"Commit.LOC.Added";360;"haar";1;0,313248304065641;8
"87";87;"Commit.LOC.Added";360;"haar";1;0,486489465456345;8
"88";88;"Commit.LOC.Added";360;"haar";1;0,640285190364419;8
"89";89;"Commit.LOC.Added";360;"haar";1;0,327390439689371;8
"90";90;"Commit.LOC.Added";360;"haar";1;0,265165042944955;8
"91";91;"Commit.LOC.Added";360;"haar";1;0,678822509939086;8
"92";92;"Commit.LOC.Added";360;"haar";1;0;8
"93";93;"Commit.LOC.Added";360;"haar";1;0,762261110119098;8
"94";94;"Commit.LOC.Added";360;"haar";1;0,527501658765164;8
"95";95;"Commit.LOC.Added";360;"haar";1;0,714884955779599;8
"96";96;"Commit.LOC.Added";360;"haar";1;0;8
"97";97;"Commit.LOC.Added";360;"haar";1;0,879640835796065;8
"98";98;"Commit.LOC.Added";360;"haar";1;0;8
"99";99;"Commit.LOC.Added";360;"haar";1;0,945401766446414;8
"100";100;"Commit.LOC.Added";360;"haar";1;0,421435641587182;8
"101";101;"Commit.LOC.Added";360;"haar";1;0,576292026667036;8
"102";102;"Commit.LOC.Added";360;"haar";1;0;8
"103";103;"Commit.LOC.Added";360;"haar";1;0,757311362650792;8
"104";104;"Commit.LOC.Added";360;"haar";1;0,688722004875697;8
"105";105;"Commit.LOC.Added";360;"haar";1;0;8
"106";106;"Commit.LOC.Added";360;"haar";1;0,640638743755012;8
"107";107;"Commit.LOC.Added";360;"haar";1;0,684479364188578;8
"108";108;"Commit.LOC.Added";360;"haar";1;0,338704148188356;8
"109";109;"Commit.LOC.Added";360;"haar";1;0,583363094478902;8
"110";110;"Commit.LOC.Added";360;"haar";1;0;8
"111";111;"Commit.LOC.Added";360;"haar";1;0;8
"112";112;"Commit.LOC.Added";360;"haar";1;1,35057395206631;8
"113";113;"Commit.LOC.Added";360;"haar";1;0;8
"114";114;"Commit.LOC.Added";360;"haar";1;0;8
"115";115;"Commit.LOC.Added";360;"haar";1;1,5033090168026;8
"116";116;"Commit.LOC.Added";360;"haar";1;0,405172185619892;8
"117";117;"Commit.LOC.Added";360;"haar";1;0,371231060122937;8
"118";118;"Commit.LOC.Added";360;"haar";1;0,617304219975856;8
"119";119;"Commit.LOC.Added";360;"haar";1;0,530330085889911;8
"120";120;"Commit.LOC.Added";360;"haar";1;0,0678822509939086;8
"121";121;"Commit.LOC.Added";360;"haar";1;0,127279220613579;8
"122";122;"Commit.LOC.Added";360;"haar";1;0,427799602617861;8
"123";123;"Commit.LOC.Added";360;"haar";1;0,319612265096319;8
"124";124;"Commit.LOC.Added";360;"haar";1;0,61235447250755;8
"125";125;"Commit.LOC.Added";360;"haar";1;0,511238202797874;8
"126";126;"Commit.LOC.Added";360;"haar";1;0,352846283812087;8
"127";127;"Commit.LOC.Added";360;"haar";1;0,442648845022779;8
"128";128;"Commit.LOC.Added";360;"haar";1;0;8
"129";129;"Commit.LOC.Added";360;"haar";1;0;8
"130";130;"Commit.LOC.Added";360;"haar";1;0,465276262020748;8
"131";131;"Commit.LOC.Added";360;"haar";1;0,541643794388895;8
"132";132;"Commit.LOC.Added";360;"haar";1;0;8
"133";133;"Commit.LOC.Added";360;"haar";1;0,512652416360247;8
"134";134;"Commit.LOC.Added";360;"haar";1;0,51194530957906;8
