Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Commit.LOC.Added;15;4;1;139;4;2;4;0,002936586;3,26150-1,93725-4,12475-2,80100;0,170603;-1,133512
Cumulative.LOC.Churn;Commit.LOC.Added;15;6;40;371;4;5;4;0,0009715167;1,00375-0,53100-1,54500-0,89650;1,771045;-1,568511
Cumulative.LOC.Churn;Commit.LOC.Added;15;6;15;385;5;2;4;0,000780803;1,2535-1,0895-1,7410-1,5180;1,306773;-1,198986
Cumulative.LOC.Churn;Commit.LOC.Added;17;6;14;138;6;33;4;0,002489714;3,93350-3,99900-3,79750-4,56125;1,283403;-8,788718
Cumulative.LOC.Churn;Commit.LOC.Added;18;5;3;18;6;23;4;0,003662941;4,29000-3,32125-4,63800-3,84400;1,545425;-0,2690807
Cumulative.LOC.Churn;Commit.LOC.Added;18;5;15;378;6;4;4;0,002301934;3,943250-4,033000-3,741750-4,059625;0,2505318;2,76421
Cumulative.LOC.Churn;Commit.LOC.Added;18;6;23;18;5;3;4;0,003662941;2,950049-2,323199-3,186223-2,656247;0,6470711;0,1741143
Cumulative.LOC.Churn;Commit.LOC.Added;18;6;30;140;5;17;4;0,003569247;2,609578-2,967020-2,854237-2,849287;0,1275861;1,548761
Cumulative.LOC.Churn;Commit.LOC.Added;18;6;28;170;5;4;4;0,002695738;2,592961-3,258348-2,609578-2,967020;1,076532;-3,255864
Cumulative.LOC.Churn;Commit.LOC.Added;18;6;29;170;5;5;4;0,004724546;3,258348-2,609578-2,967020-2,854237;1,07149;-3,225355
Cumulative.LOC.Churn;Commit.LOC.Added;126;5;16;147;5;1;4;0,004006293;8,705240-7,504209-5,791247-8,906201;1,922756;1,176999
Cumulative.LOC.Churn;Commit.LOC.Added;126;6;1;139;6;7;4;0,004808541;10,205000- 6,471529- 6,729366- 5,405154;0,4508397;0,03793454
Cumulative.LOC.Churn;Commit.LOC.Added;126;6;1;139;6;7;5;0,004808541;10,205000- 6,471529- 6,729366- 5,405154- 4,770224;0,4508397;0,03793454
Cumulative.LOC.Churn;Commit.LOC.Added;137;6;5;368;6;13;4;0,003186712;2,172725-2,298807-2,562000-2,350687;0,5563389;0,7822845
Cumulative.LOC.Churn;Commit.LOC.Added;140;5;2;169;6;49;4;0,003567451;9,644141-7,792494-6,351042-7,541618;0,4077957;5,106369
Cumulative.LOC.Churn;Commit.LOC.Added;149;3;1;168;6;19;4;0,001764462;4,995125-4,057146-4,236547-4,558300;0,6611016;1,518061
Cumulative.LOC.Churn;Commit.LOC.Added;170;5;1;344;5;13;4;0,003630901;6,373000-4,616958-5,575125-5,433025;1,235561;0,626095
Cumulative.LOC.Churn;Commit.LOC.Added;170;5;23;378;6;2;4;0,003720322;6,402012-4,625138-5,642537-6,087925;1,210516;-0,03334149
Cumulative.LOC.Churn;Commit.LOC.Added;170;6;12;344;6;33;4;0,004529783;3,977741-3,723536-3,987022-4,177322;0,08782216;3,638335
Cumulative.LOC.Churn;Commit.LOC.Added;170;6;29;378;4;8;4;0,004780536;3,336749-3,489999-3,236914-3,520160;0,4074096;-0,1986938
Cumulative.LOC.Churn;Commit.LOC.Added;344;5;1;367;4;8;4;0,00398718;3,89550-3,44825-4,60050-3,73125;0,8593845;2,499059
Cumulative.LOC.Churn;Commit.LOC.Added;368;4;4;378;5;20;4;0,004464634;5,266089-5,790939-5,768224-5,766279;0,5851375;2,012561
Cumulative.LOC.Churn;Commit.LOC.Added;368;6;32;378;4;4;4;0,003712234;2,947398-2,786531-2,543640-4,523053;1,316416;-7,945676
Cumulative.LOC.Churn;Commit.LOC.Added;385;6;7;378;4;6;4;0,00422281;0,9611349-1,8236284-1,3572915-1,5726055;0,5720022;-3,600731
Cumulative.LOC.Churn;Commit.LOC.Added;378;3;1;378;6;43;4;0,003149613;12,66492-10,80384-11,40411-12,84174;9,823086;-32,6736
Cumulative.LOC.Churn;Commit.LOC.Added;378;6;43;378;3;1;4;0,003149613;4,615507-4,426047-4,483499-4,629516;0,101801;3,326205
