"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Modified";359;"haar";1;0;12
"2";2;"Commit.LOC.Modified";359;"haar";1;0;12
"3";3;"Commit.LOC.Modified";359;"haar";1;0;12
"4";4;"Commit.LOC.Modified";359;"haar";1;0;12
"5";5;"Commit.LOC.Modified";359;"haar";1;0;12
"6";6;"Commit.LOC.Modified";359;"haar";1;0;12
"7";7;"Commit.LOC.Modified";359;"haar";1;0;12
"8";8;"Commit.LOC.Modified";359;"haar";1;0;12
"9";9;"Commit.LOC.Modified";359;"haar";1;0;12
"10";10;"Commit.LOC.Modified";359;"haar";1;0;12
"11";11;"Commit.LOC.Modified";359;"haar";1;0;12
"12";12;"Commit.LOC.Modified";359;"haar";1;0;12
"13";13;"Commit.LOC.Modified";359;"haar";1;0;12
"14";14;"Commit.LOC.Modified";359;"haar";1;0;12
"15";15;"Commit.LOC.Modified";359;"haar";1;0;12
"16";16;"Commit.LOC.Modified";359;"haar";1;0;12
"17";17;"Commit.LOC.Modified";359;"haar";1;0;12
"18";18;"Commit.LOC.Modified";359;"haar";1;0;12
"19";19;"Commit.LOC.Modified";359;"haar";1;0;12
"20";20;"Commit.LOC.Modified";359;"haar";1;0;12
"21";21;"Commit.LOC.Modified";359;"haar";1;0;12
"22";22;"Commit.LOC.Modified";359;"haar";1;0;12
"23";23;"Commit.LOC.Modified";359;"haar";1;0;12
"24";24;"Commit.LOC.Modified";359;"haar";1;0;12
"25";25;"Commit.LOC.Modified";359;"haar";1;0;12
"26";26;"Commit.LOC.Modified";359;"haar";1;0;12
"27";27;"Commit.LOC.Modified";359;"haar";1;0;12
"28";28;"Commit.LOC.Modified";359;"haar";1;0;12
"29";29;"Commit.LOC.Modified";359;"haar";1;0;12
"30";30;"Commit.LOC.Modified";359;"haar";1;0;12
"31";31;"Commit.LOC.Modified";359;"haar";1;0;12
"32";32;"Commit.LOC.Modified";359;"haar";1;0;12
"33";33;"Commit.LOC.Modified";359;"haar";1;0;12
"34";34;"Commit.LOC.Modified";359;"haar";1;0;12
"35";35;"Commit.LOC.Modified";359;"haar";1;0;12
"36";36;"Commit.LOC.Modified";359;"haar";1;0;12
"37";37;"Commit.LOC.Modified";359;"haar";1;0;12
"38";38;"Commit.LOC.Modified";359;"haar";1;0;12
"39";39;"Commit.LOC.Modified";359;"haar";1;0;12
"40";40;"Commit.LOC.Modified";359;"haar";1;0;12
"41";41;"Commit.LOC.Modified";359;"haar";1;0;12
"42";42;"Commit.LOC.Modified";359;"haar";1;0;12
"43";43;"Commit.LOC.Modified";359;"haar";1;0;12
"44";44;"Commit.LOC.Modified";359;"haar";1;0;12
"45";45;"Commit.LOC.Modified";359;"haar";1;0;12
"46";46;"Commit.LOC.Modified";359;"haar";1;0;12
"47";47;"Commit.LOC.Modified";359;"haar";1;0;12
"48";48;"Commit.LOC.Modified";359;"haar";1;0;12
"49";49;"Commit.LOC.Modified";359;"haar";1;0;12
"50";50;"Commit.LOC.Modified";359;"haar";1;0;12
"51";51;"Commit.LOC.Modified";359;"haar";1;0;12
"52";52;"Commit.LOC.Modified";359;"haar";1;0;12
"53";53;"Commit.LOC.Modified";359;"haar";1;0;12
"54";54;"Commit.LOC.Modified";359;"haar";1;0;12
"55";55;"Commit.LOC.Modified";359;"haar";1;0;12
"56";56;"Commit.LOC.Modified";359;"haar";1;0;12
"57";57;"Commit.LOC.Modified";359;"haar";1;0;12
"58";58;"Commit.LOC.Modified";359;"haar";1;0;12
"59";59;"Commit.LOC.Modified";359;"haar";1;0;12
"60";60;"Commit.LOC.Modified";359;"haar";1;0;12
"61";61;"Commit.LOC.Modified";359;"haar";1;0;12
"62";62;"Commit.LOC.Modified";359;"haar";1;0;12
"63";63;"Commit.LOC.Modified";359;"haar";1;0;12
"64";64;"Commit.LOC.Modified";359;"haar";1;0;12
"65";65;"Commit.LOC.Modified";359;"haar";1;0;12
"66";66;"Commit.LOC.Modified";359;"haar";1;0;12
"67";67;"Commit.LOC.Modified";359;"haar";1;0;12
"68";68;"Commit.LOC.Modified";359;"haar";1;0;12
"69";69;"Commit.LOC.Modified";359;"haar";1;0;12
"70";70;"Commit.LOC.Modified";359;"haar";1;0;12
"71";71;"Commit.LOC.Modified";359;"haar";1;0;12
"72";72;"Commit.LOC.Modified";359;"haar";1;0;12
"73";73;"Commit.LOC.Modified";359;"haar";1;0;12
"74";74;"Commit.LOC.Modified";359;"haar";1;0;12
"75";75;"Commit.LOC.Modified";359;"haar";1;0;12
"76";76;"Commit.LOC.Modified";359;"haar";1;0;12
"77";77;"Commit.LOC.Modified";359;"haar";1;0;12
"78";78;"Commit.LOC.Modified";359;"haar";1;0;12
"79";79;"Commit.LOC.Modified";359;"haar";1;0;12
"80";80;"Commit.LOC.Modified";359;"haar";1;0;12
"81";81;"Commit.LOC.Modified";359;"haar";1;0;12
"82";82;"Commit.LOC.Modified";359;"haar";1;0;12
"83";83;"Commit.LOC.Modified";359;"haar";1;0;12
"84";84;"Commit.LOC.Modified";359;"haar";1;0;12
"85";85;"Commit.LOC.Modified";359;"haar";1;0;12
"86";86;"Commit.LOC.Modified";359;"haar";1;0;12
"87";87;"Commit.LOC.Modified";359;"haar";1;0;12
"88";88;"Commit.LOC.Modified";359;"haar";1;0;12
"89";89;"Commit.LOC.Modified";359;"haar";1;0;12
"90";90;"Commit.LOC.Modified";359;"haar";1;0;12
"91";91;"Commit.LOC.Modified";359;"haar";1;0;12
"92";92;"Commit.LOC.Modified";359;"haar";1;0;12
"93";93;"Commit.LOC.Modified";359;"haar";1;0;12
"94";94;"Commit.LOC.Modified";359;"haar";1;0;12
"95";95;"Commit.LOC.Modified";359;"haar";1;0;12
"96";96;"Commit.LOC.Modified";359;"haar";1;0;12
"97";97;"Commit.LOC.Modified";359;"haar";1;0;12
"98";98;"Commit.LOC.Modified";359;"haar";1;0;12
"99";99;"Commit.LOC.Modified";359;"haar";1;0;12
"100";100;"Commit.LOC.Modified";359;"haar";1;0;12
"101";101;"Commit.LOC.Modified";359;"haar";1;0;12
"102";102;"Commit.LOC.Modified";359;"haar";1;0;12
"103";103;"Commit.LOC.Modified";359;"haar";1;0;12
"104";104;"Commit.LOC.Modified";359;"haar";1;0;12
"105";105;"Commit.LOC.Modified";359;"haar";1;0;12
"106";106;"Commit.LOC.Modified";359;"haar";1;0;12
"107";107;"Commit.LOC.Modified";359;"haar";1;0;12
"108";108;"Commit.LOC.Modified";359;"haar";1;0;12
"109";109;"Commit.LOC.Modified";359;"haar";1;0;12
"110";110;"Commit.LOC.Modified";359;"haar";1;0;12
"111";111;"Commit.LOC.Modified";359;"haar";1;0;12
"112";112;"Commit.LOC.Modified";359;"haar";1;0;12
"113";113;"Commit.LOC.Modified";359;"haar";1;0;12
"114";114;"Commit.LOC.Modified";359;"haar";1;0;12
"115";115;"Commit.LOC.Modified";359;"haar";1;0;12
"116";116;"Commit.LOC.Modified";359;"haar";1;0;12
"117";117;"Commit.LOC.Modified";359;"haar";1;0;12
"118";118;"Commit.LOC.Modified";359;"haar";1;0;12
"119";119;"Commit.LOC.Modified";359;"haar";1;0;12
"120";120;"Commit.LOC.Modified";359;"haar";1;0;12
"121";121;"Commit.LOC.Modified";359;"haar";1;0;12
"122";122;"Commit.LOC.Modified";359;"haar";1;0;12
"123";123;"Commit.LOC.Modified";359;"haar";1;0;12
"124";124;"Commit.LOC.Modified";359;"haar";1;0;12
"125";125;"Commit.LOC.Modified";359;"haar";1;0;12
"126";126;"Commit.LOC.Modified";359;"haar";1;0;12
"127";127;"Commit.LOC.Modified";359;"haar";1;0;12
"128";128;"Commit.LOC.Modified";359;"haar";1;0;12
"129";129;"Commit.LOC.Modified";359;"haar";1;0;12
"130";130;"Commit.LOC.Modified";359;"haar";1;0;12
"131";131;"Commit.LOC.Modified";359;"haar";1;0;12
"132";132;"Commit.LOC.Modified";359;"haar";1;0;12
"133";133;"Commit.LOC.Modified";359;"haar";1;0;12
"134";134;"Commit.LOC.Modified";359;"haar";1;0;12
"135";135;"Commit.LOC.Modified";359;"haar";1;0;12
"136";136;"Commit.LOC.Modified";359;"haar";1;0;12
"137";137;"Commit.LOC.Modified";359;"haar";1;0;12
"138";138;"Commit.LOC.Modified";359;"haar";1;0;12
"139";139;"Commit.LOC.Modified";359;"haar";1;0;12
"140";140;"Commit.LOC.Modified";359;"haar";1;0;12
"141";141;"Commit.LOC.Modified";359;"haar";1;0;12
"142";142;"Commit.LOC.Modified";359;"haar";1;0;12
"143";143;"Commit.LOC.Modified";359;"haar";1;0;12
"144";144;"Commit.LOC.Modified";359;"haar";1;0;12
"145";145;"Commit.LOC.Modified";359;"haar";1;0;12
"146";146;"Commit.LOC.Modified";359;"haar";1;0;12
"147";147;"Commit.LOC.Modified";359;"haar";1;0;12
"148";148;"Commit.LOC.Modified";359;"haar";1;0;12
"149";149;"Commit.LOC.Modified";359;"haar";1;0;12
"150";150;"Commit.LOC.Modified";359;"haar";1;0;12
"151";151;"Commit.LOC.Modified";359;"haar";1;0;12
"152";152;"Commit.LOC.Modified";359;"haar";1;0;12
"153";153;"Commit.LOC.Modified";359;"haar";1;0;12
"154";154;"Commit.LOC.Modified";359;"haar";1;0;12
"155";155;"Commit.LOC.Modified";359;"haar";1;0;12
"156";156;"Commit.LOC.Modified";359;"haar";1;0;12
"157";157;"Commit.LOC.Modified";359;"haar";1;0;12
"158";158;"Commit.LOC.Modified";359;"haar";1;0;12
"159";159;"Commit.LOC.Modified";359;"haar";1;0;12
"160";160;"Commit.LOC.Modified";359;"haar";1;0;12
"161";161;"Commit.LOC.Modified";359;"haar";1;0;12
"162";162;"Commit.LOC.Modified";359;"haar";1;0;12
"163";163;"Commit.LOC.Modified";359;"haar";1;0;12
"164";164;"Commit.LOC.Modified";359;"haar";1;0;12
"165";165;"Commit.LOC.Modified";359;"haar";1;0;12
"166";166;"Commit.LOC.Modified";359;"haar";1;0;12
"167";167;"Commit.LOC.Modified";359;"haar";1;0;12
"168";168;"Commit.LOC.Modified";359;"haar";1;0;12
"169";169;"Commit.LOC.Modified";359;"haar";1;0;12
"170";170;"Commit.LOC.Modified";359;"haar";1;0;12
"171";171;"Commit.LOC.Modified";359;"haar";1;0;12
"172";172;"Commit.LOC.Modified";359;"haar";1;0;12
"173";173;"Commit.LOC.Modified";359;"haar";1;0;12
"174";174;"Commit.LOC.Modified";359;"haar";1;0;12
"175";175;"Commit.LOC.Modified";359;"haar";1;0;12
"176";176;"Commit.LOC.Modified";359;"haar";1;0;12
"177";177;"Commit.LOC.Modified";359;"haar";1;0;12
"178";178;"Commit.LOC.Modified";359;"haar";1;0;12
"179";179;"Commit.LOC.Modified";359;"haar";1;0;12
"180";180;"Commit.LOC.Modified";359;"haar";1;0;12
"181";181;"Commit.LOC.Modified";359;"haar";1;0;12
"182";182;"Commit.LOC.Modified";359;"haar";1;0;12
"183";183;"Commit.LOC.Modified";359;"haar";1;0;12
"184";184;"Commit.LOC.Modified";359;"haar";1;0;12
"185";185;"Commit.LOC.Modified";359;"haar";1;0;12
"186";186;"Commit.LOC.Modified";359;"haar";1;0;12
"187";187;"Commit.LOC.Modified";359;"haar";1;0;12
"188";188;"Commit.LOC.Modified";359;"haar";1;0;12
"189";189;"Commit.LOC.Modified";359;"haar";1;0;12
"190";190;"Commit.LOC.Modified";359;"haar";1;0;12
"191";191;"Commit.LOC.Modified";359;"haar";1;0;12
"192";192;"Commit.LOC.Modified";359;"haar";1;0;12
"193";193;"Commit.LOC.Modified";359;"haar";1;0;12
"194";194;"Commit.LOC.Modified";359;"haar";1;0;12
"195";195;"Commit.LOC.Modified";359;"haar";1;0;12
"196";196;"Commit.LOC.Modified";359;"haar";1;0;12
"197";197;"Commit.LOC.Modified";359;"haar";1;0;12
"198";198;"Commit.LOC.Modified";359;"haar";1;0;12
"199";199;"Commit.LOC.Modified";359;"haar";1;0;12
"200";200;"Commit.LOC.Modified";359;"haar";1;0;12
"201";201;"Commit.LOC.Modified";359;"haar";1;0;12
"202";202;"Commit.LOC.Modified";359;"haar";1;0;12
