"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commits";350;"haar";1;9,19238815542512;8
"2";2;"Commits";350;"haar";1;0;8
"3";3;"Commits";350;"haar";1;0;8
"4";4;"Commits";350;"haar";1;0;8
"5";5;"Commits";350;"haar";1;0;8
"6";6;"Commits";350;"haar";1;0;8
"7";7;"Commits";350;"haar";1;0;8
"8";8;"Commits";350;"haar";1;0;8
"9";9;"Commits";350;"haar";1;0;8
"10";10;"Commits";350;"haar";1;0;8
"11";11;"Commits";350;"haar";1;0;8
"12";12;"Commits";350;"haar";1;0;8
"13";13;"Commits";350;"haar";1;0;8
"14";14;"Commits";350;"haar";1;0;8
"15";15;"Commits";350;"haar";1;0;8
"16";16;"Commits";350;"haar";1;0;8
"17";17;"Commits";350;"haar";1;0;8
"18";18;"Commits";350;"haar";1;0;8
"19";19;"Commits";350;"haar";1;0;8
"20";20;"Commits";350;"haar";1;0;8
"21";21;"Commits";350;"haar";1;0;8
"22";22;"Commits";350;"haar";1;0;8
"23";23;"Commits";350;"haar";1;0;8
"24";24;"Commits";350;"haar";1;0;8
"25";25;"Commits";350;"haar";1;0;8
"26";26;"Commits";350;"haar";1;0;8
"27";27;"Commits";350;"haar";1;9,19238815542512;8
"28";28;"Commits";350;"haar";1;0;8
"29";29;"Commits";350;"haar";1;0;8
"30";30;"Commits";350;"haar";1;0;8
"31";31;"Commits";350;"haar";1;0;8
"32";32;"Commits";350;"haar";1;0;8
"33";33;"Commits";350;"haar";1;0;8
"34";34;"Commits";350;"haar";1;0;8
"35";35;"Commits";350;"haar";1;0;8
"36";36;"Commits";350;"haar";1;0;8
"37";37;"Commits";350;"haar";1;0;8
"38";38;"Commits";350;"haar";1;0;8
"39";39;"Commits";350;"haar";1;0;8
"40";40;"Commits";350;"haar";1;0;8
"41";41;"Commits";350;"haar";1;0;8
"42";42;"Commits";350;"haar";1;0;8
"43";43;"Commits";350;"haar";1;0;8
"44";44;"Commits";350;"haar";1;0;8
"45";45;"Commits";350;"haar";1;0;8
"46";46;"Commits";350;"haar";1;0;8
"47";47;"Commits";350;"haar";1;0;8
"48";48;"Commits";350;"haar";1;45,9619407771256;8
"49";49;"Commits";350;"haar";1;0;8
"50";50;"Commits";350;"haar";1;0;8
"51";51;"Commits";350;"haar";1;9,19238815542512;8
"52";52;"Commits";350;"haar";1;0;8
"53";53;"Commits";350;"haar";1;0;8
"54";54;"Commits";350;"haar";1;0;8
"55";55;"Commits";350;"haar";1;0;8
"56";56;"Commits";350;"haar";1;0;8
"57";57;"Commits";350;"haar";1;0;8
"58";58;"Commits";350;"haar";1;0;8
"59";59;"Commits";350;"haar";1;0;8
"60";60;"Commits";350;"haar";1;0;8
"61";61;"Commits";350;"haar";1;9,19238815542512;8
"62";62;"Commits";350;"haar";1;0;8
"63";63;"Commits";350;"haar";1;0;8
"64";64;"Commits";350;"haar";1;0;8
