"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Added";137;"haar";1;1540,0785694243;11
"2";2;"Cumulative.LOC.Added";137;"haar";1;3986,66803232975;11
"3";3;"Cumulative.LOC.Added";137;"haar";1;7037,83379314971;11
"4";4;"Cumulative.LOC.Added";137;"haar";1;8855,09822079913;11
"5";5;"Cumulative.LOC.Added";137;"haar";1;11589,4801436475;11
"6";6;"Cumulative.LOC.Added";137;"haar";1;13903,8406384711;11
"7";7;"Cumulative.LOC.Added";137;"haar";1;16218,2011332947;11
"8";8;"Cumulative.LOC.Added";137;"haar";1;19233,3044482741;11
"9";9;"Cumulative.LOC.Added";137;"haar";1;22355,8879939939;11
"10";10;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"11";11;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"12";12;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"13";13;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"14";14;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"15";15;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"16";16;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"17";17;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"18";18;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"19";19;"Cumulative.LOC.Added";137;"haar";1;24850,56071802;11
"20";20;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"21";21;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"22";22;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"23";23;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"24";24;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"25";25;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"26";26;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"27";27;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"28";28;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"29";29;"Cumulative.LOC.Added";137;"haar";1;53153,2167417928;11
"30";30;"Cumulative.LOC.Added";137;"haar";1;68220,9551420969;11
"31";31;"Cumulative.LOC.Added";137;"haar";1;85102,4224361446;11
"32";32;"Cumulative.LOC.Added";137;"haar";1;88095,6054409072;11
