"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Churn";163;"haar";1;26779,5480170969;6
"2";2;"Cumulative.LOC.Churn";163;"haar";1;26779,5480170969;6
"3";3;"Cumulative.LOC.Churn";163;"haar";1;26779,5480170969;6
"4";4;"Cumulative.LOC.Churn";163;"haar";1;26779,5480170969;6
"5";5;"Cumulative.LOC.Churn";163;"haar";1;26779,5480170969;6
"6";6;"Cumulative.LOC.Churn";163;"haar";1;26779,5480170969;6
"7";7;"Cumulative.LOC.Churn";163;"haar";1;26779,5480170969;6
"8";8;"Cumulative.LOC.Churn";163;"haar";1;26779,5480170969;6
"9";9;"Cumulative.LOC.Churn";163;"haar";1;26779,5480170969;6
"10";10;"Cumulative.LOC.Churn";163;"haar";1;54294,4870866279;6
"11";11;"Cumulative.LOC.Churn";163;"haar";1;56547,3292914882;6
"12";12;"Cumulative.LOC.Churn";163;"haar";1;58259,941915522;6
"13";13;"Cumulative.LOC.Churn";163;"haar";1;61714,8656483995;6
"14";14;"Cumulative.LOC.Churn";163;"haar";1;65153,5259253097;6
"15";15;"Cumulative.LOC.Churn";163;"haar";1;68496,0196799785;6
"16";16;"Cumulative.LOC.Churn";163;"haar";1;70723,4060407161;6
"17";17;"Cumulative.LOC.Churn";163;"haar";1;73959,1266714257;6
"18";18;"Cumulative.LOC.Churn";163;"haar";1;76566,2293736605;6
"19";19;"Cumulative.LOC.Churn";163;"haar";1;79223,5366573596;6
"20";20;"Cumulative.LOC.Churn";163;"haar";1;79369,9077610652;6
"21";21;"Cumulative.LOC.Churn";163;"haar";1;79369,9077610652;6
"22";22;"Cumulative.LOC.Churn";163;"haar";1;79369,9077610652;6
"23";23;"Cumulative.LOC.Churn";163;"haar";1;79369,9077610652;6
"24";24;"Cumulative.LOC.Churn";163;"haar";1;86883,6244179535;6
"25";25;"Cumulative.LOC.Churn";163;"haar";1;94397,3410748417;6
"26";26;"Cumulative.LOC.Churn";163;"haar";1;94397,3410748417;6
"27";27;"Cumulative.LOC.Churn";163;"haar";1;98140,0572676621;6
"28";28;"Cumulative.LOC.Churn";163;"haar";1;104537,959423838;6
"29";29;"Cumulative.LOC.Churn";163;"haar";1;108078,443077239;6
"30";30;"Cumulative.LOC.Churn";163;"haar";1;108723,324461681;6
"31";31;"Cumulative.LOC.Churn";163;"haar";1;108723,324461681;6
"32";32;"Cumulative.LOC.Churn";163;"haar";1;108723,324461681;6
"33";33;"Cumulative.LOC.Churn";163;"haar";1;108723,324461681;6
"34";34;"Cumulative.LOC.Churn";163;"haar";1;115492,45767798;6
"35";35;"Cumulative.LOC.Churn";163;"haar";1;122261,590894279;6
"36";36;"Cumulative.LOC.Churn";163;"haar";1;122261,590894279;6
"37";37;"Cumulative.LOC.Churn";163;"haar";1;122261,590894279;6
"38";38;"Cumulative.LOC.Churn";163;"haar";1;122261,590894279;6
"39";39;"Cumulative.LOC.Churn";163;"haar";1;136043,102059605;6
"40";40;"Cumulative.LOC.Churn";163;"haar";1;137991,181241774;6
"41";41;"Cumulative.LOC.Churn";163;"haar";1;140247,55898054;6
"42";42;"Cumulative.LOC.Churn";163;"haar";1;143443,681631503;6
"43";43;"Cumulative.LOC.Churn";163;"haar";1;147771,882239146;6
"44";44;"Cumulative.LOC.Churn";163;"haar";1;149109,02116237;6
"45";45;"Cumulative.LOC.Churn";163;"haar";1;149109,02116237;6
"46";46;"Cumulative.LOC.Churn";163;"haar";1;149109,02116237;6
"47";47;"Cumulative.LOC.Churn";163;"haar";1;149109,02116237;6
"48";48;"Cumulative.LOC.Churn";163;"haar";1;160738,099285764;6
"49";49;"Cumulative.LOC.Churn";163;"haar";1;160738,099285764;6
"50";50;"Cumulative.LOC.Churn";163;"haar";1;164042,409274248;6
"51";51;"Cumulative.LOC.Churn";163;"haar";1;170016,754468493;6
"52";52;"Cumulative.LOC.Churn";163;"haar";1;172796,391225338;6
"53";1;"Cumulative.LOC.Churn";163;"haar";2;37872;5
"54";2;"Cumulative.LOC.Churn";163;"haar";2;37872;5
"55";3;"Cumulative.LOC.Churn";163;"haar";2;37872;5
"56";4;"Cumulative.LOC.Churn";163;"haar";2;37872;5
"57";5;"Cumulative.LOC.Churn";163;"haar";2;57328;5
"58";6;"Cumulative.LOC.Churn";163;"haar";2;81181;5
"59";7;"Cumulative.LOC.Churn";163;"haar";2;89709,5;5
"60";8;"Cumulative.LOC.Churn";163;"haar";2;98443;5
"61";9;"Cumulative.LOC.Churn";163;"haar";2;106437,5;5
"62";10;"Cumulative.LOC.Churn";163;"haar";2;112142,5;5
"63";11;"Cumulative.LOC.Churn";163;"haar";2;112246;5
"64";12;"Cumulative.LOC.Churn";163;"haar";2;117559;5
"65";13;"Cumulative.LOC.Churn";163;"haar";2;133498;5
"66";14;"Cumulative.LOC.Churn";163;"haar";2;143315;5
"67";15;"Cumulative.LOC.Churn";163;"haar";2;153302;5
"68";16;"Cumulative.LOC.Churn";163;"haar";2;153758;5
"69";17;"Cumulative.LOC.Churn";163;"haar";2;158544,5;5
"70";18;"Cumulative.LOC.Churn";163;"haar";2;172904;5
"71";19;"Cumulative.LOC.Churn";163;"haar";2;172904;5
"72";20;"Cumulative.LOC.Churn";163;"haar";2;193771,5;5
"73";21;"Cumulative.LOC.Churn";163;"haar";2;200600;5
"74";22;"Cumulative.LOC.Churn";163;"haar";2;209926,5;5
"75";23;"Cumulative.LOC.Churn";163;"haar";2;210872;5
"76";24;"Cumulative.LOC.Churn";163;"haar";2;219095;5
"77";25;"Cumulative.LOC.Churn";163;"haar";2;229654,5;5
"78";26;"Cumulative.LOC.Churn";163;"haar";2;242405,5;5
"79";1;"Cumulative.LOC.Churn";163;"haar";3;53559,0960341938;4
"80";2;"Cumulative.LOC.Churn";163;"haar";3;53559,0960341938;4
"81";3;"Cumulative.LOC.Churn";163;"haar";3;97940,6531553675;4
"82";4;"Cumulative.LOC.Churn";163;"haar";3;133043,908647202;4
"83";5;"Cumulative.LOC.Churn";163;"haar";3;154559,400231756;4
