Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;3;4;126;6;25;4;0,003129351; 62087,86- 83886,55-126160,93-147166,25;1,107186;-539177,2
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;3;1;138;6;34;4;0,001159884;11391,67-21045,44-37266,65-62087,86;0,4218047;-1095019
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;4;3;15;5;20;4;0,004531232;11156,25-18606,50-24138,75-28564,25;0,9081404;-27113,45
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;4;9;15;6;26;4;0,002765889;53236,5-65397,0-83416,5-95002,0;9,470794;-89459,96
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;4;11;126;6;18;4;0,004140495; 83416,5- 95002,0-100728,2-107396,2;0,310546;-18531,55
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;4;11;126;6;27;4;0,002126458; 83416,5- 95002,0-100728,2-107396,2;0,5976991;-275544,1
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;4;3;138;6;4;4;0,001010777;11156,25-18606,50-24138,75-28564,25;0,03152614;-8398,46
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;4;11;138;6;32;4;0,003586262; 83416,5- 95002,0-100728,2-107396,2;0,2803929;-634888,2
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;4;11;147;7;60;4;0,003202049; 83416,5- 95002,0-100728,2-107396,2;1,100102;-571969,9
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;4;11;168;6;43;4;0,004786472; 83416,5- 95002,0-100728,2-107396,2;0,0901884;-189096,5
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;5;20;15;4;3;4;0,004531232;42140,74-50344,59-56556,88-61411,87;1,101151;29856,02
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;5;20;15;5;21;4;0,003521189;42140,74-50344,59-56556,88-61411,87;1,320585;-24343,58
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;5;10;15;6;54;4;0,002039818;16493,97-17643,37-19442,25-20953,70;1,534582;-62495,58
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;5;24;15;6;49;4;0,004075249;64852,30-69500,82-70522,23-71929,02;5,405256;-198462
Cumulative.LOC.Churn;Cumulative.LOC.Modified;15;5;20;126;5;10;4;0,004752366;42140,74-50344,59-56556,88-61411,87;0,07185119;2058,19
