"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Removed";15;"haar";1;74,953318805774;7
"2";2;"Cumulative.LOC.Removed";15;"haar";1;288,499566724111;7
"3";3;"Cumulative.LOC.Removed";15;"haar";1;1255,82164338731;7
"4";4;"Cumulative.LOC.Removed";15;"haar";1;1671,600430725;7
"5";5;"Cumulative.LOC.Removed";15;"haar";1;1787,56594283959;7
"6";6;"Cumulative.LOC.Removed";15;"haar";1;1929,69440585809;7
"7";7;"Cumulative.LOC.Removed";15;"haar";1;1931,81572620165;7
"8";8;"Cumulative.LOC.Removed";15;"haar";1;2248,59956417322;7
"9";9;"Cumulative.LOC.Removed";15;"haar";1;3157,93888477912;7
"10";10;"Cumulative.LOC.Removed";15;"haar";1;3372,89934625983;7
"11";11;"Cumulative.LOC.Removed";15;"haar";1;3753,32279453819;7
"12";12;"Cumulative.LOC.Removed";15;"haar";1;4014,95230357722;7
"13";13;"Cumulative.LOC.Removed";15;"haar";1;4014,95230357722;7
"14";14;"Cumulative.LOC.Removed";15;"haar";1;4019,19494426434;7
"15";15;"Cumulative.LOC.Removed";15;"haar";1;5485,02730166405;7
"16";16;"Cumulative.LOC.Removed";15;"haar";1;8432,95547243077;7
"17";17;"Cumulative.LOC.Removed";15;"haar";1;9919,29392648489;7
"18";18;"Cumulative.LOC.Removed";15;"haar";1;9977,27668254218;7
"19";19;"Cumulative.LOC.Removed";15;"haar";1;10069,9076708776;7
"20";20;"Cumulative.LOC.Removed";15;"haar";1;10120,1122523419;7
"21";21;"Cumulative.LOC.Removed";15;"haar";1;10120,1122523419;7
"22";22;"Cumulative.LOC.Removed";15;"haar";1;10120,1122523419;7
"23";23;"Cumulative.LOC.Removed";15;"haar";1;10120,1122523419;7
"24";24;"Cumulative.LOC.Removed";15;"haar";1;10165,3670863378;7
"25";25;"Cumulative.LOC.Removed";15;"haar";1;10563,4682041458;7
"26";26;"Cumulative.LOC.Removed";15;"haar";1;10940,3561185183;7
"27";27;"Cumulative.LOC.Removed";15;"haar";1;11852,5238662489;7
"28";28;"Cumulative.LOC.Removed";15;"haar";1;12404,0671555744;7
"29";29;"Cumulative.LOC.Removed";15;"haar";1;13501,4968799759;7
"30";30;"Cumulative.LOC.Removed";15;"haar";1;13773,7329907328;7
"31";31;"Cumulative.LOC.Removed";15;"haar";1;14289,2138342177;7
"32";32;"Cumulative.LOC.Removed";15;"haar";1;15757,167511961;7
