Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;3;1;15;5;22;4;0,004664421; 23142,01- 54062,20- 81521,10-111582,16;9,410901;-718074,1
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;3;1;126;6;17;4;0,004100989; 23142,01- 54062,20- 81521,10-111582,16;0,142007;-414074,7
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;3;1;126;6;17;5;0,004448452; 23142,01- 54062,20- 81521,10-111582,16-142083,03;0,142007;-414074,7
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;3;2;126;6;18;4;0,002746209; 54062,2- 81521,1-111582,2-142083,0;0,1424;-415370,3
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;3;2;140;6;7;4;0,00473808; 54062,2- 81521,1-111582,2-142083,0;0,2676068;-71719,99
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;3;2;149;6;10;4;0,00455549; 54062,2- 81521,1-111582,2-142083,0;0,8975869;-45762,12
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;3;4;170;6;35;4;0,00494537;111582,2-142083,0-166965,1-188745,2;3,144104;-2831355
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;3;15;6;41;4;0,002829146;31702,25-44753,25-50878,25-64410,00;10,39506;-521148,7
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;8;140;6;36;4;0,003190073; 86658,5- 95657,0-105278,8-113708,8;0,5606498;-1391146
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;9;140;6;35;4;0,003196516; 95657,0-105278,8-113708,8-122415,5;0,5134612;-1248142
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;8;149;6;18;4;0,002715286; 86658,5- 95657,0-105278,8-113708,8;0,4251038;-26176,74
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;10;149;6;13;4;0,003137938;105278,8-113708,8-122415,5-126141,8;0,4518794;10490,68
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;4;169;6;53;4;0,003699319;44753,25-50878,25-64410,00-71142,50;0,08753877;-487274,4
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;8;170;5;13;4;0,004896824; 86658,5- 95657,0-105278,8-113708,8;0,1027921;-7457,42
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;9;170;6;26;4;0,003268598; 95657,0-105278,8-113708,8-122415,5;0,2781054;-79583,99
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;9;170;6;42;4;0,003760866; 95657,0-105278,8-113708,8-122415,5;0,2684622;-201782,5
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;4;9;170;6;47;4;0,004888263; 95657,0-105278,8-113708,8-122415,5;0,3174359;-297946,2
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;22;15;3;1;4;0,004664421;78761,44-82047,01-85005,20-88116,47;0,1062598;76302,38
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;18;15;5;26;4;0,003794915;67312,68-67966,75-72785,33-76101,31;0,674444;7482,214
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;20;15;5;22;4;0,004131734;72785,33-76101,31-78761,44-82047,01;1,009254;-6704,993
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;16;15;6;34;4;0,003642601;58435,30-64118,32-67312,68-67966,75;15,11441;-653725,3
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;16;15;6;48;4;0,003171231;58435,30-64118,32-67312,68-67966,75;4,978552;-244380,1
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;23;15;6;18;4;0,002143148;82047,01-85005,20-88116,47-88710,79;6,480134;-71982,53
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;24;126;5;13;4;0,002896384;85005,20-88116,47-88710,79-89680,59;0,01009483;17693,3
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;16;126;6;13;4;0,004262745;58435,30-64118,32-67312,68-67966,75;0,01205138;33633,48
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;20;126;6;33;4;0,003540124;72785,33-76101,31-78761,44-82047,01;0,02171832;-37687,29
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;21;126;6;23;4;0,0005490208;76101,31-78761,44-82047,01-85005,20;0,01728962;4480,971
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;21;126;6;32;4;0,003548504;76101,31-78761,44-82047,01-85005,20;0,0226516;-36458,41
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;21;126;6;32;5;0,004919498;76101,31-78761,44-82047,01-85005,20-88116,47;0,0226516;-36458,41
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;22;126;6;16;4;0,004301125;78761,44-82047,01-85005,20-88116,47;0,01453237;37304,19
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;22;126;6;17;4;0,0009203162;78761,44-82047,01-85005,20-88116,47;0,01508963;32302,9
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;24;126;6;27;4;0,00422527;85005,20-88116,47-88710,79-89680,59;0,02170787;-18541,09
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;8;137;6;15;4;0,003401149;29981,33-33309,33-34584,59-37368,12;0,08284759;-32674,39
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;24;137;6;31;4;0,003884085;85005,20-88116,47-88710,79-89680,59;0,1637101;-80061,83
Cumulative.LOC.Churn;Cumulative.LOC.Removed;15;5;8;138;6;1;4;0,001005497;29981,33-33309,33-34584,59-37368,12;0,01237694;20498,66
