"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Files";323;"haar";1;1,41421356237309;9
"2";2;"Files";323;"haar";1;1,41421356237309;9
"3";3;"Files";323;"haar";1;1,41421356237309;9
"4";4;"Files";323;"haar";1;1,41421356237309;9
"5";5;"Files";323;"haar";1;1,41421356237309;9
"6";6;"Files";323;"haar";1;1,41421356237309;9
"7";7;"Files";323;"haar";1;1,41421356237309;9
"8";8;"Files";323;"haar";1;1,41421356237309;9
"9";9;"Files";323;"haar";1;1,41421356237309;9
"10";10;"Files";323;"haar";1;1,41421356237309;9
"11";11;"Files";323;"haar";1;1,41421356237309;9
"12";12;"Files";323;"haar";1;1,41421356237309;9
"13";13;"Files";323;"haar";1;1,41421356237309;9
"14";14;"Files";323;"haar";1;1,41421356237309;9
"15";15;"Files";323;"haar";1;1,41421356237309;9
"16";16;"Files";323;"haar";1;1,41421356237309;9
"17";17;"Files";323;"haar";1;1,41421356237309;9
"18";18;"Files";323;"haar";1;1,41421356237309;9
"19";19;"Files";323;"haar";1;1,41421356237309;9
"20";20;"Files";323;"haar";1;1,41421356237309;9
"21";21;"Files";323;"haar";1;1,41421356237309;9
"22";22;"Files";323;"haar";1;1,41421356237309;9
"23";23;"Files";323;"haar";1;1,41421356237309;9
"24";24;"Files";323;"haar";1;1,41421356237309;9
"25";25;"Files";323;"haar";1;1,41421356237309;9
"26";26;"Files";323;"haar";1;1,41421356237309;9
"27";27;"Files";323;"haar";1;1,41421356237309;9
"28";28;"Files";323;"haar";1;1,41421356237309;9
"29";29;"Files";323;"haar";1;1,41421356237309;9
"30";30;"Files";323;"haar";1;1,41421356237309;9
"31";31;"Files";323;"haar";1;1,41421356237309;9
"32";32;"Files";323;"haar";1;1,41421356237309;9
"33";33;"Files";323;"haar";1;1,41421356237309;9
"34";34;"Files";323;"haar";1;1,41421356237309;9
"35";35;"Files";323;"haar";1;1,41421356237309;9
"36";36;"Files";323;"haar";1;1,41421356237309;9
"37";37;"Files";323;"haar";1;1,41421356237309;9
"38";38;"Files";323;"haar";1;1,41421356237309;9
"39";39;"Files";323;"haar";1;1,41421356237309;9
"40";40;"Files";323;"haar";1;1,41421356237309;9
"41";41;"Files";323;"haar";1;1,41421356237309;9
"42";42;"Files";323;"haar";1;1,41421356237309;9
"43";43;"Files";323;"haar";1;1,41421356237309;9
"44";44;"Files";323;"haar";1;1,41421356237309;9
"45";45;"Files";323;"haar";1;1,41421356237309;9
"46";46;"Files";323;"haar";1;1,41421356237309;9
"47";47;"Files";323;"haar";1;1,41421356237309;9
"48";48;"Files";323;"haar";1;1,41421356237309;9
"49";49;"Files";323;"haar";1;1,41421356237309;9
"50";50;"Files";323;"haar";1;1,41421356237309;9
"51";51;"Files";323;"haar";1;1,41421356237309;9
"52";52;"Files";323;"haar";1;1,41421356237309;9
"53";53;"Files";323;"haar";1;1,41421356237309;9
"54";54;"Files";323;"haar";1;1,41421356237309;9
"55";55;"Files";323;"haar";1;1,41421356237309;9
"56";56;"Files";323;"haar";1;1,41421356237309;9
"57";57;"Files";323;"haar";1;1,41421356237309;9
"58";58;"Files";323;"haar";1;1,41421356237309;9
"59";59;"Files";323;"haar";1;1,41421356237309;9
"60";60;"Files";323;"haar";1;1,41421356237309;9
"61";61;"Files";323;"haar";1;1,41421356237309;9
"62";62;"Files";323;"haar";1;1,41421356237309;9
"63";63;"Files";323;"haar";1;1,41421356237309;9
"64";64;"Files";323;"haar";1;1,41421356237309;9
"65";65;"Files";323;"haar";1;1,41421356237309;9
"66";66;"Files";323;"haar";1;1,41421356237309;9
"67";67;"Files";323;"haar";1;1,41421356237309;9
"68";68;"Files";323;"haar";1;1,41421356237309;9
"69";69;"Files";323;"haar";1;1,41421356237309;9
"70";70;"Files";323;"haar";1;1,41421356237309;9
"71";71;"Files";323;"haar";1;1,41421356237309;9
"72";72;"Files";323;"haar";1;1,41421356237309;9
"73";73;"Files";323;"haar";1;1,41421356237309;9
"74";74;"Files";323;"haar";1;1,41421356237309;9
"75";75;"Files";323;"haar";1;1,41421356237309;9
"76";76;"Files";323;"haar";1;1,41421356237309;9
"77";77;"Files";323;"haar";1;1,41421356237309;9
"78";78;"Files";323;"haar";1;1,41421356237309;9
"79";79;"Files";323;"haar";1;1,41421356237309;9
"80";80;"Files";323;"haar";1;1,41421356237309;9
"81";81;"Files";323;"haar";1;1,41421356237309;9
"82";82;"Files";323;"haar";1;1,41421356237309;9
"83";83;"Files";323;"haar";1;1,41421356237309;9
"84";84;"Files";323;"haar";1;1,41421356237309;9
"85";85;"Files";323;"haar";1;1,41421356237309;9
"86";86;"Files";323;"haar";1;1,41421356237309;9
"87";87;"Files";323;"haar";1;1,41421356237309;9
