Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Relative.Date.Progress;15;4;10;17;6;29;4;0,003142472;187,5500-239,8197-250,0993-256,2138;27,55753;-10637,8
Cumulative.LOC.Churn;Relative.Date.Progress;15;4;10;17;6;29;5;0,004205221;187,5500-239,8197-250,0993-256,2138-335,4873;27,55753;-10637,8
Cumulative.LOC.Churn;Relative.Date.Progress;15;4;4;18;5;7;4;0,002052322; 68,2820- 98,9635-101,4002-111,0088;5,854689;-240,5397
Cumulative.LOC.Churn;Relative.Date.Progress;15;4;10;126;6;36;4;0,003940917;187,5500-239,8197-250,0993-256,2138;1,575968;-982,9751
Cumulative.LOC.Churn;Relative.Date.Progress;15;4;5;378;6;43;4;0,001709916; 98,9635-101,4002-111,0088-129,8137;0,1532377;7,934577
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;22;15;6;29;4;0,001811476;163,4926-175,6637-176,6126-177,0811;2,267761;35,33917
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;22;15;6;39;4;0,004723868;163,4926-175,6637-176,6126-177,0811;1,658411;17,98369
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;22;15;6;43;4;0,002143686;163,4926-175,6637-176,6126-177,0811;0,8684011;69,18514
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;22;15;6;43;5;0,002143686;163,4926-175,6637-176,6126-177,0811-177,4103;0,8684011;69,18514
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;15;6;19;4;0,002645445;175,6637-176,6126-177,0811-177,4103;7,188919;-179,2532
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;15;6;44;4;0,002651533;175,6637-176,6126-177,0811-177,4103;0,6985184;90,01522
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;15;6;45;4;0,001421256;175,6637-176,6126-177,0811-177,4103;1,976953;-69,42505
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;15;6;46;4;0,001135736;175,6637-176,6126-177,0811-177,4103;2,86688;-181,1281
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;15;6;47;4;0,003901776;175,6637-176,6126-177,0811-177,4103;4,744687;-416,3973
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;15;6;49;4;0,002211449;175,6637-176,6126-177,0811-177,4103;5,73376;-541,816
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;15;6;50;4;0,003319144;175,6637-176,6126-177,0811-177,4103;6,326249;-617,0026
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;24;15;6;21;4;0,001163883;176,6126-177,0811-177,4103-184,9307;9,185456;-278,0858
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;22;17;5;13;4;0,003676805;163,4926-175,6637-176,6126-177,0811;0,294727;12,30706
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;12;17;6;14;4;0,002977321;70,71139-72,69022-73,27642-83,71366;0,5519772;31,03029
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;17;6;28;4;0,002981044;175,6637-176,6126-177,0811-177,4103;0,5252905;-29,73578
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;17;6;29;4;0,002814463;175,6637-176,6126-177,0811-177,4103;0,5002965;-20,86637
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;4;18;6;28;4;0,004286623;36,73844-38,14381-39,45514-40,27539;0,2361152;14,41264
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;4;18;6;28;5;0,004286623;36,73844-38,14381-39,45514-40,27539-41,28266;0,2361152;14,41264
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;5;18;6;12;4;0,001997518;38,14381-39,45514-40,27539-41,28266;0,39588;25,99754
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;126;6;26;4;0,001912842;175,6637-176,6126-177,0811-177,4103;0,02393292;161,6859
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;126;6;29;4;0,003316622;175,6637-176,6126-177,0811-177,4103;0,09138566;115,7075
Cumulative.LOC.Churn;Relative.Date.Progress;15;5;23;163;5;15;4;0,004495887;175,6637-176,6126-177,0811-177,4103;16,22115;-866,2451
