"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"2";2;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"3";3;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"4";4;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"5";5;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"6";6;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"7";7;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"8";8;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"9";9;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"10";10;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"11";11;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"12";12;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"13";13;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"14";14;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"15";15;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"16";16;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"17";17;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"18";18;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"19";19;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"20";20;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"21";21;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"22";22;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"23";23;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
"24";24;"Relative.LOC.Churn.Progress";323;"haar";1;0,0014142135623731;9
