"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"2";2;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"3";3;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"4";4;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"5";5;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"6";6;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"7";7;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"8";8;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"9";9;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"10";10;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"11";11;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"12";12;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"13";13;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"14";14;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"15";15;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"16";16;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"17";17;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"18";18;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"19";19;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"20";20;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"21";21;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"22";22;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"23";23;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"24";24;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"25";25;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"26";26;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"27";27;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"28";28;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"29";29;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"30";30;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"31";31;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"32";32;"Relative.Team.Size";257;"haar";1;141,421356237309;8
"33";33;"Relative.Team.Size";257;"haar";1;141,421356237309;8
