"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Active.Developers";139;"haar";1;0;13
"2";2;"Active.Developers";139;"haar";1;0;13
"3";3;"Active.Developers";139;"haar";1;0;13
"4";4;"Active.Developers";139;"haar";1;0,00282842712474619;13
"5";5;"Active.Developers";139;"haar";1;0;13
"6";6;"Active.Developers";139;"haar";1;0;13
"7";7;"Active.Developers";139;"haar";1;-0,000707106781186548;13
"8";8;"Active.Developers";139;"haar";1;0;13
"9";9;"Active.Developers";139;"haar";1;-0,000707106781186547;13
"10";10;"Active.Developers";139;"haar";1;0;13
"11";11;"Active.Developers";139;"haar";1;0;13
"12";12;"Active.Developers";139;"haar";1;0,000707106781186548;13
"13";13;"Active.Developers";139;"haar";1;0;13
"14";14;"Active.Developers";139;"haar";1;0;13
"15";15;"Active.Developers";139;"haar";1;0;13
"16";16;"Active.Developers";139;"haar";1;0;13
"17";17;"Active.Developers";139;"haar";1;0;13
"18";18;"Active.Developers";139;"haar";1;0;13
"19";19;"Active.Developers";139;"haar";1;0;13
"20";20;"Active.Developers";139;"haar";1;0;13
"21";21;"Active.Developers";139;"haar";1;0;13
"22";22;"Active.Developers";139;"haar";1;0;13
"23";23;"Active.Developers";139;"haar";1;0,000707106781186548;13
"24";24;"Active.Developers";139;"haar";1;0;13
"25";25;"Active.Developers";139;"haar";1;0;13
"26";26;"Active.Developers";139;"haar";1;0;13
"27";27;"Active.Developers";139;"haar";1;0;13
"28";28;"Active.Developers";139;"haar";1;0;13
"29";29;"Active.Developers";139;"haar";1;0;13
"30";30;"Active.Developers";139;"haar";1;0;13
"31";31;"Active.Developers";139;"haar";1;0;13
"32";32;"Active.Developers";139;"haar";1;0;13
"33";33;"Active.Developers";139;"haar";1;0;13
"34";34;"Active.Developers";139;"haar";1;0;13
"35";35;"Active.Developers";139;"haar";1;0,00282842712474619;13
"36";36;"Active.Developers";139;"haar";1;0;13
"37";37;"Active.Developers";139;"haar";1;0;13
"38";38;"Active.Developers";139;"haar";1;0;13
"39";39;"Active.Developers";139;"haar";1;0;13
"40";40;"Active.Developers";139;"haar";1;0;13
"41";41;"Active.Developers";139;"haar";1;0;13
"42";42;"Active.Developers";139;"haar";1;0;13
"43";43;"Active.Developers";139;"haar";1;0;13
"44";44;"Active.Developers";139;"haar";1;0;13
"45";45;"Active.Developers";139;"haar";1;0;13
"46";46;"Active.Developers";139;"haar";1;0;13
"47";47;"Active.Developers";139;"haar";1;-0,000707106781186548;13
"48";48;"Active.Developers";139;"haar";1;0;13
"49";49;"Active.Developers";139;"haar";1;0;13
"50";50;"Active.Developers";139;"haar";1;0;13
"51";51;"Active.Developers";139;"haar";1;0;13
"52";52;"Active.Developers";139;"haar";1;0;13
"53";53;"Active.Developers";139;"haar";1;0;13
"54";54;"Active.Developers";139;"haar";1;0;13
"55";55;"Active.Developers";139;"haar";1;0;13
"56";56;"Active.Developers";139;"haar";1;0;13
"57";57;"Active.Developers";139;"haar";1;0;13
"58";58;"Active.Developers";139;"haar";1;0,00919238815542512;13
"59";59;"Active.Developers";139;"haar";1;-0,00494974746830583;13
"60";60;"Active.Developers";139;"haar";1;-0,00565685424949238;13
"61";61;"Active.Developers";139;"haar";1;0,0148492424049175;13
"62";62;"Active.Developers";139;"haar";1;0,0388908729652601;13
"63";63;"Active.Developers";139;"haar";1;-0,0169705627484771;13
"64";64;"Active.Developers";139;"haar";1;0,0282842712474619;13
"65";65;"Active.Developers";139;"haar";1;-0,0197989898732233;13
"66";66;"Active.Developers";139;"haar";1;0,0395979797464467;13
"67";67;"Active.Developers";139;"haar";1;0,0197989898732233;13
"68";68;"Active.Developers";139;"haar";1;0,0197989898732233;13
"69";69;"Active.Developers";139;"haar";1;0,0226274169979695;13
"70";70;"Active.Developers";139;"haar";1;0,00282842712474619;13
"71";71;"Active.Developers";139;"haar";1;-0,00848528137423857;13
"72";72;"Active.Developers";139;"haar";1;-0,0254558441227157;13
"73";73;"Active.Developers";139;"haar";1;0,0282842712474619;13
"74";74;"Active.Developers";139;"haar";1;-0,00212132034355965;13
"75";75;"Active.Developers";139;"haar";1;-0,0523259018078045;13
"76";76;"Active.Developers";139;"haar";1;0,0459619407771256;13
"77";77;"Active.Developers";139;"haar";1;-0,0282842712474619;13
"78";78;"Active.Developers";139;"haar";1;-0,00353553390593274;13
"79";79;"Active.Developers";139;"haar";1;0;13
"80";80;"Active.Developers";139;"haar";1;0;13
"81";81;"Active.Developers";139;"haar";1;0;13
"82";82;"Active.Developers";139;"haar";1;0;13
