"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Added";170;"haar";1;-0,65548798615993;10
"2";2;"Commit.LOC.Added";170;"haar";1;0;10
"3";3;"Commit.LOC.Added";170;"haar";1;0;10
"4";4;"Commit.LOC.Added";170;"haar";1;0;10
"5";5;"Commit.LOC.Added";170;"haar";1;0;10
"6";6;"Commit.LOC.Added";170;"haar";1;0;10
"7";7;"Commit.LOC.Added";170;"haar";1;0;10
"8";8;"Commit.LOC.Added";170;"haar";1;0;10
"9";9;"Commit.LOC.Added";170;"haar";1;0;10
"10";10;"Commit.LOC.Added";170;"haar";1;12,9202551058406;10
"11";11;"Commit.LOC.Added";170;"haar";1;0;10
"12";12;"Commit.LOC.Added";170;"haar";1;0;10
"13";13;"Commit.LOC.Added";170;"haar";1;0;10
"14";14;"Commit.LOC.Added";170;"haar";1;0;10
"15";15;"Commit.LOC.Added";170;"haar";1;0;10
"16";16;"Commit.LOC.Added";170;"haar";1;0;10
"17";17;"Commit.LOC.Added";170;"haar";1;0;10
"18";18;"Commit.LOC.Added";170;"haar";1;0;10
"19";19;"Commit.LOC.Added";170;"haar";1;13,1536003436322;10
"20";20;"Commit.LOC.Added";170;"haar";1;-0,0509116882454315;10
"21";21;"Commit.LOC.Added";170;"haar";1;0,0509116882454314;10
"22";22;"Commit.LOC.Added";170;"haar";1;-0,0162634559672905;10
"23";23;"Commit.LOC.Added";170;"haar";1;0,695793072687563;10
"24";24;"Commit.LOC.Added";170;"haar";1;0,453962553521763;10
"25";25;"Commit.LOC.Added";170;"haar";1;-0,273650324319194;10
"26";26;"Commit.LOC.Added";170;"haar";1;-0,352139177030901;10
"27";27;"Commit.LOC.Added";170;"haar";1;0,984292639411674;10
"28";28;"Commit.LOC.Added";170;"haar";1;-0,129400540957138;10
"29";29;"Commit.LOC.Added";170;"haar";1;0,0989949493661167;10
"30";30;"Commit.LOC.Added";170;"haar";1;-0,0954594154601839;10
"31";31;"Commit.LOC.Added";170;"haar";1;0,186676190233249;10
"32";32;"Commit.LOC.Added";170;"haar";1;-0,480125504425666;10
"33";33;"Commit.LOC.Added";170;"haar";1;2,08101525703201;10
"34";34;"Commit.LOC.Added";170;"haar";1;0;10
"35";35;"Commit.LOC.Added";170;"haar";1;2,15172593515066;10
"36";36;"Commit.LOC.Added";170;"haar";1;0,0586898628384834;10
"37";37;"Commit.LOC.Added";170;"haar";1;-0,253144227664784;10
"38";38;"Commit.LOC.Added";170;"haar";1;0,408000612744638;10
"39";39;"Commit.LOC.Added";170;"haar";1;-0,00141421356237315;10
"40";40;"Commit.LOC.Added";170;"haar";1;1,09035865658966;10
"41";41;"Commit.LOC.Added";170;"haar";1;1,0514677836244;10
"42";42;"Commit.LOC.Added";170;"haar";1;-0,695085965906376;10
"43";43;"Commit.LOC.Added";170;"haar";1;0;10
"44";44;"Commit.LOC.Added";170;"haar";1;3,28592521217389;10
"45";45;"Commit.LOC.Added";170;"haar";1;0;10
"46";46;"Commit.LOC.Added";170;"haar";1;2,97974797592011;10
"47";47;"Commit.LOC.Added";170;"haar";1;-0,409414826307011;10
"48";48;"Commit.LOC.Added";170;"haar";1;0,215667568261897;10
"49";49;"Commit.LOC.Added";170;"haar";1;-0,130814754519511;10
"50";50;"Commit.LOC.Added";170;"haar";1;0,353553390593274;10
"51";51;"Commit.LOC.Added";170;"haar";1;-0,0509116882454314;10
"52";52;"Commit.LOC.Added";170;"haar";1;-0,352139177030901;10
"53";53;"Commit.LOC.Added";170;"haar";1;-0,00353553390593264;10
"54";54;"Commit.LOC.Added";170;"haar";1;0,595383909759073;10
"55";55;"Commit.LOC.Added";170;"haar";1;-0,184554869889689;10
"56";56;"Commit.LOC.Added";170;"haar";1;-0,51194530957906;10
"57";57;"Commit.LOC.Added";170;"haar";1;0,0608111831820431;10
"58";58;"Commit.LOC.Added";170;"haar";1;-0,150613744392735;10
"59";59;"Commit.LOC.Added";170;"haar";1;-0,366988419435818;10
"60";60;"Commit.LOC.Added";170;"haar";1;-0,586191521603648;10
"61";61;"Commit.LOC.Added";170;"haar";1;0,174655374953077;10
"62";62;"Commit.LOC.Added";170;"haar";1;0,0332340187157677;10
"63";63;"Commit.LOC.Added";170;"haar";1;0,0487903679018717;10
"64";64;"Commit.LOC.Added";170;"haar";1;-0,322440692221066;10
"65";65;"Commit.LOC.Added";170;"haar";1;0,23970919882224;10
"66";66;"Commit.LOC.Added";170;"haar";1;-0,00707106781186545;10
"67";67;"Commit.LOC.Added";170;"haar";1;-0,199404112294606;10
"68";68;"Commit.LOC.Added";170;"haar";1;0,172534054609518;10
"69";69;"Commit.LOC.Added";170;"haar";1;0,273650324319194;10
"70";70;"Commit.LOC.Added";170;"haar";1;-1,17096882964492;10
"71";71;"Commit.LOC.Added";170;"haar";1;-0,946108873227601;10
"72";72;"Commit.LOC.Added";170;"haar";1;0,0912167747730646;10
"73";73;"Commit.LOC.Added";170;"haar";1;-0,0615182899632296;10
"74";74;"Commit.LOC.Added";170;"haar";1;0,408000612744638;10
"75";75;"Commit.LOC.Added";170;"haar";1;0,0558614357137373;10
"76";76;"Commit.LOC.Added";170;"haar";1;0,366988419435818;10
"77";77;"Commit.LOC.Added";170;"haar";1;-0,384666088965482;10
"78";78;"Commit.LOC.Added";170;"haar";1;-0,492146319705837;10
"79";79;"Commit.LOC.Added";170;"haar";1;-0,41577878733769;10
"80";80;"Commit.LOC.Added";170;"haar";1;-0,0282842712474619;10
"81";81;"Commit.LOC.Added";170;"haar";1;0,329511760032931;10
"82";82;"Commit.LOC.Added";170;"haar";1;-0,0685893577750951;10
"83";83;"Commit.LOC.Added";170;"haar";1;0;10
"84";84;"Commit.LOC.Added";170;"haar";1;0,994899241129472;10
"85";85;"Commit.LOC.Added";170;"haar";1;0;10
"86";86;"Commit.LOC.Added";170;"haar";1;0;10
"87";87;"Commit.LOC.Added";170;"haar";1;-0,980521403245346;10
"88";88;"Commit.LOC.Added";170;"haar";1;0,330218866814118;10
"89";89;"Commit.LOC.Added";170;"haar";1;0,229102597104441;10
"90";90;"Commit.LOC.Added";170;"haar";1;-0,423203408540149;10
"91";91;"Commit.LOC.Added";170;"haar";1;0,386080302527855;10
"92";92;"Commit.LOC.Added";170;"haar";1;0,143542676580869;10
"93";93;"Commit.LOC.Added";170;"haar";1;-0,368402632998191;10
"94";94;"Commit.LOC.Added";170;"haar";1;0,794788022053679;10
"95";95;"Commit.LOC.Added";170;"haar";1;0,721956023591465;10
"96";96;"Commit.LOC.Added";170;"haar";1;0,0261629509039022;10
"97";97;"Commit.LOC.Added";170;"haar";1;0,110308657865101;10
"98";98;"Commit.LOC.Added";170;"haar";1;-0,229102597104441;10
"99";99;"Commit.LOC.Added";170;"haar";1;0;10
"100";100;"Commit.LOC.Added";170;"haar";1;0;10
"101";101;"Commit.LOC.Added";170;"haar";1;4,5099270504078;10
"102";102;"Commit.LOC.Added";170;"haar";1;0;10
"103";103;"Commit.LOC.Added";170;"haar";1;0;10
"104";104;"Commit.LOC.Added";170;"haar";1;4,69094638639156;10
"105";105;"Commit.LOC.Added";170;"haar";1;0,251022907321224;10
"106";106;"Commit.LOC.Added";170;"haar";1;0,453255446740577;10
"107";107;"Commit.LOC.Added";170;"haar";1;0,158391918985787;10
"108";108;"Commit.LOC.Added";170;"haar";1;-0,0162634559672906;10
"109";109;"Commit.LOC.Added";170;"haar";1;-0,496388960392956;10
"110";110;"Commit.LOC.Added";170;"haar";1;0;10
"111";111;"Commit.LOC.Added";170;"haar";1;-1,90423856173537;10
"112";112;"Commit.LOC.Added";170;"haar";1;0;10
"113";113;"Commit.LOC.Added";170;"haar";1;-1,70129891553483;10
"114";114;"Commit.LOC.Added";170;"haar";1;0,0834386001800126;10
"115";115;"Commit.LOC.Added";170;"haar";1;-0,171826947828331;10
"116";116;"Commit.LOC.Added";170;"haar";1;-0,367695526217005;10
"117";117;"Commit.LOC.Added";170;"haar";1;0,960251008851332;10
"118";118;"Commit.LOC.Added";170;"haar";1;1,10626855916635;10
"119";119;"Commit.LOC.Added";170;"haar";1;0,123036579926459;10
"120";120;"Commit.LOC.Added";170;"haar";1;0,382898322012515;10
"121";121;"Commit.LOC.Added";170;"haar";1;0,249043008333902;10
"122";122;"Commit.LOC.Added";170;"haar";1;0,267993470069701;10
"123";123;"Commit.LOC.Added";170;"haar";1;-0,269407683632075;10
"124";124;"Commit.LOC.Added";170;"haar";1;0;10
"125";125;"Commit.LOC.Added";170;"haar";1;-1,98979848225894;10
"126";126;"Commit.LOC.Added";170;"haar";1;2,30870364057408;10
"127";127;"Commit.LOC.Added";170;"haar";1;0,0855599205235723;10
"128";128;"Commit.LOC.Added";170;"haar";1;0,622253967444162;10
"129";129;"Commit.LOC.Added";170;"haar";1;0,1576848122046;10
"130";130;"Commit.LOC.Added";170;"haar";1;-0,128693434175952;10
"131";131;"Commit.LOC.Added";170;"haar";1;0;10
"132";132;"Commit.LOC.Added";170;"haar";1;-1,73877557493772;10
"133";133;"Commit.LOC.Added";170;"haar";1;-1,72675475965755;10
"134";134;"Commit.LOC.Added";170;"haar";1;0;10
"135";135;"Commit.LOC.Added";170;"haar";1;0;10
"136";136;"Commit.LOC.Added";170;"haar";1;0;10
"137";137;"Commit.LOC.Added";170;"haar";1;0;10
"138";138;"Commit.LOC.Added";170;"haar";1;0;10
"139";139;"Commit.LOC.Added";170;"haar";1;-5,47371359316506;10
"140";140;"Commit.LOC.Added";170;"haar";1;0;10
"141";141;"Commit.LOC.Added";170;"haar";1;0;10
"142";142;"Commit.LOC.Added";170;"haar";1;0;10
"143";143;"Commit.LOC.Added";170;"haar";1;0;10
"144";144;"Commit.LOC.Added";170;"haar";1;0;10
"145";145;"Commit.LOC.Added";170;"haar";1;-4,98510280736516;10
"146";146;"Commit.LOC.Added";170;"haar";1;-0,00565685424949236;10
"147";147;"Commit.LOC.Added";170;"haar";1;-0,228749043713848;10
"148";148;"Commit.LOC.Added";170;"haar";1;0,887419010389117;10
"149";149;"Commit.LOC.Added";170;"haar";1;-0,71276363543604;10
"150";150;"Commit.LOC.Added";170;"haar";1;0;10
"151";151;"Commit.LOC.Added";170;"haar";1;0;10
"152";152;"Commit.LOC.Added";170;"haar";1;3,28875363929863;10
"153";153;"Commit.LOC.Added";170;"haar";1;0;10
"154";154;"Commit.LOC.Added";170;"haar";1;0;10
"155";155;"Commit.LOC.Added";170;"haar";1;3,31067394951542;10
"156";156;"Commit.LOC.Added";170;"haar";1;0,282135605693432;10
"157";157;"Commit.LOC.Added";170;"haar";1;-0,0169705627484771;10
"158";158;"Commit.LOC.Added";170;"haar";1;0,161839064544071;10
"159";159;"Commit.LOC.Added";170;"haar";1;-0,176776695296637;10
"160";160;"Commit.LOC.Added";170;"haar";1;0;10
"161";161;"Commit.LOC.Added";170;"haar";1;0;10
"162";162;"Commit.LOC.Added";170;"haar";1;-2,31153206769882;10
"163";163;"Commit.LOC.Added";170;"haar";1;0;10
"164";164;"Commit.LOC.Added";170;"haar";1;0;10
"165";165;"Commit.LOC.Added";170;"haar";1;2,67710627357227;10
"166";166;"Commit.LOC.Added";170;"haar";1;0,256679761570717;10
"167";167;"Commit.LOC.Added";170;"haar";1;-0,165462986797652;10
"168";168;"Commit.LOC.Added";170;"haar";1;0,201525432638166;10
"169";169;"Commit.LOC.Added";170;"haar";1;-0,270998673889744;10
"170";170;"Commit.LOC.Added";170;"haar";1;-0,210010714012405;10
"171";171;"Commit.LOC.Added";170;"haar";1;0;10
"172";172;"Commit.LOC.Added";170;"haar";1;0;10
"173";173;"Commit.LOC.Added";170;"haar";1;0;10
"174";174;"Commit.LOC.Added";170;"haar";1;6,03586348420837;10
"175";175;"Commit.LOC.Added";170;"haar";1;0;10
"176";176;"Commit.LOC.Added";170;"haar";1;0;10
"177";177;"Commit.LOC.Added";170;"haar";1;0;10
"178";178;"Commit.LOC.Added";170;"haar";1;0;10
"179";179;"Commit.LOC.Added";170;"haar";1;-5,68443141395865;10
"180";180;"Commit.LOC.Added";170;"haar";1;-0,023334523779156;10
"181";181;"Commit.LOC.Added";170;"haar";1;0,287085353161738;10
